experiment_id,entry_rule,period,symbol,candidate_trade_date,observation_date,candidate_rank,entry_date,return_5,benchmark_return_5,excess_return_5,return_20,benchmark_return_20,excess_return_20,return_60,benchmark_return_60,excess_return_60,return_120,benchmark_return_120,excess_return_120
h18-control,direct,development,SH600016,2012-04-05,2012-03-30,15,2012-04-05,0.006445884704589844,0.04282212257385254,-0.036376237869262695,0.09827673435211182,0.09882175922393799,-0.0005450248718261719,0.011448383331298828,0.026161551475524902,-0.014713168144226074,-0.04048186540603638,-0.07393717765808105,0.03345531225204468
h18-control,direct,development,SH600016,2012-06-01,2012-05-31,18,2012-06-01,-0.009470105171203613,-0.04554396867752075,0.03607386350631714,-0.012372910976409912,-0.07490682601928711,0.0625339150428772,-0.03211146593093872,-0.12960267066955566,0.09749120473861694,0.03174877166748047,-0.19897592067718506,0.23072469234466553
h18-control,direct,development,SH600016,2012-08-01,2012-07-31,21,2012-08-01,-0.005038082599639893,0.06836116313934326,-0.07339924573898315,-0.008318662643432617,0.015308618545532227,-0.023627281188964844,0.017223238945007324,0.0025260448455810547,0.01469719409942627,0.5923843383789062,0.06703221797943115,0.5253521203994751
h18-control,direct,development,SH600020,2015-09-01,2015-08-31,30,2015-09-01,0.02322983741760254,0.006627678871154785,0.016602158546447754,-0.06468838453292847,-0.05902808904647827,-0.005660295486450195,0.12306928634643555,0.1379837989807129,-0.014914512634277344,-0.05723768472671509,-0.11230969429016113,0.055072009563446045
h18-control,direct,development,SH600020,2015-10-08,2015-09-30,23,2015-10-08,0.033116698265075684,0.06357693672180176,-0.030460238456726074,0.10922491550445557,0.14953768253326416,-0.040312767028808594,0.30000948905944824,0.22435903549194336,0.07565045356750488,-0.005451560020446777,-0.026369690895080566,0.02091813087463379
h20,new-high-20,development,SH600020,2015-10-08,2015-09-30,23,2015-10-14,0.026362061500549316,0.05752968788146973,-0.03116762638092041,0.09640765190124512,0.11850154399871826,-0.022093892097473145,0.1348353624343872,0.043285250663757324,0.09155011177062988,-0.06800484657287598,-0.0802503228187561,0.012245476245880127
h18-control,direct,development,SH600021,2015-04-01,2015-03-31,22,2015-04-01,0.02163410186767578,0.07565569877624512,-0.054021596908569336,0.4805738925933838,0.16110336780548096,0.31947052478790283,0.37013542652130127,0.25062334537506104,0.11951208114624023,-0.05093050003051758,-0.13265198469161987,0.0817214846611023
h20,new-high-20,development,SH600021,2015-04-01,2015-03-31,22,2015-04-15,0.0485461950302124,0.0024160146713256836,0.04613018035888672,0.4101881980895996,0.09042131900787354,0.3197668790817261,-0.10532689094543457,-0.1478767991065979,0.04254990816116333,-0.15625852346420288,-0.16982501745224,0.01356649398803711
h21,new-high-55,development,SH600021,2015-04-01,2015-03-31,22,2015-04-15,0.0485461950302124,0.0024160146713256836,0.04613018035888672,0.4101881980895996,0.09042131900787354,0.3197668790817261,-0.10532689094543457,-0.1478767991065979,0.04254990816116333,-0.15625852346420288,-0.16982501745224,0.01356649398803711
h22,new-high-55-volume-1.4,development,SH600021,2015-04-01,2015-03-31,22,2015-04-15,0.0485461950302124,0.0024160146713256836,0.04613018035888672,0.4101881980895996,0.09042131900787354,0.3197668790817261,-0.10532689094543457,-0.1478767991065979,0.04254990816116333,-0.15625852346420288,-0.16982501745224,0.01356649398803711
h18-control,direct,development,SH600021,2015-11-02,2015-10-30,17,2015-11-02,0.09602963924407959,0.07359504699707031,0.022434592247009277,-0.012973248958587646,0.06339812278747559,-0.07637137174606323,-0.2516464591026306,-0.12903547286987305,-0.12261098623275757,-0.2849806547164917,-0.12825119495391846,-0.15672945976257324
h18-control,direct,development,SH600021,2015-12-01,2015-11-30,19,2015-12-01,-0.027699053287506104,0.02678072452545166,-0.054479777812957764,-0.06525582075119019,0.02693331241607666,-0.09218913316726685,-0.30760878324508667,-0.260714590549469,-0.046894192695617676,-0.34965944290161133,-0.22414487600326538,-0.12551456689834595
h18-control,direct,selection-validation,SH600025,2019-09-02,2019-08-30,26,2019-09-02,0.0,0.0532454252243042,-0.0532454252243042,-0.07453411817550659,0.009572148323059082,-0.08410626649856567,-0.06832295656204224,0.0023224353790283203,-0.07064539194107056,-0.1573498249053955,0.16805219650268555,-0.32540202140808105
h18-control,direct,development,SH600027,2015-01-05,2014-12-31,23,2015-01-05,-0.06876128911972046,0.013168811798095703,-0.08193010091781616,-0.11087286472320557,0.05506432056427002,-0.16593718528747559,0.02024710178375244,0.43835222721099854,-0.4181051254272461,0.480602502822876,0.5756313800811768,-0.09502887725830078
h18-control,direct,development,SH600027,2015-02-02,2015-01-30,6,2015-02-02,-0.13244760036468506,-0.006042361259460449,-0.1264052391052246,-0.06545943021774292,0.10139179229736328,-0.1668512225151062,0.5297473669052124,0.47246718406677246,0.05728018283843994,0.468250036239624,0.4407634735107422,0.027486562728881836
h18-control,direct,development,SH600027,2015-03-02,2015-02-27,10,2015-03-02,-0.04051065444946289,0.011246919631958008,-0.0517575740814209,0.13424944877624512,0.17991149425506592,-0.0456620454788208,0.5705859661102295,0.7104518413543701,-0.13986587524414062,0.49166202545166016,0.3753056526184082,0.11635637283325195
h20,new-high-20,development,SH600027,2015-03-02,2015-02-27,10,2015-03-18,0.09970057010650635,0.06366324424743652,0.036037325859069824,0.1861584186553955,0.17788207530975342,0.00827634334564209,0.5161740779876709,0.7158244848251343,-0.19965040683746338,0.27577924728393555,-0.03766834735870361,0.31344759464263916
h18-control,direct,development,SH600030,2015-04-01,2015-03-31,19,2015-04-01,0.09501385688781738,0.07565569877624512,0.019358158111572266,0.07979929447174072,0.16110336780548096,-0.08130407333374023,-0.21001213788986206,0.25062334537506104,-0.4606354832649231,-0.5628901720046997,-0.13265198469161987,-0.43023818731307983
h20,new-high-20,development,SH600030,2015-04-01,2015-03-31,19,2015-04-09,-0.06574630737304688,-0.00197601318359375,-0.06377029418945312,-0.09149926900863647,0.010908007621765137,-0.10240727663040161,-0.3159107565879822,-0.059183597564697266,-0.2567271590232849,-0.629820853471756,-0.21930742263793945,-0.41051343083381653
h21,new-high-55,development,SH600030,2015-04-01,2015-03-31,19,2015-04-09,-0.06574630737304688,-0.00197601318359375,-0.06377029418945312,-0.09149926900863647,0.010908007621765137,-0.10240727663040161,-0.3159107565879822,-0.059183597564697266,-0.2567271590232849,-0.629820853471756,-0.21930742263793945,-0.41051343083381653
h22,new-high-55-volume-1.4,development,SH600030,2015-04-01,2015-03-31,19,2015-04-09,-0.06574630737304688,-0.00197601318359375,-0.06377029418945312,-0.09149926900863647,0.010908007621765137,-0.10240727663040161,-0.3159107565879822,-0.059183597564697266,-0.2567271590232849,-0.629820853471756,-0.21930742263793945,-0.41051343083381653
h18-control,direct,development,SH600030,2015-05-04,2015-04-30,27,2015-05-04,-0.026032328605651855,-0.034456491470336914,0.008424162864685059,-0.11224353313446045,0.17340302467346191,-0.28564655780792236,-0.3712315559387207,-0.0823858380317688,-0.2888457179069519,-0.5484992265701294,-0.17012816667556763,-0.37837105989456177
h18-control,direct,development,SH600030,2015-06-01,2015-05-29,27,2015-06-01,0.049750328063964844,0.10697650909423828,-0.05722618103027344,-0.19026291370391846,-0.15722721815109253,-0.03303569555282593,-0.45389825105667114,-0.3040805459022522,-0.14981770515441895,-0.33019858598709106,-0.21307605504989624,-0.11712253093719482
h18-control,direct,development,SH600031,2011-04-01,2011-03-31,6,2011-04-01,0.01885509490966797,0.02147531509399414,-0.002620220184326172,-0.01582348346710205,-0.015840351581573486,1.6868114471435547e-05,-0.04523277282714844,-0.09764820337295532,0.052415430545806885,-0.18270325660705566,-0.1696014404296875,-0.013101816177368164
h18-control,direct,development,SH600031,2011-05-03,2011-04-29,3,2011-05-03,-0.02560603618621826,0.010969877243041992,-0.036575913429260254,-0.16511869430541992,-0.10167968273162842,-0.0634390115737915,-0.04630899429321289,-0.04207068681716919,-0.004238307476043701,-0.1967281699180603,-0.19691908359527588,0.00019091367721557617
h18-control,direct,development,SH600031,2011-06-01,2011-05-31,3,2011-06-01,0.025592923164367676,0.027838587760925293,-0.002245664596557617,0.06250107288360596,0.016255855560302734,0.04624521732330322,-0.03929215669631958,-0.002568840980529785,-0.036723315715789795,-0.19464260339736938,-0.1135549545288086,-0.08108764886856079
h20,new-high-20,development,SH600031,2011-06-01,2011-05-31,3,2011-06-24,0.01977241039276123,0.04310619831085205,-0.02333378791809082,0.003391742706298828,0.08981597423553467,-0.08642423152923584,-0.14980578422546387,-0.03992408514022827,-0.1098816990852356,-0.3420106768608093,-0.21933037042617798,-0.12268030643463135
h18-control,direct,development,SH600031,2011-07-01,2011-06-30,3,2011-07-01,0.014349579811096191,0.03753852844238281,-0.02318894863128662,-0.04967141151428223,0.019986391067504883,-0.06965780258178711,-0.16501504182815552,-0.1027306318283081,-0.06228440999984741,-0.3239564895629883,-0.27494871616363525,-0.04900777339935303
h20,new-high-20,development,SH600031,2011-07-01,2011-06-30,3,2011-07-05,-0.005860269069671631,0.016326069831848145,-0.022186338901519775,-0.07553339004516602,-0.016488254070281982,-0.05904513597488403,-0.19574356079101562,-0.1385108232498169,-0.05723273754119873,-0.3648970127105713,-0.3172534108161926,-0.04764360189437866
h18-control,direct,development,SH600031,2011-08-01,2011-07-29,5,2011-08-01,0.001749277114868164,-0.013774394989013672,0.015523672103881836,-0.03806185722351074,-0.019961237907409668,-0.018100619316101074,-0.12061715126037598,-0.13484233617782593,0.014225184917449951,-0.19204437732696533,-0.2934359908103943,0.10139161348342896
h18-control,direct,development,SH600031,2011-09-01,2011-08-31,6,2011-09-01,-0.03630530834197998,-0.029078781604766846,-0.007226526737213135,-0.08984637260437012,-0.12722241878509521,0.0373760461807251,-0.22276973724365234,-0.12136942148208618,-0.10140031576156616,-0.08553951978683472,-0.14360904693603516,0.05806952714920044
h18-control,direct,development,SH600031,2011-10-10,2011-09-30,7,2011-10-10,0.03521847724914551,0.0306016206741333,0.004616856575012207,0.045580506324768066,0.06834280490875244,-0.022762298583984375,-0.13398253917694092,-0.15518492460250854,0.021202385425567627,-0.09253472089767456,-0.08089977502822876,-0.0116349458694458
h18-control,direct,selection-validation,SH600031,2019-05-06,2019-04-30,4,2019-05-06,0.0550689697265625,-0.011352181434631348,0.06642115116119385,0.022876501083374023,-0.04108786582946777,0.0639643669128418,0.23926293849945068,-0.04401218891143799,0.28327512741088867,0.19778144359588623,-0.022403478622436523,0.22018492221832275
h20,new-high-20,selection-validation,SH600031,2019-05-06,2019-04-30,4,2019-05-29,-0.053760528564453125,-0.02996915578842163,-0.023791372776031494,0.0237123966217041,0.003848552703857422,0.01986384391784668,0.10116839408874512,-0.012307703495025635,0.11347609758377075,0.17693912982940674,0.0004360675811767578,0.17650306224822998
h18-control,direct,selection-validation,SH600031,2019-06-03,2019-05-31,8,2019-06-03,0.008258819580078125,-0.03991556167602539,0.048174381256103516,0.10652410984039307,0.0362774133682251,0.07024669647216797,0.16036903858184814,-0.013461410999298096,0.17383044958114624,0.2580474615097046,-0.008036434650421143,0.26608389616012573
h20,new-high-20,selection-validation,SH600031,2019-06-03,2019-05-31,8,2019-06-12,0.0007749795913696289,-0.018859028816223145,0.019634008407592773,-0.015539050102233887,-0.0015827417373657227,-0.013956308364868164,0.0767897367477417,0.03166496753692627,0.04512476921081543,0.1734522581100464,0.0064040422439575195,0.16704821586608887
h18-control,direct,selection-validation,SH600031,2019-07-01,2019-06-28,6,2019-07-01,-0.032344162464141846,-0.0003968477249145508,-0.031947314739227295,0.12325406074523926,-0.029050886631011963,0.15230494737625122,0.10714375972747803,0.02513909339904785,0.08200466632843018,0.20298004150390625,0.00786733627319336,0.1951127052307129
h20,new-high-20,selection-validation,SH600031,2019-07-01,2019-06-28,6,2019-07-02,-0.04725539684295654,-0.04360276460647583,-0.003652632236480713,0.09702539443969727,-0.038450419902801514,0.13547581434249878,0.09702539443969727,0.01725912094116211,0.07976627349853516,0.21865689754486084,0.013593196868896484,0.20506370067596436
h21,new-high-55,selection-validation,SH600031,2019-07-01,2019-06-28,6,2019-07-16,0.03868973255157471,-0.02871757745742798,0.06740731000900269,0.03868973255157471,-0.047327518463134766,0.08601725101470947,0.13717985153198242,0.029119253158569336,0.10806059837341309,0.27961933612823486,0.10289216041564941,0.17672717571258545
h22,new-high-55-volume-1.4,selection-validation,SH600031,2019-07-01,2019-06-28,6,2019-07-19,0.02116084098815918,0.006259322166442871,0.014901518821716309,-0.029197394847869873,-0.031815528869628906,0.002618134021759033,0.051819801330566406,0.02069401741027832,0.031125783920288086,0.2445281744003296,0.14367151260375977,0.10085666179656982
h18-control,direct,selection-validation,SH600031,2019-08-01,2019-07-31,7,2019-08-01,-0.03891557455062866,-0.051500797271728516,0.012585222721099854,-0.04033541679382324,0.01038062572479248,-0.05071604251861572,-0.046702027320861816,0.00817251205444336,-0.054874539375305176,0.021239042282104492,0.006835818290710449,0.014403223991394043
h18-control,direct,selection-validation,SH600031,2019-09-02,2019-08-30,21,2019-09-02,0.09178221225738525,0.0532454252243042,0.038536787033081055,0.057003140449523926,0.009572148323059082,0.047430992126464844,0.10436522960662842,0.0023224353790283203,0.1020427942276001,0.3930394649505615,0.16805219650268555,0.22498726844787598
h20,new-high-20,selection-validation,SH600031,2019-09-02,2019-08-30,21,2019-09-06,0.010273933410644531,0.017550349235534668,-0.007276415824890137,0.010273933410644531,-0.018762290477752686,0.029036223888397217,0.06643807888031006,-0.02749842405319214,0.0939365029335022,0.2253406047821045,0.10149538516998291,0.12384521961212158
h18-control,direct,selection-validation,SH600031,2019-10-08,2019-09-30,23,2019-10-08,0.03722226619720459,0.0355297327041626,0.0016925334930419922,-0.010529518127441406,0.006612062454223633,-0.01714158058166504,0.17837178707122803,0.057892680168151855,0.12047910690307617,0.22894132137298584,0.012944936752319336,0.2159963846206665
h18-control,direct,selection-validation,SH600031,2021-03-01,2021-02-26,27,2021-03-01,-0.01650536060333252,-0.0005720257759094238,-0.015933334827423096,-0.14641308784484863,-0.024250268936157227,-0.1221628189086914,-0.257654070854187,0.043427109718322754,-0.30108118057250977,-0.31454169750213623,0.08004391193389893,-0.39458560943603516
h18-control,direct,development,SH600039,2012-04-05,2012-03-30,16,2012-04-05,0.047389864921569824,0.04282212257385254,0.004567742347717285,0.06833755970001221,0.09882175922393799,-0.03048419952392578,0.0002573728561401367,0.026161551475524902,-0.025904178619384766,0.10441434383392334,-0.07393717765808105,0.1783515214920044
h18-control,direct,development,SH600039,2012-07-02,2012-06-29,8,2012-07-02,-0.045167744159698486,-0.0014892220497131348,-0.04367852210998535,-0.13318955898284912,-0.05961483716964722,-0.0735747218132019,0.04926621913909912,-0.0996749997138977,0.14894121885299683,0.3174118995666504,-0.11188656091690063,0.429298460483551
h18-control,direct,development,SH600039,2012-08-01,2012-07-31,19,2012-08-01,0.4100764989852905,0.06836116313934326,0.34171533584594727,0.14987242221832275,0.015308618545532227,0.13456380367279053,0.17219388484954834,0.0025260448455810547,0.16966784000396729,0.5178571939468384,0.06703221797943115,0.4508249759674072
h20,new-high-20,development,SH600039,2012-08-01,2012-07-31,19,2012-08-03,0.21428871154785156,0.06304550170898438,0.1512432098388672,0.021960020065307617,-0.022983193397521973,0.04494321346282959,0.12210750579833984,0.007827401161193848,0.114280104637146,0.42994725704193115,0.08722817897796631,0.34271907806396484
h21,new-high-55,development,SH600039,2012-08-01,2012-07-31,19,2012-08-07,-0.009986400604248047,-0.005430698394775391,-0.004555702209472656,-0.14179855585098267,-0.040737152099609375,-0.10106140375137329,-0.0716252326965332,-0.030234217643737793,-0.04139101505279541,0.2384653091430664,0.042989373207092285,0.19547593593597412
h22,new-high-55-volume-1.4,development,SH600039,2012-08-01,2012-07-31,19,2012-08-07,-0.009986400604248047,-0.005430698394775391,-0.004555702209472656,-0.14179855585098267,-0.040737152099609375,-0.10106140375137329,-0.0716252326965332,-0.030234217643737793,-0.04139101505279541,0.2384653091430664,0.042989373207092285,0.19547593593597412
h18-control,direct,development,SH600048,2012-11-01,2012-10-31,16,2012-11-01,0.026123762130737305,0.012412428855895996,0.013711333274841309,-0.00902026891708374,-0.11649173498153687,0.10747146606445312,0.21966111660003662,0.0883321762084961,0.13132894039154053,0.08823883533477783,0.108734130859375,-0.020495295524597168
h20,new-high-20,development,SH600048,2012-11-01,2012-10-31,16,2012-11-02,-0.034424006938934326,-0.031078755855560303,-0.0033452510833740234,-0.043112993240356445,-0.1411082148551941,0.09799522161483765,0.17935693264007568,0.07819533348083496,0.10116159915924072,0.054344773292541504,0.09025740623474121,-0.03591263294219971
h21,new-high-55,development,SH600048,2012-11-01,2012-10-31,16,2012-11-02,-0.034424006938934326,-0.031078755855560303,-0.0033452510833740234,-0.043112993240356445,-0.1411082148551941,0.09799522161483765,0.17935693264007568,0.07819533348083496,0.10116159915924072,0.054344773292541504,0.09025740623474121,-0.03591263294219971
h22,new-high-55-volume-1.4,development,SH600048,2012-11-01,2012-10-31,16,2012-11-02,-0.034424006938934326,-0.031078755855560303,-0.0033452510833740234,-0.043112993240356445,-0.1411082148551941,0.09799522161483765,0.17935693264007568,0.07819533348083496,0.10116159915924072,0.054344773292541504,0.09025740623474121,-0.03591263294219971
h18-control,direct,development,SH600048,2012-12-03,2012-11-30,17,2012-12-03,0.05927109718322754,0.04754149913787842,0.011729598045349121,0.14635729789733887,0.14874160289764404,-0.0023843050003051758,-0.011283695697784424,0.2974226474761963,-0.3087063431739807,0.0782545804977417,0.33336341381073,-0.2551088333129883
h20,new-high-20,development,SH600048,2012-12-03,2012-11-30,17,2012-12-06,0.0106889009475708,0.03399920463562012,-0.023310303688049316,0.1463683843612671,0.13989174365997314,0.006476640701293945,-0.048526227474212646,0.2379016876220703,-0.28642791509628296,-0.07839512825012207,0.21846890449523926,-0.29686403274536133
h21,new-high-55,development,SH600048,2012-12-03,2012-11-30,17,2012-12-06,0.0106889009475708,0.03399920463562012,-0.023310303688049316,0.1463683843612671,0.13989174365997314,0.006476640701293945,-0.048526227474212646,0.2379016876220703,-0.28642791509628296,-0.07839512825012207,0.21846890449523926,-0.29686403274536133
h22,new-high-55-volume-1.4,development,SH600048,2012-12-03,2012-11-30,17,2012-12-06,0.0106889009475708,0.03399920463562012,-0.023310303688049316,0.1463683843612671,0.13989174365997314,0.006476640701293945,-0.048526227474212646,0.2379016876220703,-0.28642791509628296,-0.07839512825012207,0.21846890449523926,-0.29686403274536133
h18-control,direct,development,SH600048,2013-01-04,2012-12-31,18,2013-01-04,0.026813268661499023,0.017988204956054688,0.008825063705444336,-0.04201388359069824,0.055382370948791504,-0.09739625453948975,-0.16012531518936157,0.034603118896484375,-0.19472843408584595,-0.2528379559516907,-0.011262178421020508,-0.24157577753067017
h20,new-high-20,development,SH600048,2013-01-04,2012-12-31,18,2013-01-04,0.026813268661499023,0.017988204956054688,0.008825063705444336,-0.04201388359069824,0.055382370948791504,-0.09739625453948975,-0.16012531518936157,0.034603118896484375,-0.19472843408584595,-0.2528379559516907,-0.011262178421020508,-0.24157577753067017
h21,new-high-55,development,SH600048,2013-01-04,2012-12-31,18,2013-01-04,0.026813268661499023,0.017988204956054688,0.008825063705444336,-0.04201388359069824,0.055382370948791504,-0.09739625453948975,-0.16012531518936157,0.034603118896484375,-0.19472843408584595,-0.2528379559516907,-0.011262178421020508,-0.24157577753067017
h22,new-high-55-volume-1.4,development,SH600048,2013-01-04,2012-12-31,18,2013-01-04,0.026813268661499023,0.017988204956054688,0.008825063705444336,-0.04201388359069824,0.055382370948791504,-0.09739625453948975,-0.16012531518936157,0.034603118896484375,-0.19472843408584595,-0.2528379559516907,-0.011262178421020508,-0.24157577753067017
h18-control,direct,development,SH600048,2013-02-01,2013-01-31,25,2013-02-01,-0.018077611923217773,0.02489006519317627,-0.04296767711639404,-0.14250421524047852,0.03986155986785889,-0.1823657751083374,-0.09648621082305908,0.024342656135559082,-0.12082886695861816,-0.16866320371627808,0.04604947566986084,-0.21471267938613892
h18-control,direct,development,SH600048,2013-03-01,2013-02-28,18,2013-03-01,-0.11650806665420532,0.0002837181091308594,-0.11679178476333618,-0.0854637622833252,-0.04423743486404419,-0.041226327419281006,-0.0030553340911865234,0.07108378410339355,-0.07413911819458008,-0.15298503637313843,0.03421914577484131,-0.18720418214797974
h18-control,direct,development,SH600048,2015-02-02,2015-01-30,7,2015-02-02,-0.05194443464279175,-0.006042361259460449,-0.0459020733833313,-0.07692629098892212,0.10139179229736328,-0.1783180832862854,0.34565484523773193,0.47246718406677246,-0.12681233882904053,-0.031183242797851562,0.4407634735107422,-0.47194671630859375
h18-control,direct,development,SH600048,2015-03-02,2015-02-27,5,2015-03-02,-0.11832219362258911,0.011246919631958008,-0.12956911325454712,0.027679800987243652,0.17991149425506592,-0.15223169326782227,0.3225712776184082,0.7104518413543701,-0.3878805637359619,-0.09015679359436035,0.3753056526184082,-0.46546244621276855
h20,new-high-20,development,SH600048,2015-03-02,2015-02-27,5,2015-03-31,-0.0650181770324707,0.08009910583496094,-0.14511728286743164,0.11303830146789551,0.13548266887664795,-0.02244436740875244,-0.028905630111694336,0.36070072650909424,-0.3896063566207886,-0.32063770294189453,-0.14144033193588257,-0.17919737100601196
h18-control,direct,development,SH600048,2015-05-04,2015-04-30,21,2015-05-04,-0.05625724792480469,-0.034456491470336914,-0.021800756454467773,-0.1815791130065918,0.17340302467346191,-0.3549821376800537,-0.34917765855789185,-0.0823858380317688,-0.26679182052612305,-0.4070422649383545,-0.17012816667556763,-0.23691409826278687
h20,new-high-20,development,SH600048,2015-05-04,2015-04-30,21,2015-05-04,-0.05625724792480469,-0.034456491470336914,-0.021800756454467773,-0.1815791130065918,0.17340302467346191,-0.3549821376800537,-0.34917765855789185,-0.0823858380317688,-0.26679182052612305,-0.4070422649383545,-0.17012816667556763,-0.23691409826278687
h21,new-high-55,development,SH600048,2015-05-04,2015-04-30,21,2015-05-04,-0.05625724792480469,-0.034456491470336914,-0.021800756454467773,-0.1815791130065918,0.17340302467346191,-0.3549821376800537,-0.34917765855789185,-0.0823858380317688,-0.26679182052612305,-0.4070422649383545,-0.17012816667556763,-0.23691409826278687
h22,new-high-55-volume-1.4,development,SH600048,2015-05-04,2015-04-30,21,2015-05-04,-0.05625724792480469,-0.034456491470336914,-0.021800756454467773,-0.1815791130065918,0.17340302467346191,-0.3549821376800537,-0.34917765855789185,-0.0823858380317688,-0.26679182052612305,-0.4070422649383545,-0.17012816667556763,-0.23691409826278687
h18-control,direct,development,SH600048,2015-06-01,2015-05-29,16,2015-06-01,0.10369563102722168,0.10697650909423828,-0.0032808780670166016,-0.11400794982910156,-0.15722721815109253,0.04321926832199097,-0.3541256785392761,-0.3040805459022522,-0.050045132637023926,-0.20098602771759033,-0.21307605504989624,0.012090027332305908
h18-control,direct,development,SH600053,2016-12-01,2016-11-30,2,2016-12-01,0.03006112575531006,-0.0053958892822265625,0.03545701503753662,0.038710951805114746,-0.0490412712097168,0.08775222301483154,-0.022153913974761963,-0.02410942316055298,0.0019555091857910156,-0.2598116397857666,-0.134008526802063,-0.1258031129837036
h20,new-high-20,development,SH600053,2016-12-01,2016-11-30,2,2016-12-09,-0.0012642145156860352,-0.03665965795516968,0.03539544343948364,-0.05447477102279663,-0.022667646408081055,-0.031807124614715576,-0.09686928987503052,-0.01096409559249878,-0.08590519428253174,-0.29001104831695557,-0.08438342809677124,-0.20562762022018433
h18-control,direct,development,SH600053,2017-02-03,2017-01-26,20,2017-02-03,0.010862588882446289,0.016655325889587402,-0.005792737007141113,-0.027229726314544678,0.03326725959777832,-0.060496985912323,-0.12429690361022949,-0.0018209218978881836,-0.12247598171234131,-0.1842162013053894,-0.006975531578063965,-0.17724066972732544
h18-control,direct,development,SH600054,2016-06-01,2016-05-31,26,2016-06-01,-0.021616995334625244,0.014802932739257812,-0.03641992807388306,-0.04656559228897095,0.027918338775634766,-0.07448393106460571,-0.04004502296447754,0.07140862941741943,-0.11145365238189697,-0.02232581377029419,0.11979234218597412,-0.1421181559562683
h18-control,direct,development,SH600057,2014-06-03,2014-05-30,25,2014-06-03,-0.05538380146026611,-0.009311974048614502,-0.04607182741165161,-0.026801586151123047,0.02394282817840576,-0.05074441432952881,0.14777445793151855,0.17062222957611084,-0.022847771644592285,0.7572494745254517,0.3537261486053467,0.403523325920105
h18-control,direct,development,SH600057,2014-07-01,2014-06-30,28,2014-07-01,-0.006623446941375732,0.022152304649353027,-0.02877575159072876,0.1549081802368164,0.0613325834274292,0.09357559680938721,0.43218982219696045,0.2105628252029419,0.22162699699401855,0.6294254064559937,0.32240283489227295,0.3070225715637207
