experiment_id,entry_rule,period,symbol,candidate_trade_date,observation_date,candidate_rank,entry_date,return_5,benchmark_return_5,excess_return_5,return_20,benchmark_return_20,excess_return_20,return_60,benchmark_return_60,excess_return_60,return_120,benchmark_return_120,excess_return_120
h18-control,direct,development,SH600016,2011-12-01,2011-11-30,29,2011-12-01,0.016576766967773438,-0.05634886026382446,0.0729256272315979,-0.033183157444000244,-0.18244600296020508,0.14926284551620483,0.11130499839782715,-0.03281682729721069,0.14412182569503784,0.05319035053253174,-0.04555654525756836,0.0987468957901001
h18-control,direct,development,SH600016,2012-01-04,2011-12-30,27,2012-01-04,0.047026872634887695,0.016584038734436035,0.03044283390045166,0.08058929443359375,0.02006351947784424,0.06052577495574951,0.05547964572906494,0.07998478412628174,-0.024505138397216797,0.07686030864715576,0.06288266181945801,0.013977646827697754
h20,new-high-20,development,SH600016,2012-01-04,2011-12-30,27,2012-01-10,-0.0016632080078125,-0.025225043296813965,0.023561835289001465,0.0371708869934082,0.09599900245666504,-0.058828115463256836,0.0322718620300293,0.1335289478302002,-0.1012570858001709,-0.003933548927307129,0.047982096672058105,-0.051915645599365234
h21,new-high-55,development,SH600016,2012-01-04,2011-12-30,27,2012-01-18,0.01751387119293213,-0.00469595193862915,0.02220982313156128,0.02536797523498535,0.09313082695007324,-0.06776285171508789,0.03814554214477539,0.1288011074066162,-0.09065556526184082,-0.007806718349456787,0.012935280799865723,-0.02074199914932251
h22,new-high-55-volume-1.4,development,SH600016,2012-01-04,2011-12-30,27,2012-01-18,0.01751387119293213,-0.00469595193862915,0.02220982313156128,0.02536797523498535,0.09313082695007324,-0.06776285171508789,0.03814554214477539,0.1288011074066162,-0.09065556526184082,-0.007806718349456787,0.012935280799865723,-0.02074199914932251
h18-control,direct,development,SH600016,2012-02-01,2012-01-31,24,2012-02-01,0.0062274932861328125,0.021179556846618652,-0.01495206356048584,0.03134572505950928,0.13943767547607422,-0.10809195041656494,0.04072153568267822,0.11481499671936035,-0.07409346103668213,-0.04655510187149048,0.01365041732788086,-0.06020551919937134
h18-control,direct,development,SH600016,2012-03-01,2012-02-29,24,2012-03-01,-0.02293705940246582,0.01458883285522461,-0.03752589225769043,-0.05642277002334595,-0.051379501819610596,-0.0050432682037353516,-0.021358609199523926,0.019891858100891113,-0.04125046730041504,-0.05856502056121826,-0.09541815519332886,0.036853134632110596
h20,new-high-20,development,SH600016,2012-03-01,2012-02-29,24,2012-03-05,-0.0343552827835083,0.011149406433105469,-0.04550468921661377,-0.06416261196136475,-0.10216808319091797,0.03800547122955322,-0.05367481708526611,-0.016091465950012207,-0.037583351135253906,-0.08281970024108887,-0.16326892375946045,0.08044922351837158
h21,new-high-55,development,SH600016,2012-03-01,2012-02-29,24,2012-03-05,-0.0343552827835083,0.011149406433105469,-0.04550468921661377,-0.06416261196136475,-0.10216808319091797,0.03800547122955322,-0.05367481708526611,-0.016091465950012207,-0.037583351135253906,-0.08281970024108887,-0.16326892375946045,0.08044922351837158
h22,new-high-55-volume-1.4,development,SH600016,2012-03-01,2012-02-29,24,2012-03-05,-0.0343552827835083,0.011149406433105469,-0.04550468921661377,-0.06416261196136475,-0.10216808319091797,0.03800547122955322,-0.05367481708526611,-0.016091465950012207,-0.037583351135253906,-0.08281970024108887,-0.16326892375946045,0.08044922351837158
