date,total_value_local,daily_return_local,total_value_jq,daily_return_jq,normalized_value_local,normalized_value_jq,daily_return_difference,normalized_value_difference
2014-01-06,980403.2655253902,-0.0195967344746098,992068.03933026,-0.0200026118198359,1.0,1.0,-0.0004058773452261001,0.0
2014-01-07,987081.154166364,0.0068113692352862,998837.73933026,0.0068238263220032,1.0068113692352862,1.0068238263220033,1.245708671700034e-05,1.2457086717043708e-05
2014-01-08,997298.3687368922,0.0103509367263294,1009057.3393302602,0.0102314916603496,1.01723281001359,1.0171251359044582,-0.00011944506597979902,-0.00010767410913170572
2014-01-09,985412.6640723422,-0.011917902442379,996923.53933026,-0.0120248865223591,1.0051095286226608,1.0048943215661679,-0.00010698407998009987,-0.0002152070564929165
2014-01-10,972035.1614701236,-0.0135755334693329,983502.9393302604,-0.0134620153607927,0.9914646305764984,0.9913664187732709,0.00011351810854019935,-9.821180322744372e-05
2014-01-13,973284.7998532556,0.001285589691264,984882.88875661,0.0014030963926652,0.9927392472848203,0.9927574014192608,0.0001175067014012,1.815413444050673e-05
2014-01-14,987735.884843114,0.0148477454821416,999542.6887566102,0.0148848154103964,1.0074791869586381,1.0075344120866914,3.70699282548001e-05,5.522512805322677e-05
2014-01-15,995035.2075611666,0.007389953964477,1006818.4887566102,0.0072791288274549,1.0149244117704312,1.0148683848703646,-0.00011082513702210042,-5.6026900066674656e-05
2014-01-16,988557.6962021402,-0.0065098313203437,1000255.6887566102,-0.0065183546719577,1.0083174250469067,1.0082531127924226,-8.523351613999933e-06,-6.431225448411126e-05
2014-01-17,983305.4860601524,-0.0053130031379714,995045.48875661,-0.0052088681509792,1.0029602314035613,1.0030012552650724,0.00010413498699220029,4.10238615111691e-05
2014-01-20,974325.374435808,-0.0091325755339018,985577.0884584102,-0.0095155451737501,0.9938006213327686,0.9934571515112696,-0.0003829696398482997,-0.0003434698214990206
2014-01-21,986755.2498210538,0.0127574172975259,998713.18845841,0.0133283333732387,1.0064789505696512,1.00669827961864,0.0005709160757128,0.00021932904898869232
2014-01-22,998975.5757081038,0.0123843535560272,1011658.6884584102,0.0129621798826773,1.018943541740205,1.0197472838066386,0.0005778263266500994,0.0008037420664335215
2014-01-23,1008727.8715095032,0.0097622965351145,1021951.48845841,0.0101741823773433,1.028890770747213,1.030122378650888,0.0004118858422287996,0.0012316079036749361
2014-01-24,1019609.0906374744,0.0107870709586801,1033546.5884584102,0.0113460375868634,1.039989488499994,1.0418101858781301,0.0005589666281832998,0.0018206973781360603
2014-01-27,1016365.551892674,-0.0031811591075286,1030075.81685841,-0.0033581181910502,1.0366811164669183,1.0383116641413113,-0.0001769590835216002,0.001630547674392968
2014-01-28,1013824.3548641268,-0.0025002785895438,1027344.7168584104,-0.0026513582352892,1.0340891248672315,1.0355587279597935,-0.0001510796457454,0.0014696030925620551
2014-01-29,1022447.0683654352,0.0085051354901255,1036354.31685841,0.0087697925069891,1.0428841929830928,1.0446403631328023,0.00026465701686360053,0.001756170149709524
2014-01-30,1018379.5920048804,-0.0039781779286212,1031868.2168584104,-0.0043287319085993,1.0387354141044594,1.0401183950598987,-0.0003505539799780995,0.0013829809554393169
2014-02-07,1033006.167911336,0.0143625972292513,1046918.2729584102,0.0145852501841958,1.0536543524850015,1.0552887820730312,0.00022265295494450048,0.0016344295880297288
2014-02-10,1049585.398035567,0.0160494977079885,1063646.38665841,0.0159784332092409,1.0705649756002218,1.0721506433938466,-7.10644987476014e-05,0.0015856677936247898
