model,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,longest_underwater_trading_days,yearly_returns,benchmark_total_return,benchmark_annualized_return,annualized_excess_return,positive_excess_year_ratio
emerging-improvement,0.18064966210318945,0.019301471994156882,0.6820202008981802,0.20720140675218654,0.27056101100188024,2081,"{'2015': 0.8336568132662234, '2016': -0.060783696001337484, '2017': -0.12203185819632201, '2018': -0.37921576170832905, '2019': 0.3291377020175097, '2020': 0.09441171384426794, '2021': 0.24556214517937103, '2022': -0.27039139013419, '2023': -0.048493262943607895}",0.002251148223876953,0.000258896816755394,0.01904257517740149,0.5555555555555556
emerging-momentum,0.29360103054802766,0.03007909895705141,0.6616750117260524,0.24687351727999252,0.2801549925014,2081,"{'2015': 0.770418980356143, '2016': -0.1793393766582908, '2017': -0.023796768545238933, '2018': -0.3690262813484153, '2019': 0.49910605023540766, '2020': 0.09544818991323667, '2021': 0.3170461845962409, '2022': -0.15720595016707917, '2023': -0.20701946950516803}",0.002251148223876953,0.000258896816755394,0.029820202140296015,0.4444444444444444
dual-track-growth-momentum,0.4796303940711799,0.046136179029721225,0.6237430774393337,0.3014176523158217,0.29943468031516085,1484,"{'2015': 0.6849519213403119, '2016': -0.21134961143750752, '2017': 0.0344178635436132, '2018': -0.31491115266730774, '2019': 0.4800841551107544, '2020': 0.3752154687544387, '2021': 0.15780395467704733, '2022': -0.10663594333826465, '2023': -0.253692789453313}",0.002251148223876953,0.000258896816755394,0.04587728221296583,0.7777777777777778
