model,year,strategy_return,benchmark_return,excess_return
emerging-momentum,2015,0.770418980356143,0.40624988079071045,0.36416909956543253
emerging-momentum,2016,-0.1793393766582908,-0.17775171995162964,-0.0015876567066611669
emerging-momentum,2017,-0.023796768545238933,-0.0020447373390197754,-0.021752031206219158
emerging-momentum,2018,-0.3690262813484153,-0.33320152759552,-0.03582475375289529
emerging-momentum,2019,0.49910605023540766,0.2638216018676758,0.23528444836773188
emerging-momentum,2020,0.09544818991323667,0.20871734619140625,-0.11326915627816958
emerging-momentum,2021,0.3170461845962409,0.15584468841552734,0.16120149618071355
emerging-momentum,2022,-0.15720595016707917,-0.20313197374343872,0.045926023576359554
emerging-momentum,2023,-0.20701946950516803,-0.07421618700027466,-0.13280328250489337
