trade_date,cash,positions_value,total_value,daily_return
2015-01-05,1452225.8883680874,8528091.93224907,9980317.820617156,-0.001968217938284389
2015-01-06,1452225.8883680874,8707967.159724236,10160193.048092322,0.018022995931410435
2015-01-07,1452225.8883680874,8798407.703876495,10250633.592244582,0.008901459226627662
2015-01-08,1452225.8883680874,8841169.668293,10293395.556661086,0.004171641102151735
2015-01-09,1452225.8883680874,8748820.377850533,10201046.26621862,-0.008971703257114716
2015-01-12,1452225.8883680874,8549656.32352829,10001882.211896377,-0.019523885013813413
2015-01-13,1452225.8883680874,8702383.927845955,10154609.816214042,0.015269886315598447
2015-01-14,1452225.8883680874,8691732.294154167,10143958.182522254,-0.0010489456399181973
2015-01-15,1452225.8883680874,8771976.030945778,10224201.919313865,0.007910495621903157
2015-01-16,1452225.8883680874,8946816.727519035,10399042.615887122,0.017100669367941412
2015-01-19,1452225.8883680874,8750845.222330093,10203071.11069818,-0.018845148772594356
2015-01-20,1452225.8883680874,9106814.602303505,10559040.490671592,0.03488845428119869
2015-01-21,1452225.8883680874,9352553.273320198,10804779.161688285,0.02327282211236814
2015-01-22,1452225.8883680874,9556179.167079926,11008405.055448012,0.01884590982495471
2015-01-23,1452225.8883680874,9391630.291843414,10843856.180211501,-0.014947567282244667
2015-01-26,1452225.8883680874,9553214.278554916,11005440.166923003,0.014900971022316689
2015-01-27,1452225.8883680874,9649978.061199188,11102203.949567275,0.00879235915843668
2015-01-28,1452225.8883680874,9535932.505249977,10988158.393618064,-0.010272334796520899
2015-01-29,1452225.8883680874,9579752.535581589,11031978.423949676,0.003987932168602715
2015-01-30,1452225.8883680874,9466170.915412903,10918396.80378099,-0.010295670985188687
2015-02-02,677.0353356439737,10811007.741737366,10811684.777073009,-0.009773598507706427
2015-02-03,677.0353356439737,11031131.837177277,11031808.87251292,0.02035983290103882
2015-02-04,677.0353356439737,10898018.130421638,10898695.165757282,-0.012066353604739066
2015-02-05,677.0353356439737,10808272.981333733,10808950.016669376,-0.008234485663006441
2015-02-06,677.0353356439737,10522752.06952095,10523429.104856594,-0.026415231023592223
2015-02-09,677.0353356439737,10398176.842522621,10398853.877858264,-0.011837892929866145
2015-02-10,677.0353356439737,10518101.273989677,10518778.30932532,0.011532466257883067
2015-02-11,677.0353356439737,10621371.180176735,10622048.215512378,0.009817671135392558
2015-02-12,677.0353356439737,10682651.434135437,10683328.46947108,0.005769156071915527
2015-02-13,677.0353356439737,10821449.307060242,10822126.342395885,0.012992006500730291
2015-02-16,677.0353356439737,10967832.071876526,10968509.10721217,0.013526248002005525
2015-02-17,677.0353356439737,11052139.22867775,11052816.264013393,0.007686291361675535
2015-02-25,677.0353356439737,11068261.414361,11068938.449696643,0.0014586495693176271
2015-02-26,677.0353356439737,11239939.840555191,11240616.875890834,0.015509926898084503
2015-02-27,677.0353356439737,11289206.915140152,11289883.950475795,0.004382951143066638
