trade_date,cash,positions_value,total_value,daily_return
2019-12-20,303.33855461320854,28374726.60470009,28375029.9432547,-0.011501788160110493
2019-12-23,303.33855461320854,27766212.767648697,27766516.10620331,-0.02144539893943076
2019-12-24,303.33855461320854,27964034.658002853,27964337.996557467,0.007124476459254403
2019-12-25,303.33855461320854,28099968.67723465,28100272.015789263,0.004860977551069956
2019-12-26,303.33855461320854,28238353.986740112,28238657.325294726,0.0049246964380880165
2019-12-27,303.33855461320854,27895677.983903885,27895981.3224585,-0.012134996323967417
2019-12-30,303.33855461320854,28180577.599573135,28180880.93812775,0.01021292681465491
2019-12-31,303.33855461320854,28340491.611862183,28340794.950416796,0.005674556896931193
2020-01-02,1819.103990871503,28846465.969371796,28848285.073362667,0.01790670035310371
2020-01-03,1819.103990871503,28717702.87256241,28719521.97655328,-0.004463457584460762
2020-01-06,1819.103990871503,28782762.915706635,28784582.019697506,0.0022653595417549965
2020-01-07,1819.103990871503,29241763.488197327,29243582.592188198,0.015946056544319243
2020-01-08,1819.103990871503,28718416.92047119,28720236.024462063,-0.01789611673181024
2020-01-09,1819.103990871503,29548559.2959404,29550378.39993127,0.028904441271379033
2020-01-10,1819.103990871503,29963615.856075287,29965434.96006616,0.014045727419038867
2020-01-13,1819.103990871503,30681538.284778595,30683357.388769466,0.02395835166951721
2020-01-14,1819.103990871503,30495301.568317413,30497120.672308285,-0.006069632931673508
2020-01-15,1819.103990871503,30640754.26340103,30642573.367391903,0.004769391072898532
2020-01-16,1819.103990871503,30732572.96562195,30734392.06961282,0.002996442273958122
2020-01-17,1819.103990871503,30803727.44550705,30805546.54949792,0.002315141933633802
2020-01-20,1819.103990871503,31274048.02865982,31275867.132650692,0.015267399407995041
2020-01-21,1819.103990871503,31039396.481513977,31041215.58550485,-0.007502639212227491
2020-01-22,1819.103990871503,31587984.08651352,31589803.19050439,0.017672877645156237
2020-01-23,1819.103990871503,30782953.836727142,30784772.940718014,-0.025483864047255667
2020-02-03,246.0473298878528,28339330.580091476,28339576.627421364,-0.07942875908181435
2020-02-04,246.0473298878528,29215474.881744385,29215720.929074273,0.030915927685565725
2020-02-05,246.0473298878528,29568696.19512558,29568942.242455468,0.012090111150729221
2020-02-06,246.0473298878528,30315823.912906647,30316069.960236534,0.025267312968278333
2020-02-07,246.0473298878528,30559164.008665085,30559410.055994973,0.00802676917151901
2020-02-10,246.0473298878528,30658201.32508278,30658447.372412667,0.0032408124448810582
2020-02-11,246.0473298878528,31002028.1188488,31002274.16617869,0.011214749057233853
2020-02-12,246.0473298878528,31423712.94169426,31423958.989024147,0.013601738394581675
2020-02-13,246.0473298878528,31403423.32215309,31403669.36948298,-0.0006456735622731857
2020-02-14,246.0473298878528,31521778.92012596,31522024.96745585,0.003768846136428916
2020-02-17,246.0473298878528,32504733.427667618,32504979.474997506,0.031183101610904984
2020-02-18,246.0473298878528,32846835.234451294,32847081.28178118,0.010524596917429685
2020-02-19,246.0473298878528,32886010.47987938,32886256.527209267,0.0011926552953676062
2020-02-20,246.0473298878528,33746618.53427887,33746864.58160876,0.026169231322739517
2020-02-21,246.0473298878528,34182842.66014099,34183088.70747088,0.01292636016028137
2020-02-24,246.0473298878528,34625506.77638054,34625752.82371043,0.012949798657100331
2020-02-25,246.0473298878528,34761747.62325287,34761993.67058276,0.003934668151937881
2020-02-26,246.0473298878528,33484871.130275726,33485117.177605614,-0.036731969549194665
2020-02-27,246.0473298878528,33664220.796346664,33664466.84367655,0.0053561008946052535
2020-02-28,246.0473298878528,32436318.703126907,32436564.750456795,-0.03647472270752461
