trade_date,cash,positions_value,total_value,daily_return
2019-04-16,1884.1391648331191,29969397.14808464,29971281.287249472,0.022232462873831516
2019-04-17,1884.1391648331191,30073100.470018387,30074984.60918322,0.0034600897085392823
2019-04-18,1884.1391648331191,29887294.86131668,29889179.000481512,-0.006178078263919473
2019-04-19,1884.1391648331191,29805738.129520416,29807622.268685248,-0.002728637404023404
2019-04-22,1884.1391648331191,29370411.915016174,29372296.054181006,-0.014604526673755447
2019-04-23,1884.1391648331191,29174069.391679764,29175953.530844595,-0.006684616108125541
2019-04-24,1884.1391648331191,29415185.103797913,29417069.242962744,0.008264193040451673
2019-04-25,1884.1391648331191,28827574.400234222,28829458.539399054,-0.019975161315713308
2019-04-26,1884.1391648331191,28484017.951774597,28485902.09093943,-0.011916854005083466
2019-04-29,1884.1391648331191,28196352.24466324,28198236.38382807,-0.010098528956288821
2019-04-30,1884.1391648331191,28102491.564035416,28104375.703200247,-0.0033286010993812676
2019-05-06,208.00498020392843,26610468.03598404,26610676.040964242,-0.053148295411732493
2019-05-07,208.00498020392843,26796293.293380737,26796501.29836094,0.006983109226937456
2019-05-08,208.00498020392843,26228636.8601799,26228844.865160104,-0.021183975731770555
2019-05-09,208.00498020392843,26199228.078746796,26199436.083727,-0.0011212381477069266
2019-05-10,208.00498020392843,27417855.43384552,27418063.438825723,0.04651349560365681
2019-05-13,208.00498020392843,27177752.867126465,27177960.872106668,-0.0087570942876678
2019-05-14,208.00498020392843,27092554.35333252,27092762.358312722,-0.0031348383418046133
2019-05-15,208.00498020392843,27751620.091438293,27751828.096418496,0.02432626578971031
2019-05-16,208.00498020392843,27862182.719039917,27862390.72402012,0.003983976378690857
2019-05-17,208.00498020392843,27202106.965827942,27202314.970808145,-0.02369056409229542
2019-05-20,208.00498020392843,26766709.484767914,26766917.489748117,-0.016005898083573777
2019-05-21,208.00498020392843,27446253.75518799,27446461.76016819,0.02538746834335126
2019-05-22,208.00498020392843,27304545.653533936,27304753.65851414,-0.00516307358275625
2019-05-23,208.00498020392843,26695733.221244812,26695941.226225015,-0.022296939203451993
2019-05-24,208.00498020392843,26530890.4255867,26531098.430566903,-0.00617482613784659
2019-05-27,208.00498020392843,27186846.392917633,27187054.397897836,0.024724041073821423
2019-05-28,208.00498020392843,27448741.630649567,27448949.63562977,0.009633086170312888
2019-05-29,208.00498020392843,27473024.526309967,27473232.53129017,0.0008846566437967773
2019-05-30,208.00498020392843,27389735.17513275,27389943.180112954,-0.0030316545780462167
2019-05-31,208.00498020392843,27250711.031150818,27250919.03613102,-0.005075736852308443
2019-06-03,590.0346340679098,27032729.86650467,27033319.901138738,-0.007985020053957625
2019-06-04,590.0346340679098,26736603.132867813,26737193.16750188,-0.010954138622995435
2019-06-05,590.0346340679098,26680783.353996277,26681373.388630345,-0.002087720222606726
2019-06-06,590.0346340679098,26169640.64130783,26170230.6759419,-0.019157286442618382
2019-06-10,590.0346340679098,26510990.977048874,26511581.011682943,0.013043459187191742
2019-06-11,590.0346340679098,27442730.358314514,27443320.392948583,0.035144617774965914
2019-06-12,590.0346340679098,27262106.898641586,27262696.933275655,-0.006581691176091753
2019-06-13,590.0346340679098,27241919.051408768,27242509.086042836,-0.0007404934032105848
2019-06-14,590.0346340679098,26871566.487932205,26872156.522566274,-0.013594656876385391
2019-06-17,590.0346340679098,26755479.185676575,26756069.220310643,-0.004319984596626747
2019-06-18,590.0346340679098,26786298.288297653,26786888.32293172,0.0011518546452886635
2019-06-19,590.0346340679098,27280672.156906128,27281262.191540197,0.01845581549631703
2019-06-20,590.0346340679098,27820108.928728104,27820698.963362172,0.019773160348469876
2019-06-21,590.0346340679098,28086516.392230988,28087106.426865056,0.009575872405424679
2019-06-24,590.0346340679098,28070006.017112732,28070596.0517468,-0.00058782755572373
2019-06-25,590.0346340679098,27784571.018362045,27785161.052996114,-0.01016846946265415
2019-06-26,590.0346340679098,27872073.656129837,27872663.690763906,0.0031492578934810833
2019-06-27,590.0346340679098,28631866.767644882,28632456.80227895,0.027259436699148987
2019-06-28,590.0346340679098,28440043.194675446,28440633.229309514,-0.0066995149698145795
2019-07-01,99.81490811266121,29256783.058452606,29256882.87336072,0.028700122021545482
2019-07-02,99.81490811266121,29569037.557411194,29569137.372319307,0.010672856035627287
2019-07-03,99.81490811266121,29362170.721912384,29362270.536820497,-0.006996038906852409
2019-07-04,99.81490811266121,28994475.416469574,28994575.231377687,-0.012522713629442128
2019-07-05,99.81490811266121,29398327.334022522,29398427.148930635,0.013928533676737631
2019-07-08,99.81490811266121,28961000.799369812,28961100.614277925,-0.014875848032183558
2019-07-09,99.81490811266121,28981864.471530914,28981964.286439028,0.0007204032898810997
2019-07-10,99.81490811266121,28654309.821224213,28654409.636132326,-0.01130201690504351
2019-07-11,99.81490811266121,28647573.007011414,28647672.821919527,-0.00023510567128570692
2019-07-12,99.81490811266121,28762596.49181366,28762696.306721773,0.004015107458021472
2019-07-15,99.81490811266121,29074009.228229523,29074109.043137636,0.010826966049879205
2019-07-16,99.81490811266121,29001397.001743317,29001496.81665143,-0.002497487588646985
2019-07-17,99.81490811266121,29205046.448135376,29205146.26304349,0.0070220322654219736
2019-07-18,99.81490811266121,28824168.032073975,28824267.846982088,-0.0130414829164327
2019-07-19,99.81490811266121,28879784.462356567,28879884.27726468,0.0019295001898345099
2019-07-22,99.81490811266121,28270832.00559616,28270931.820504274,-0.021085695874473953
2019-07-23,99.81490811266121,28717247.02692032,28717346.841828432,0.01579060160303536
2019-07-24,99.81490811266121,29193744.134807587,29193843.9497157,0.01659265775880181
2019-07-25,99.81490811266121,29241966.989135742,29242066.804043856,0.0016518158558089802
2019-07-26,99.81490811266121,29464758.527088165,29464858.34199628,0.007618871109398295
2019-07-29,99.81490811266121,29625208.42075348,29625308.235661592,0.0054454663179772655
2019-07-30,99.81490811266121,29703982.31239319,29704082.1273013,0.0026590066511067434
2019-07-31,99.81490811266121,29471417.137622833,29471516.952530947,-0.007829401150106663
2019-08-01,3090.3860561957117,29534077.78749466,29537168.173550855,0.0022276159427303543
2019-08-02,3090.3860561957117,29117523.335123062,29120613.721179258,-0.014102721355143344
