configuration,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,longest_underwater_trading_days,yearly_returns,benchmark_total_return,benchmark_annualized_return,annualized_excess_return,positive_excess_year_ratio
base,4.367877567463409,0.15623933351675778,0.5198897566266705,0.6882655832123635,0.26063205066537715,1146,"{'2010': 0.18811217635906474, '2011': -0.23929547187012645, '2012': 0.33313276647043777, '2013': 0.2613439111636249, '2014': 0.17245082256588407, '2015': 0.30242231711188716, '2016': 0.01320524558518077, '2017': 0.1937180428245613, '2018': -0.2989079297589422, '2019': 0.5047613547232126, '2020': 0.7003125057598196, '2021': 0.0661176900814997}",0.631600022315979,0.04320035153377222,0.11303898198298556,0.75
quality-25pct,3.8850870433825566,0.14686359190295994,0.5221103585256526,0.6544175333036732,0.2623496920433996,1148,"{'2010': 0.1842920796335452, '2011': -0.27263750720626856, '2012': 0.3323672716384014, '2013': 0.24777911119414076, '2014': 0.13005955613630893, '2015': 0.2960894635741973, '2016': 0.0025285400171046746, '2017': 0.1692516845373886, '2018': -0.29970767492883577, '2019': 0.4950785302118095, '2020': 0.717592348863026, '2021': 0.10483235036858063}",0.631600022315979,0.04320035153377222,0.10366324036918773,0.75
quality-40pct,3.670080889749589,0.1424126937875949,0.4977551658818088,0.6509233779116433,0.25474239617578387,1140,"{'2010': 0.18379546339567487, '2011': -0.21998142967994072, '2012': 0.3072187963538362, '2013': 0.20904928738344108, '2014': 0.1377736828503262, '2015': 0.35445861484940866, '2016': -0.04849485917537333, '2017': 0.23895135379744947, '2018': -0.2811826153132536, '2019': 0.48707384554101063, '2020': 0.6015619475975498, '2021': 0.028889258982260024}",0.631600022315979,0.04320035153377222,0.0992123422538227,0.75
positions-20,4.989969169538092,0.1672444259679995,0.5219716788658055,0.7166979578330397,0.26513792775671796,1147,"{'2010': 0.19573563053790788, '2011': -0.20670120046245422, '2012': 0.37183242457679433, '2013': 0.29144664009284615, '2014': 0.1027316391017874, '2015': 0.44683006458759, '2016': 0.029781263160147287, '2017': 0.25464352337406293, '2018': -0.35188631062648845, '2019': 0.4927278782509954, '2020': 0.5801173473481331, '2021': 0.131100553663682}",0.631600022315979,0.04320035153377222,0.12404407443422727,0.75
positions-40,3.4940645618541524,0.13862730048291172,0.524193855218072,0.6308802750834998,0.259601032541074,1214,"{'2010': 0.19777638173893286, '2011': -0.27056035962027214, '2012': 0.23437596367266833, '2013': 0.2524925409867744, '2014': 0.116933628569313, '2015': 0.30823586143313686, '2016': -0.0786069406548301, '2017': 0.24021439123948118, '2018': -0.2646406460805216, '2019': 0.42615622316739055, '2020': 0.7353558007503473, '2021': 0.09481621927341566}",0.631600022315979,0.04320035153377222,0.0954269489491395,0.75
quality-age-450,3.4390555832827907,0.1374164777192115,0.5177866368697647,0.629123249646309,0.25789826393293913,1143,"{'2010': 0.06273740579300835, '2011': -0.2368256380419218, '2012': 0.32729689568909337, '2013': 0.24452832657059886, '2014': 0.15109898746529837, '2015': 0.2707303442940805, '2016': -0.012643371898493294, '2017': 0.21745286875541914, '2018': -0.279335885564151, '2019': 0.5128273866214841, '2020': 0.6480735454309003, '2021': 0.048761751616041904}",0.631600022315979,0.04320035153377222,0.09421612618543929,0.6666666666666666
quality-age-650,4.079831504089164,0.15074318396118547,0.5192343512812648,0.6700191175677502,0.2605989638216895,1146,"{'2010': 0.13741182860841206, '2011': -0.24617850554756726, '2012': 0.3336003671065786, '2013': 0.2583121719366537, '2014': 0.16972661421181545, '2015': 0.3024766259097076, '2016': 0.01363601532315517, '2017': 0.1940248525654411, '2018': -0.29797626093914564, '2019': 0.504751389324668, '2020': 0.699595844417205, '2021': 0.066441471384864}",0.631600022315979,0.04320035153377222,0.10754283242741325,0.75
liquidity-70pct,3.5959701852798123,0.14083503678379294,0.5112680934052629,0.6388310769065955,0.2592109731390711,1147,"{'2010': 0.17233622180006058, '2011': -0.24966737952835183, '2012': 0.30373344056143114, '2013': 0.21669074996117943, '2014': 0.13315912323830004, '2015': 0.314194267549714, '2016': -0.0241394276433039, '2017': 0.22200254637810923, '2018': -0.29936710189321025, '2019': 0.4788213499936189, '2020': 0.6755604913132858, '2021': 0.06837933749291136}",0.631600022315979,0.04320035153377222,0.09763468525002073,0.75
liquidity-90pct,4.689509839949185,0.16206658233156124,0.5042859257227111,0.7199103948196289,0.25365616255112666,1143,"{'2010': 0.169441765072333, '2011': -0.20877021547970787, '2012': 0.3293120137585941, '2013': 0.21337721474280813, '2014': 0.19173917892120462, '2015': 0.3525984293570099, '2016': 0.006443240199454747, '2017': 0.19691385537488415, '2018': -0.28543729961332753, '2019': 0.5161708944392358, '2020': 0.6900433571541813, '2021': 0.07221588894629316}",0.631600022315979,0.04320035153377222,0.11886623079778902,0.75
