configuration,period,total_return,annualized_return,maximum_drawdown,sharpe,benchmark_total_return,benchmark_annualized_return,annualized_excess_return
base,development,1.806894043196718,0.14315040044433158,0.5198897566266705,0.6460954696902823,0.38582754135131836,0.04320511921964809,0.09994528122468349
base,selection-validation,0.9123905230672855,0.18284083513175609,0.36519703209302246,0.7712499344558444,0.17734789848327637,0.04319101168069173,0.13964982345106436
base,full,4.367877567463404,0.15623933351675756,0.5198897566266705,0.6882655832123635,0.631600022315979,0.04320035153377222,0.11303898198298534
quality-25pct,development,1.4587391461050765,0.12369360928444717,0.522110358525653,0.5774216230691065,0.38582754135131836,0.04320511921964809,0.08048849006479908
quality-25pct,selection-validation,0.9868260734861072,0.19459655034278356,0.3541455025499993,0.8068359983737178,0.17734789848327637,0.04319101168069173,0.15140553866209183
quality-25pct,full,3.8850870433825166,0.14686359190295928,0.522110358525653,0.6544175333036732,0.631600022315979,0.04320035153377222,0.10366324036918706
quality-40pct,development,1.6513125068993828,0.134731425007113,0.49775516588180957,0.6273583696072745,0.38582754135131836,0.04320511921964809,0.0915263057874649
quality-40pct,selection-validation,0.7614222682527507,0.15791551511988966,0.3468750820195514,0.6967193148010924,0.17734789848327637,0.04319101168069173,0.11472450343919793
quality-40pct,full,3.6700808897496033,0.14241269378759536,0.49775516588180957,0.6509233779116433,0.631600022315979,0.04320035153377222,0.09921234225382314
positions-20,development,2.464193900069446,0.17475805725254223,0.5219716788658051,0.7414054931947194,0.38582754135131836,0.04320511921964809,0.13155293803289414
positions-20,selection-validation,0.7291090921377092,0.15237622383097915,0.4049152988753737,0.6671240683512032,0.17734789848327637,0.04319101168069173,0.10918521215028743
positions-20,full,4.989969169538085,0.1672444259679995,0.5219716788658051,0.7166979578330397,0.631600022315979,0.04320035153377222,0.12404407443422727
positions-40,development,1.2554999937298854,0.11119617362792811,0.524193855218072,0.5362964675855287,0.38582754135131836,0.04320511921964809,0.06799105440828002
positions-40,selection-validation,0.9924914982696875,0.19547784933359735,0.317398485610745,0.8210511564287052,0.17734789848327637,0.04319101168069173,0.15228683765290563
positions-40,full,3.4940645618541257,0.13862730048291128,0.524193855218072,0.6308802750834998,0.631600022315979,0.04320035153377222,0.09542694894913906
quality-age-450,development,1.355672325277213,0.11747319399746381,0.5177866368697647,0.5626631580322883,0.38582754135131836,0.04320511921964809,0.07426807477781572
quality-age-450,selection-validation,0.8844113146171224,0.17833432104944102,0.34748792327612843,0.7590156132451674,0.17734789848327637,0.04319101168069173,0.1351433093687493
quality-age-450,full,3.439055583282806,0.13741647771921195,0.5177866368697647,0.629123249646309,0.631600022315979,0.04320035153377222,0.09421612618543973
quality-age-650,development,1.6530783160467646,0.1348293637133522,0.5192343512812643,0.6178258536408461,0.38582754135131836,0.04320511921964809,0.0916242444937041
quality-age-650,selection-validation,0.9146933859300537,0.18320956798446564,0.36426302747364325,0.7729449871761649,0.17734789848327637,0.04319101168069173,0.1400185563037739
quality-age-650,full,4.079831504089166,0.1507431839611857,0.5192343512812643,0.6700191175677502,0.631600022315979,0.04320035153377222,0.10754283242741347
liquidity-70pct,development,1.4779091165596907,0.12482546811090867,0.5112680934052627,0.5864657576462852,0.38582754135131836,0.04320511921964809,0.08162034889126057
liquidity-70pct,selection-validation,0.8547775439241398,0.17350691645586336,0.36190521870845527,0.7412233696176196,0.17734789848327637,0.04319101168069173,0.13031590477517163
liquidity-70pct,full,3.595970185279831,0.1408350367837934,0.5112680934052627,0.6388310769065955,0.631600022315979,0.04320035153377222,0.09763468525002117
liquidity-90pct,development,1.898052641325759,0.14789632269277364,0.5042859257227112,0.6753493929046661,0.38582754135131836,0.04320511921964809,0.10469120347312555
liquidity-90pct,selection-validation,0.9632182517383356,0.19090400365867954,0.3522764268068582,0.8064273794043643,0.17734789848327637,0.04319101168069173,0.14771299197798782
liquidity-90pct,full,4.689509839949211,0.16206658233156168,0.5042859257227112,0.7199103948196289,0.631600022315979,0.04320035153377222,0.11886623079778946
