trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,use_r2,use_ordinary_filters,use_buffer,use_regime,use_mainline,use_retention
factorial_top1_00,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.35573425425031924,-0.038687008807775314,0.42548801099962785,0.12101895633935288,0.7640221084596298,937.1068023045958,84.0993284119509,26129.458316476444,0.000985735950803744,0.9990142640491964,2747,-0.5872493716457718,False,False,False,False,False,False
factorial_top1_01,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.35573425425031924,-0.038687008807775314,0.42548801099962785,0.12101895633935288,0.7640221084596298,937.1068023045958,84.0993284119509,26129.458316476444,0.000985735950803744,0.9990142640491964,2747,-0.5872493716457718,False,False,False,False,False,True
factorial_top1_02,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.35573425425031924,-0.038687008807775314,0.42548801099962785,0.12101895633935288,0.7640221084596298,937.1068023045958,84.0993284119509,26129.458316476444,0.000985735950803744,0.9990142640491964,2747,-0.5872493716457718,False,False,False,False,True,False
factorial_top1_03,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.35573425425031924,-0.038687008807775314,0.42548801099962785,0.12101895633935288,0.7640221084596298,937.1068023045958,84.0993284119509,26129.458316476444,0.000985735950803744,0.9990142640491964,2747,-0.5872493716457718,False,False,False,False,True,True
factorial_top1_04,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.8616807232717365,0.12891025272301104,0.37861907075760237,0.5104655844292797,0.5577029958561666,1263.5132726681268,113.39221677790881,55112.173341134614,0.0021100747969115003,0.9978899252030885,1996,-0.5404767515417368,False,False,False,True,False,False
factorial_top1_05,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.8616807232717365,0.12891025272301104,0.37861907075760237,0.5104655844292797,0.5577029958561666,1263.5132726681268,113.39221677790881,55112.173341134614,0.0021100747969115003,0.9978899252030885,1996,-0.5404767515417368,False,False,False,True,False,True
factorial_top1_06,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.8616807232717365,0.12891025272301104,0.37861907075760237,0.5104655844292797,0.5577029958561666,1263.5132726681268,113.39221677790881,55112.173341134614,0.0021100747969115003,0.9978899252030885,1996,-0.5404767515417368,False,False,False,True,True,False
factorial_top1_07,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.8616807232717365,0.12891025272301104,0.37861907075760237,0.5104655844292797,0.5577029958561666,1263.5132726681268,113.39221677790881,55112.173341134614,0.0021100747969115003,0.9978899252030885,1996,-0.5404767515417368,False,False,False,True,True,True
factorial_top1_08,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.5361792005472505,-0.06662305134020075,0.42458982727474964,0.050985142244636336,0.7865259308331499,809.6420055165781,72.66017998225702,22975.915701601403,0.001170049012206462,0.9988299509877937,2747,-0.5540503507948276,False,False,True,False,False,False
factorial_top1_09,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.5361792005472505,-0.06662305134020075,0.42458982727474964,0.050985142244636336,0.7865259308331499,809.6420055165781,72.66017998225702,22975.915701601403,0.001170049012206462,0.9988299509877937,2747,-0.5540503507948276,False,False,True,False,False,True
factorial_top1_10,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,-0.5361792005472505,-0.06662305134020075,0.42458982727474964,0.050985142244636336,0.7865259308331499,809.6420055165781,72.66017998225702,22975.915701601403,0.001170049012206462,0.9988299509877937,2747,-0.5540503507948276,False,False,True,False,True,False
