trade_date,symbol,net_pnl,return_contribution
2015-01-05,SH511880,-60.095788725431845,-0.00030047894362715923
2015-01-06,SH511880,-36.86125416745759,-0.00018436166763642465
2015-01-06,SH510210,-193.30920000000415,-0.0009668365140144119
2015-01-06,SH510880,255.02704074868998,0.0012755184701859483
2015-01-06,SH510900,-1412.1208800000013,-0.00706272660062809
2015-01-07,SH510210,-139.2479999999941,-0.0007013152786968891
2015-01-07,SH510880,-243.95163645369126,-0.0012286496747392415
2015-01-07,SH510900,-1519.1398400000012,-0.007651068455340066
2015-01-07,SZ159903,-593.7782400000063,-0.0029905330911019937
2015-01-07,SH510420,333.40134000000035,0.0016791584344480813
2015-01-08,SH510880,-1536.8953096582288,-0.007825734039426045
2015-01-08,SZ159903,-844.8000000000008,-0.004301646361310913
2015-01-08,SH510420,-316.10731999999547,-0.0016095903206223056
2015-01-08,SH510300,-1607.8062278561385,-0.008186806119496185
2015-01-09,SH510880,-414.71778197128185,-0.0021590403290022977
2015-01-09,SZ159903,-223.8508800000002,-0.001165378236991347
2015-01-09,SH510300,-460.71789667710806,-0.0023985190953009846
2015-01-09,SH510210,582.3474999999966,0.003031728545656438
2015-01-12,SH510880,-1317.3388368499077,-0.0068766345655170424
2015-01-12,SH510300,-194.9191101326238,-0.0010174963742988338
2015-01-12,SH510210,-520.1699999999985,-0.0027153370885948766
2015-01-12,SH510120,-1297.847319999996,-0.006774886985657501
2015-01-13,SH510880,-207.79312489852302,-0.0011038903834740697
2015-01-13,SH510300,-65.71254800143623,-0.00034909456146727045
2015-01-13,SH510120,606.2859599999953,0.0032208632562130374
2015-01-13,SH510210,-186.528000000004,-0.0009909204914705975
2015-01-13,SZ159910,525.4108000000004,0.0027912180914390823
2015-01-13,SZ159903,467.12120000000635,0.002481557562834168
2015-01-14,SH510210,509.4024000000043,0.0026899010977768333
2015-01-14,SZ159910,-1626.3740000000014,-0.008588073413073173
2015-01-14,SZ159903,-586.3000000000063,-0.0030959591349129113
2015-01-15,SZ159903,-12.55748,-6.691162762765552e-05
2015-01-15,SH510260,235.34742000000963,0.001254031774700823
2015-01-15,SZ159920,1062.8467199999918,0.005663302187534003
2015-01-16,SH510260,743.3441399999913,0.003933906781837205
2015-01-16,SZ159920,563.3139200000097,0.0029811554715308106
2015-01-16,SH510060,705.5391600000045,0.0037338362368414917
2015-01-16,SH510650,175.33632000000435,0.0009279103731824718
2015-01-16,SH510110,162.28449999999629,0.0008588378663172791
2015-01-19,SH510060,-6395.4000000000015,-0.033429849955479575
2015-01-19,SH510650,-6354.4000000000015,-0.03321553594100438
2015-01-19,SH510110,-6369.999999999998,-0.03329707980992663
2015-01-20,SH510060,159.44039999999637,0.0009259655265002558
2015-01-20,SH510650,-1139.204800000001,-0.006616041934313031
2015-01-20,SH510110,530.9150000000024,0.003083340154075734
2015-01-20,SH518880,-2014.3200000000163,-0.011698358002990789
2015-01-21,SH518880,3300.0000000000173,0.019443205702465837
2015-01-22,SH518880,-2046.000000000009,-0.011824874076454548
2015-01-23,SH518880,1188.0000000000157,0.006948217714895192
2015-01-26,SH518880,131.99999999998545,0.0007666970127776759
2015-01-27,SH518880,-1288.1880000000085,-0.007476463965110023
2015-01-27,SH510260,179.0236000000002,0.001039028072225687
2015-01-27,SZ159915,56.202640000000066,0.00032619230477542793
2015-01-27,SZ159902,8.229048972211409,4.776025557439121e-05
2015-01-28,SH510260,-999.6000000000062,-0.005836931492505145
2015-01-28,SZ159915,-676.0000000000007,-0.003947344626784172
2015-01-28,SZ159902,-785.2145965852002,-0.004585077838318177
2015-01-29,SH510260,-856.8000000000008,-0.00507602331210161
2015-01-29,SZ159915,-540.8000000000004,-0.003203913873931548
2015-01-29,SZ159902,-176.6732842316736,-0.0010466826673500562
2015-01-30,SH510260,-11.043199999999999,-6.604023261168554e-05
2015-01-30,SZ159915,-980.1999999999972,-0.0058617643442094676
2015-01-30,SZ159902,-785.2145965852002,-0.004695718144068517
2015-01-30,SH510500,-564.6581600000005,-0.0033767527738777156
2015-02-02,SZ159915,-484.07684000000046,-0.00293596698752753
2015-02-02,SZ159902,-325.07884298627454,-0.0019716306843999116
2015-02-02,SH510500,-253.09900000000405,-0.0015350668471894701
2015-02-02,SH518880,347.68559999998627,0.0021087425782209714
2015-02-03,SH518880,126.80000000001417,0.0007724002496763485
2015-02-04,SH518880,-1775.2000000000016,-0.010805257511867696
2015-02-05,SH518880,1014.4000000000009,0.006241877962668685
2015-02-06,SH518880,-760.8000000000006,-0.004652368952761071
2015-02-09,SH518880,-3804.0000000000036,-0.023370573293403814
2015-02-10,SH518880,633.9999999999865,0.0039883045118102225
2015-02-11,SH518880,-538.9760800000005,-0.0033770686534330026
2015-02-11,SH511880,-30.281857250731345,-0.00018973738294504204
2015-02-12,SH511880,61.546930793772546,0.0003870157256021471
2015-02-12,SZ159915,423.4228000000004,0.0026625419020094147
2015-02-12,SZ159907,330.9847799999908,0.0020812786786099905
2015-02-12,SZ159902,318.206535662736,0.002000927287560535
2015-02-13,SZ159915,1270.9999999999977,0.007935631064629292
2015-02-13,SZ159907,854.0000000000007,0.00533204479086816
2015-02-13,SZ159902,803.690234151913,0.005017930124685383
2015-02-16,SZ159915,2139.0000000000055,0.013115265842321555
2015-02-16,SZ159907,-10.85434,-6.655332147870229e-05
2015-02-16,SZ159902,1735.2402782825452,0.010639615497886655
2015-02-17,SZ159915,-310.0000000000002,-0.0018567791714814476
2015-02-17,SZ159902,146.12549711853387,0.0008752347724905348
2015-02-17,SH513100,64.92270000000006,0.0003888616681172213
2015-02-25,SZ159915,-527.0000000000039,-0.0031583965185923027
2015-02-25,SZ159902,-602.7676756139348,-0.0036124844936983153
2015-02-25,SH513100,481.70899999999625,0.0028869602060238265
2015-02-25,SZ159907,1328.218560000006,0.007960229365908292
2015-02-26,SZ159915,341.00000000000375,0.0020353715331570743
2015-02-26,SZ159902,584.50198847412,0.0034887938663164665
2015-02-26,SZ159907,345.6000000000003,0.0020628281579445095
2015-02-27,SZ159915,1518.999999999998,0.008998384327416663
2015-02-27,SZ159902,438.37649135558615,0.002596892790863738
2015-02-27,SZ159907,561.5999999999957,0.0033268549297413865
2015-03-02,SZ159915,1580.999999999998,0.009227964416810355
2015-03-02,SZ159902,949.8157312704393,0.005543874617767446
2015-03-02,SZ159907,1166.4000000000058,0.0068080314331231285
2015-03-03,SZ159915,-960.9999999999974,-0.0054906669598164745
2015-03-03,SZ159902,-840.2216084315427,-0.004800600441559771
2015-03-03,SZ159907,-561.6000000000054,-0.0032086977779739543
2015-03-04,SZ159915,1766.9999999999982,0.010233899764977433
2015-03-04,SZ159902,1132.4726026686028,0.006558919695695308
2015-03-04,SZ159907,1080.0000000000057,0.006255015136488793
2015-03-05,SZ159915,-62.00000000000006,-0.0003509945382185426
2015-03-05,SZ159902,310.5166813768825,0.0017578977288553726
2015-03-05,SZ159907,172.80000000000013,0.000978255745228454
2015-03-06,SZ159915,-1798.0000000000016,-0.010154621222787874
2015-03-06,SZ159902,-1497.7863454649375,-0.008459095111713088
2015-03-06,SZ159907,-1209.600000000001,-0.006831496012838828
2015-03-09,SZ159915,1457.0000000000045,0.008443593821752474
2015-03-09,SZ159902,-303.4661261409072,-0.001758644274395685
2015-03-09,SZ159907,-789.0048000000007,-0.004572433805499679
2015-03-09,SH510500,1482.685440000005,0.008592445861898662
2015-03-09,SH510290,1134.692800000001,0.0065757619187831115
2015-03-10,SZ159915,1394.9999999999977,0.007946962691874794
2015-03-10,SH510500,-78.00008000000007,-0.0004443467567908608
2015-03-10,SH510290,26.655959999995794,0.00015185227214055465
2015-03-10,SZ159907,1400.8439999999964,0.00798025448396892
2015-03-10,SZ159902,1023.0699546190339,0.005828171154505744
2015-03-11,SZ159915,-43.22019999999659,-0.00024104112405335006
2015-03-11,SZ159907,73.74440000000008,0.0004112760484366405
2015-03-11,SZ159902,-221.7076508005263,-0.0012364741801331482
2015-03-11,SH510070,-540.0172800000043,-0.0030117022174687763
2015-03-11,SH510500,-183.05891999999636,-0.001020928358609976
2015-03-12,SZ159902,0.0,0.0
2015-03-12,SH510070,269.63200000000023,0.0015114572934227443
2015-03-12,SH510500,-68.40000000000006,-0.00038342510855579354
2015-03-12,SZ159907,-445.96103999999076,-0.0024998926925972353
2015-03-13,SZ159902,794.4524153685592,0.004459524330767349
2015-03-13,SH510500,752.4000000000007,0.004223470206095046
2015-03-13,SZ159907,911.399999999996,0.0051159898270002726
2015-03-16,SZ159902,2198.6008704385617,0.012173492478365626
2015-03-16,SH510500,1949.399999999998,0.010793685455328793
2015-03-16,SZ159907,2213.399999999997,0.012255434178118776
2015-03-17,SZ159902,129.3294629669802,0.0006917234848495815
2015-03-17,SH510500,855.0000000000045,0.004572999577810006
2015-03-17,SZ159907,607.6000000000006,0.003249771395879939
2015-03-18,SZ159902,-123.18446591228584,-0.0006532942671377839
2015-03-18,SH510500,991.7999999999971,0.005259894170492401
2015-03-18,SZ159907,1128.400000000001,0.005984336138317854
2015-03-18,SH510290,-420.4171999999963,-0.0022296329698071435
2015-03-19,SH510500,649.7999999999968,0.003417562285938068
2015-03-19,SZ159907,73.93624000000008,0.0003888607346692323
2015-03-19,SH510290,-12.23558,-6.435188789562682e-05
2015-03-19,SH510630,-485.5559999999956,-0.0025537363393520122
2015-03-19,SH510660,-416.65403999999535,-0.0021913529291900926
2015-03-20,SH510500,-115.63019999999631,-0.0006087568093177558
2015-03-20,SH510630,-43.00000000000481,-0.00022638154046838337
2015-03-20,SH510660,-57.364240000005026,-0.0003020047678836684
2015-03-20,SH510290,523.4767400000005,0.0027559411814082387
2015-03-20,SZ159902,433.2255675821579,0.0022807970083611085
2015-03-23,SH510630,1290.0000000000011,0.006765065199137757
2015-03-23,SH510290,-12.8305,-6.728617754847824e-05
2015-03-23,SZ159902,2155.3510824983196,0.011303171007855243
2015-03-23,SH510880,1079.6519038515858,0.005661950016999365
2015-03-24,SH510630,30.28060000000481,0.00015512785550195673
2015-03-24,SZ159902,79.6550869885296,0.0004080739095113852
2015-03-24,SH510880,-35.84849283570605,-0.00018365223333023306
2015-03-24,SH510170,893.0140000000075,0.0045749207992313076
2015-03-24,SH510260,-1091.7194399999958,-0.005592891010646075
2015-03-24,SH510410,-236.2348800000002,-0.0012102339560364158
2015-03-25,SH510170,-513.4000000000106,-0.002635025245105585
2015-03-25,SH510260,93.80000000000007,0.0004814284534298773
2015-03-25,SH510410,61.394880000000065,0.00031510919111847456
2015-03-25,SH510630,830.6085599999958,0.004263098021816792
2015-03-26,SH510170,-30.199999999996635,-0.00015462657579910424
2015-03-26,SH510260,924.9899400000008,0.004736027386451489
2015-03-26,SH510630,577.2000000000055,0.002955313230173966
2015-03-26,SH510410,735.9823800000007,0.003768292558539336
2015-03-27,SH510170,241.6000000000002,0.0012231844975756385
2015-03-27,SH510630,31.115519999995108,0.0001575332023923788
2015-03-27,SH510410,374.50000000000034,0.0018960372282370724
2015-03-27,SH510660,761.9395200000057,0.00385758530196287
2015-03-30,SH510170,513.3999999999971,0.0025808543642292896
2015-03-30,SH510410,-13.242320000000001,-6.656895084635957e-05
2015-03-30,SH510660,1048.7999999999956,0.0052723024098240805
2015-03-30,SH510160,2601.8425800000023,0.013079424966167973
2015-03-31,SH510170,392.6000000000106,0.001933255186378366
2015-03-31,SH510660,-227.99999999999514,-0.0011227258851101531
2015-03-31,SH510160,1577.7012000000013,0.007768973579865746
2015-03-31,SH510410,-954.8806400000009,-0.004702057946134094
2015-04-01,SH510170,332.19999999999015,0.0016295129647591106
2015-04-01,SH510660,1595.9999999999964,0.00782872574279233
2015-04-01,SH510410,705.6000000000005,0.0034611208547081977
2015-04-02,SH510170,604.0000000000005,0.002924962206564033
2015-04-02,SH510660,989.1004800000009,0.0047898700703548755
2015-04-02,SH510410,1019.2000000000008,0.004935631590943812
2015-04-02,SH510300,-628.4519487867772,-0.0030433745013954258
2015-04-03,SH510170,634.1999999999972,0.003041985688530987
2015-04-03,SH510410,548.8000000000004,0.0026323584766096094
2015-04-03,SH510300,-150.4616230013535,-0.0007216999429884329
2015-04-03,SH510060,1128.477000000001,0.005412820693529487
2015-04-07,SH510170,1449.6000000000013,0.006881777323806275
2015-04-07,SH510410,1489.6000000000013,0.007071671841571349
2015-04-07,SH510060,271.39140000000026,0.0012883934757147064
2015-04-07,SZ159923,1401.7833600000013,0.006654774378957622
2015-04-08,SH510170,288.047600000007,0.001338165211244528
2015-04-08,SH510410,-14.645120000000002,-6.803594301254721e-05
2015-04-08,SZ159923,221.45295999999496,0.001028790543643176
2015-04-08,SH510110,1658.8894399999995,0.0077066017488389505
2015-04-08,SH510630,571.8950600000055,0.0026568180876167372
2015-04-08,SH510650,1889.0981999999972,0.008776068579861776
2015-04-09,SH510110,1940.1637600000017,0.008824125539679921
2015-04-09,SH510630,-285.06808000000024,-0.0012965279411648832
2015-04-09,SH510650,-14.7825,-6.723279677707118e-05
2015-04-09,SH513030,-909.8754400000008,-0.004138235788937478
2015-04-10,SH513030,1470.3947200000255,0.006665409458368941
2015-04-10,SH510170,4302.838800000003,0.019505090738734687
2015-04-13,SH510170,5829.1999999999725,0.025750302157431605
2015-04-13,SH513030,-2.041640000000002,-9.018878559098841e-06
2015-04-14,SH510170,98.80000000003304,0.0004254930618406156
2015-04-14,SH513030,-1.7999999999999794,-7.751897887781815e-06
2015-04-15,SH510170,-4544.800000000027,-0.01956450794434106
2015-04-15,SH513030,-0.8407200000000007,-3.619141242511515e-06
2015-04-15,SH510410,0.7632000000000008,3.28543224412978e-06
2015-04-16,SH510170,3556.800000000003,0.015616896143562726
2015-04-16,SH510410,0.5629200000000005,2.471621451061159e-06
2015-04-17,SH510170,52.56159999998912,0.00022723377292028322
2015-04-17,SZ159903,921.2779400000009,0.003982859391922427
2015-04-17,SH510410,6300.071679999993,0.0272364056176928
2015-04-20,SZ159903,-2439.7000000000107,-0.010225722966918524
2015-04-20,SH510410,-145.9686399999866,-0.0006118108269450008
2015-04-21,SZ159903,291.9140400000003,0.0012369295114745898
2015-04-21,SH511880,211.62352984939244,0.0008967139415190069
2015-04-22,SH511880,-208.48326047836196,-0.0008815267911203107
2015-04-22,SH510410,910.6666400000008,0.003850558740771586
2015-04-22,SH510170,774.2631999999971,0.0032738060245819096
2015-04-22,SZ159903,1281.7327800000069,0.005419532398114953
2015-04-23,SH510410,-324.6568800000003,-0.0013569171757904304
2015-04-23,SH510170,2654.4000000000024,0.011094177186136079
2015-04-23,SZ159903,0.0,0.0
2015-04-23,SZ159907,607.1402000000006,0.0025375681719507596
2015-04-24,SH510170,-111.2067200000036,-0.0004591571199281482
2015-04-24,SZ159903,-726.6000000000006,-0.003000030603724145
2015-04-24,SZ159907,89.0,0.0003674686536353547
2015-04-24,SH510650,-1309.3779999999915,-0.005406240120896071
2015-04-27,SZ159903,1193.6999999999953,0.004970863904724143
2015-04-27,SZ159907,-3263.8524999999977,-0.01359149416318481
2015-04-27,SH510650,457.88577999999563,0.0019067503529265704
2015-04-27,SH510110,-15.732000000000001,-6.551196359983289e-05
2015-04-27,SZ159915,-607.8064000000006,-0.002531057128943905
2015-04-28,SZ159903,-622.8000000000005,-0.002617867735192659
2015-04-28,SH510110,-760.0000000000007,-0.0031945720596442215
2015-04-28,SZ159915,-1983.199999999992,-0.008336151721955775
2015-04-29,SZ159903,1245.6000000000013,0.005310876898214122
2015-04-29,SH510110,1181.1806000000115,0.005036211272606575
2015-04-29,SZ159915,4143.999999999991,0.017668813315831127
2015-04-29,SH510650,274.6470000000049,0.001171015099119973
2015-04-30,SZ159903,-311.40000000000026,-0.0012900661708352365
2015-04-30,SZ159915,740.0000000000106,0.00306566784334646
2015-04-30,SH510650,-1120.5000000000057,-0.004642001106040104
2015-05-04,SZ159903,103.8000000000001,0.0004312582152489732
2015-05-04,SZ159915,-236.80000000000024,-0.0009838337704331105
2015-05-04,SH510650,399.23000000000036,0.0016586822473395719
2015-05-04,SH510660,-334.2429999999952,-0.0013886805360256297
2015-05-05,SZ159903,-68.09279999999428,-0.0002829853534623892
2015-05-05,SZ159915,-282.5675200000101,-0.0011743160734203955
2015-05-05,SH510660,-1228.5000000000061,-0.005105495834046714
2015-05-05,SH510880,-3516.3299816970657,-0.014613437584605484
2015-05-05,SH510630,-2614.602880000002,-0.010865969972752531
2015-05-06,SH510660,121.03910000000518,0.0005196752449997031
2015-05-06,SH510880,-129.79994879914284,-0.0005572895055658922
2015-05-06,SH510630,-247.63679999999505,-0.0010632160575461515
2015-05-06,SH513100,-506.23230000000046,-0.002173482738464283
2015-05-06,SH513500,-626.2758000000006,-0.002688883425292913
2015-05-07,SH513100,-161.0000000000001,-0.0006953921048104207
2015-05-07,SH513500,-201.00000000000017,-0.0008681603296080408
2015-05-08,SH513100,1207.4999999999923,0.005223608171350882
2015-05-08,SH513500,502.5000000000116,0.002173799673792046
2015-05-11,SH513100,563.5000000000094,0.002419783686471283
2015-05-11,SH513500,804.0000000000007,0.0034525396342908266
2015-05-12,SH513100,-23.457700000000003,-0.0001001440597365334
2015-05-12,SH513500,-23.3763,-9.979655224592033e-05
2015-05-12,SH510120,905.671200000007,0.003866431523740971
2015-05-12,SH510420,623.5583999999964,0.002662054236298393
2015-05-12,SH510660,965.5454000000009,0.004122042494188906
2015-05-13,SH510120,-639.2000000000131,-0.002700607385241932
2015-05-13,SH510420,-300.8000000000003,-0.0012708740636432373
2015-05-13,SH510660,-60.44191999999509,-0.0002553659191648708
2015-05-13,SH510160,-648.2310800000006,-0.0027387635200114505
2015-05-14,SH510120,282.0000000000107,0.0011998017870570189
2015-05-14,SH510420,360.2155200000087,0.0015325788107151328
2015-05-14,SH510160,-542.5992000000005,-0.0023085513823251228
2015-05-14,SZ159912,808.923919999996,0.003441660868117473
2015-05-14,SZ159902,-569.9618716595456,-0.002424969050253405
2015-05-15,SH510120,-1597.9999999999993,-0.006789096956360022
2015-05-15,SZ159912,-666.7107999999957,-0.002832518312298078
2015-05-15,SZ159902,-571.5900372201253,-0.0024283981113747597
2015-05-15,SZ159907,262.9108399999958,0.0011169757094105313
2015-05-18,SH510120,-109.303199999998,-0.00046950737361741134
2015-05-18,SZ159902,2736.703814569024,0.011755398015310413
2015-05-18,SZ159907,1791.000000000006,0.007693166404540781
2015-05-18,SZ159912,1274.7092000000011,0.005475460632606941
2015-05-19,SZ159902,347.6514531834039,0.0014576756788040525
2015-05-19,SZ159907,-175.27124000000015,-0.0007348987654225191
2015-05-19,SZ159912,2278.9999999999973,0.009555670892714158
2015-05-19,SH510420,3615.0270400000118,0.015157529031374628
2015-05-20,SZ159912,-101.98740000000006,-0.0004170180263731846
2015-05-20,SH510420,2294.631999999985,0.009382560079899542
2015-05-20,SZ159907,-784.4352000000007,-0.003207490522570969
2015-05-20,SZ159902,1601.9220931252457,0.006550126679165175
2015-05-20,SH510660,482.8834800000055,0.0019744705306519953
2015-05-21,SZ159907,-131.45856000000435,-0.0005299540102081699
2015-05-21,SZ159902,-206.03686695694148,-0.0008306044421493336
2015-05-21,SH510660,3404.999999999998,0.01372670904624817
2015-05-21,SZ159929,4015.2470399999984,0.016186821693653215
