trade_date,cash,positions_value,total_value,daily_return,cash_ratio,exposure,gross_traded,transaction_cost,holdings
2015-01-05,5956.126437178667,193983.7777740959,199939.90421127458,-0.0003004789436270583,0.029789583328422953,0.970210416671577,194005.07254831167,38.80101450966234,SH511880
2015-01-06,113.89636589992733,198438.74355195588,198552.6399178558,-0.006938406312093082,0.0005736330977369426,0.9994263669022632,393734.91041451774,78.74698208290357,SH510210;SH510880;SH510900
2015-01-07,116.63162589991407,196273.2919155022,196389.9235414021,-0.010892408065430126,0.0005938778517591626,0.9994061221482409,259823.69999999998,51.96474,SH510420;SH510880;SZ159903
2015-01-08,59.66785122061992,192024.64683266712,192084.31468388773,-0.021923776840855447,0.0003106336470982289,0.9996893663529018,130104.14294609008,26.020828589218016,SH510300;SH510880;SZ159903
2015-01-09,26.264471220609266,191541.11115401873,191567.37562523934,-0.002691209115638138,0.00013710304865265836,0.9998628969513473,126516.9,25.30338,SH510210;SH510300;SH510880
2015-01-12,114.34715122061607,188122.75320703618,188237.10035825678,-0.01738435501406843,0.0006074634118512673,0.9993925365881489,126586.6,25.317320000000002,SH510120;SH510300;SH510880
2015-01-13,52.184645356850524,189323.7,189375.88464535685,0.006049733474074559,0.0002755611964774523,0.9997244388035226,376973.23214056436,75.39464642811286,SH510210;SZ159903;SZ159910
2015-01-14,124885.21304535684,62787.399999999994,187672.61304535682,-0.008994131450209442,0.6654418618617225,0.33455813813827756,124858.0,24.9716,SZ159903
2015-01-15,93.24970535683678,188865.0,188958.24970535684,0.006850422334607309,0.0004934936976937568,0.9995065063023062,250316.69999999998,50.06334,SH510260;SZ159920
2015-01-16,26.767745356868545,191281.3,191308.06774535685,0.012435646729709315,0.00013991958453366487,0.9998600804154664,380409.80000000005,76.08196000000001,SH510060;SH510110;SH510650
2015-01-19,26.767745356868545,172161.5,172188.26774535686,-0.09994246570641052,0.00015545626718572032,0.9998445437328143,0.0,0.0,SH510060;SH510110;SH510650
2015-01-20,105.09834535684786,169620.0,169725.09834535685,-0.014305094256727768,0.0006192268932612053,0.9993807731067388,343347.0,68.6694,SH518880
2015-01-21,105.09834535684786,172920.0,173025.09834535685,0.019443205702465827,0.0006074167641683539,0.9993925832358317,0.0,0.0,SH518880
2015-01-22,105.09834535684786,170874.0,170979.09834535685,-0.011824874076454495,0.0006146853409213918,0.9993853146590786,0.0,0.0,SH518880
2015-01-23,105.09834535684786,172062.0,172167.09834535685,0.006948217714895177,0.0006104438441892475,0.9993895561558107,0.0,0.0,SH518880
2015-01-26,105.09834535684786,172194.0,172299.09834535685,0.0007666970127777617,0.0006099761772762641,0.9993900238227237,0.0,0.0,SH518880
