top_k,symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
1,SH513310,707661.6594199997,0.3249428692825259,59,0.9999082933549618,0.9999934646908377,0.021009469126760237,0.11814257050291209
1,SH513350,534312.5872,0.19120772259259616,2,0.9999959799432243,0.9999961720099775,0.0007122478489624105,0.08920232100126313
1,SZ159509,394753.71784000064,0.404222777189309,64,0.9999160448076497,0.9999886738539027,0.022790109283365237,0.06590327216458619
1,SZ159516,311010.29448000004,0.12748018321271035,3,0.9999174152551248,0.9999801661747213,0.0010682878368110306,0.05192249029409042
1,SH588200,290977.15967999987,0.11723753697317191,7,0.9998772896366738,0.9999844711385966,0.002492571590974614,0.04857800213509765
1,SZ159851,250185.8995199998,0.28667806414961877,10,0.9999277464597205,0.9999872640257187,0.0035609962480759277,0.04176799022445487
1,SZ159529,197406.75647999972,0.20485535362706203,27,0.999934953067986,0.9999873784644449,0.00961475916411525,0.03295662741472304
1,SH588080,183637.75209175804,0.06825960506412915,2,0.9998341665435826,0.999994828551893,0.000712132597253264,0.03065792216477917
1,SH513290,166363.93305999984,0.15340815594211393,35,0.9998769884068825,0.99993884324251,0.012462854200228236,0.027774095754730815
1,SH588790,126837.20519999981,0.06643904195263732,2,0.9999717681086562,0.9999756491932383,0.0007122306040659944,0.021175194753400833
1,SH515400,109551.59494000013,0.17000081750775106,9,0.9998652329959676,0.9999916926141558,0.00320469625960246,0.018289399823516354
1,SH512200,104005.32831333324,0.1912363522720784,6,0.9997752477776843,0.9999731032136832,0.002136271896960864,0.01736346270759858
1,SZ159870,101418.01884000009,0.04819383910319131,7,0.999962230880172,0.9999636618202445,0.0024927833390887477,0.01693151703441255
1,SH513100,98114.33386000039,0.23246045652803835,247,0.9994466280442903,0.999962975958871,0.08791428672611813,0.016379974032932263
1,SZ159227,89746.76233999991,0.04676156640760321,1,0.9999777237515154,0.9999777237515154,0.0003561174229884314,0.01498302621884545
1,SH512670,84509.05525999983,0.11272000293078305,10,0.999801804861846,0.999947248673458,0.003560547738111987,0.014108602446219875
1,SZ159949,82556.15787999996,0.024565337800842763,27,0.9998960504820742,0.9999936437273512,0.009614385100789175,0.013782570488249048
1,SH513980,82227.73599999992,0.12564119976716515,3,0.9999242778828688,0.9999608886320013,0.0010682951686782785,0.013727741171730184
1,SH518880,80284.53038000013,0.2373964218033489,258,0.9994908511157499,0.9999880404042216,0.09183356110678899,0.0134033272319519
1,SH515260,79035.94479999974,0.03815094305198095,1,0.9999572728901132,0.9999572728901132,0.0003561101399181315,0.013194878592760374
1,SH588220,74250.13263999991,0.03847313977778221,4,0.9999687780001485,0.9999692229148524,0.0014244569487181602,0.012395897691364809
1,SZ159731,73577.28560000006,0.03242131607864493,1,0.9999880047894546,0.9999880047894546,0.00035612108432672886,0.01228356734563715
1,SH560800,66264.18588000005,0.044006772822332826,1,0.9999726853762114,0.9999726853762114,0.000356115628695232,0.011062661298567913
1,SZ159980,65003.88740000023,0.11020790106786879,65,0.9997816625148691,0.9999905741777649,0.023143094039696045,0.010852257216269423
1,SZ159748,61683.55074000005,0.04118942829863705,1,0.9999790452856026,0.9999790452856026,0.00035611789362022885,0.010297934253133363
1,SH520500,57130.25640000005,0.03927968359494647,1,0.9999475188437,0.9999475188437,0.0003561066662548789,0.009537771694623616
1,SZ159790,56542.98008000005,0.03482957754562668,6,0.9999153704310736,0.9999870278492293,0.002136571304339901,0.009439727193954812
1,SZ159363,55147.30007999983,0.03808606581972404,3,0.9999604181386202,0.9999808141092726,0.0010683337800626285,0.009206721462183681
1,SH510170,50660.986420000016,0.2248294347783073,17,0.9995150728844995,0.9998554695088797,0.006051195241822112,0.008457741182103063
1,SH513050,49376.13580000006,0.03081442503190398,19,0.9995048168298454,0.9999125358953755,0.0067630311680082125,0.008243238173584182
1,SH520600,44303.06795999962,0.030496823272323052,3,0.9999579424591535,0.9999955009325588,0.0010683311351059332,0.007396300562968775
1,SH512660,42110.359760000036,-0.012763684038193213,20,0.999768235525426,0.9999883746168903,0.007120856378386226,0.0070302327116694915
1,SH563320,41322.67072000004,0.022232753096649342,2,0.9999868080515428,0.9999868141335043,0.0007122413162760277,0.006898729744532848
1,SH589720,39061.95282000005,0.017410837891888298,7,0.9999901276483,0.9999917833095541,0.002492852882314138,0.006521307822159875
1,SH562500,38174.16112000003,0.03280248552661635,3,0.9999646528884192,0.9999858515439678,0.0010683383043679693,0.0063730929342781205
1,SZ159570,36602.16039999988,0.02450856837411531,1,0.9999710264517152,0.9999710264517152,0.000356115037910155,0.006110650842890177
1,SH515050,36006.86479999979,0.01730633065194595,8,0.9999264073753023,0.999934898728128,0.0028487931834054194,0.00601126754091685
1,SZ159985,35565.549760000096,0.2905906316037738,183,0.9997826394717049,0.9999808143905363,0.06515677458095512,0.005937590957576315
1,SH516590,34880.22204000001,0.1270088479195079,8,0.9998166154971999,0.9998895472850365,0.0028484803860319087,0.005823176989545221
1,SH588770,33385.94688000003,0.014659389166202165,3,0.9999462146807749,0.9999472481163366,0.0010683186054281783,0.005573711010865893
1,SZ159997,33232.41838000015,0.012754210339381391,4,0.9999246406315323,0.9999966347827467,0.0014243940749736927,0.005548079762664162
1,SH516510,32659.701439999993,0.07096698926733581,4,0.9997573236873595,0.9997911233932314,0.0014241557317483753,0.005452465918729709
1,SZ159691,32577.397514194025,0.05650870440575472,3,0.9999565018382995,0.9999576187568578,0.0010683295959810894,0.005438725457836056
1,SH513690,32321.552040956714,0.02421563827913227,3,0.9999477326534176,0.9999971774466613,0.0010683202271938223,0.005396012614124043
1,SH513120,31875.31160000006,0.03966694687740333,14,0.99993145274556,0.9999978251830035,0.004985413225939401,0.005321513745836928
1,SZ159196,31510.820599999817,0.01180630394155252,1,0.9999546796330021,0.9999546796330021,0.0003561092163935193,0.0052606627684072624
1,SH561360,31032.817200000027,0.014806511439245995,2,0.9999630749274865,0.9999638274487423,0.0007122244123415146,0.005180861143388618
