top_k,regime,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
1,bull,1224,1.8141424174023002,0.23740659587361912,0.33933268445141673,0.7973462726566899,0.29899785822475167,1163.7199813965683,239.5894079345876,180013.52809561128,0.004175729904841217,0.995824270095159,304,0.031910133209678726
1,bear,659,0.6157935402566552,0.20139618854198482,0.23449780390658156,0.8998208756302107,0.1858587173222438,343.9347882270303,131.51982797148958,22743.78890477058,0.004846917916676772,0.9951530820833232,262,
1,sideways,925,1.9523133154529346,0.3430355192543262,0.29012174215222114,1.161583935029556,0.27164716718162907,659.2625846229315,179.60450954051757,47493.89956813284,0.004366118803452747,0.9956338811965473,478,0.31393857781713375
3,bull,1224,1.0484687941821957,0.15909173175047986,0.24889041489985006,0.7179753134293029,0.20871125988410877,910.8586803948442,187.5297283165856,109503.87832586214,0.03441050140419288,0.9655894985958071,533,0.02956207499230956
3,bear,659,0.515803200732109,0.1724042273137807,0.17909208403339696,0.9776362458854532,0.1657287218193939,309.61312058341224,118.39530559487083,20999.37268868375,0.04362041491339294,0.9563795850866069,235,
3,sideways,925,1.7015371402098314,0.3109460488145379,0.21677760933197643,1.3577122988055583,0.20816790812162256,539.1413054224979,146.8795772610481,37625.46448572885,0.043346917588137794,0.9566530824118623,274,0.27008600329519283
