top_k,module,paired_comparisons,mean_delta_sharpe,mean_delta_annualized_return,positive_delta_sharpe_ratio
1,regime_pool_switch,8,0.5949092628517456,0.1871208452012933,1.0
1,regime_filter_relaxation,8,-0.004765348971312977,0.02214722498198929,0.5
1,regime_dynamic_lookback,8,-0.001433434150074589,-0.0021177818870017906,0.5
1,regime_buffer_disable,8,-0.012712943918994052,-0.004203281837055983,0.375
3,regime_pool_switch,8,0.594755353249047,0.13739898464613726,1.0
3,regime_filter_relaxation,8,0.06967826453333649,0.028425998069591674,0.625
3,regime_dynamic_lookback,8,-0.010198756962800471,-0.0032538888900575103,0.375
3,regime_buffer_disable,8,0.016051464248985726,0.004231333433124096,0.875
