trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
capacity_top1_200000_0.005,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,0.005,2808,11.555715937798421,0.25491404259054273,0.2725026541684487,0.9696578616072832,0.33750910192852046,1798.9728492707482,161.44628134481073,173326.02300221453,0.13175672635347738,0.8682432736465225,769,-0.2580088042348949
capacity_top1_200000_0.01,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,0.01,2808,11.366332857853763,0.25320356629418606,0.283482899601067,0.9381805743327665,0.34979007088860226,2012.1837765114847,180.58059532795377,202086.2731198257,0.0795207386755617,0.9204792613244382,859,-0.2626335809543522
capacity_top1_200000_0.05,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,0.05,2808,13.422390723119115,0.27062139584097356,0.29967337183494014,0.9491277268167297,0.32795751061163236,2314.229723762217,207.68728290173743,263471.5181421008,0.014212881891573867,0.9857871181084262,768,-0.23740021551013013
capacity_top1_1e+06_0.005,1,original_like,25,0.4,5.0,0.9,2.0,1000000.0,0.005,2808,6.607262938335332,0.19973299363551966,0.22491713065437643,0.9223924652041351,0.2730134306779939,1133.4695375990016,101.72162516914118,473618.94230402575,0.3182070816243147,0.6817929183756852,919,-0.141827024594257
capacity_top1_1e+06_0.01,1,original_like,25,0.4,5.0,0.9,2.0,1000000.0,0.01,2808,8.596836643981264,0.22501019052989069,0.24926343813493634,0.9389989736274513,0.30901435130659693,1414.97002437544,126.98448936702668,611348.68779938,0.22206112532359615,0.7779388746764038,1016,-0.24814503714922465
capacity_top1_1e+06_0.05,1,original_like,25,0.4,5.0,0.9,2.0,1000000.0,0.05,2808,11.380743440054975,0.253334555476149,0.28353147251410177,0.938437455275991,0.34964068787651026,2013.9143946965632,180.73590721635824,1012211.814351494,0.07657186701407888,0.9234281329859211,859,-0.2625081245964145
capacity_top1_5e+06_0.005,1,original_like,25,0.4,5.0,0.9,2.0,5000000.0,0.005,2808,2.998660888406775,0.1324472322022885,0.1730622269797529,0.8054522960592977,0.2981622434136344,657.8833702516374,59.0408152789931,1092500.428467825,0.5203161921243704,0.47968380787562964,801,-0.12495850852899892
capacity_top1_5e+06_0.01,1,original_like,25,0.4,5.0,0.9,2.0,5000000.0,0.01,2808,4.383998160547405,0.16308640246425643,0.19523923367667997,0.871658603576043,0.28437127496531966,828.764171846219,74.376271832353,1564246.5922121247,0.44444855042152126,0.5555514495784787,721,-0.07347957437763608
capacity_top1_5e+06_0.05,1,original_like,25,0.4,5.0,0.9,2.0,5000000.0,0.05,2808,8.598190821316955,0.22502570234743913,0.24927560504718022,0.9390162911629479,0.30897504806642817,1415.4101320249608,127.02398620736828,3058121.138029739,0.2213572952258899,0.7786427047741101,1016,-0.24809022571366923
capacity_top1_1e+07_0.005,1,original_like,25,0.4,5.0,0.9,2.0,10000000.0,0.005,2808,1.5616560234496202,0.08808324853019278,0.15593637570563304,0.6197248843198286,0.3032815714274253,528.7162388272878,47.448893228089936,1471666.2854201333,0.5810477181330476,0.4189522818669524,1016,-0.1993905112823504
capacity_top1_1e+07_0.01,1,original_like,25,0.4,5.0,0.9,2.0,10000000.0,0.01,2808,2.9988021461405148,0.13245082234811312,0.17306315942398634,0.8054672334430861,0.2981635562332453,657.9557897734892,59.047314466851596,2185294.2425077,0.5202452276876154,0.47975477231238467,801,-0.12492288706947441
capacity_top1_1e+07_0.05,1,original_like,25,0.4,5.0,0.9,2.0,10000000.0,0.05,2808,6.60895868795177,0.19975699175897077,0.224933494327704,0.9224308457698633,0.2730260477468276,1133.962026319076,101.76582287478887,4739247.705664991,0.3173904915008006,0.6826095084991993,919,-0.14180170338788167
capacity_top1_5e+07_0.005,1,original_like,25,0.4,5.0,0.9,2.0,50000000.0,0.005,2808,0.6818830704901313,0.04776461052923797,0.10912803520635876,0.4827193618276559,0.24096874846418592,290.5605563900076,26.075947368334017,3278716.1773696234,0.7209230375054114,0.27907696249458863,2075,-0.10894925437221104
capacity_top1_5e+07_0.01,1,original_like,25,0.4,5.0,0.9,2.0,50000000.0,0.01,2808,0.7729033869744666,0.052732161055054405,0.13588477205593708,0.44683303439952715,0.28952011238827124,388.605883104489,34.87488694527465,4595539.508653895,0.6590002003726338,0.3409997996273662,2075,-0.13048736234575864
capacity_top1_5e+07_0.05,1,original_like,25,0.4,5.0,0.9,2.0,50000000.0,0.05,2808,2.9989363191730605,0.13245423232531905,0.1730640099987504,0.8054815498556421,0.29816438750243124,658.0131960985957,59.052466316540645,10927700.725574516,0.5201785136790203,0.4798214863209796,801,-0.12491542054653426
capacity_top3_200000_0.005,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,0.005,2808,6.961058757833288,0.20463743891013841,0.22430163128266972,0.9426850095928142,0.2548500010290431,1729.3294769508918,155.19623511097748,150173.79151391165,0.054366688433704284,0.9456333115662958,1135,-0.166875647437715
capacity_top3_200000_0.01,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,0.01,2808,6.690952282670581,0.20091158973930034,0.23053115673534919,0.9098768591962229,0.25220115367908225,1813.605228180662,162.7594435546748,156858.7035131132,0.028791115813403413,0.9712088841865966,1135,-0.18466465111847818
capacity_top3_200000_0.05,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,0.05,2808,6.929531078595513,0.2042085300492773,0.23376546799082135,0.9122117361176728,0.2640556381085082,1881.8449886191859,168.88352461967054,167199.99365830398,0.005850228499232808,0.9941497715007671,1146,-0.21294360468438145
capacity_top3_1e+06_0.005,3,original_like,25,0.4,5.0,0.9,2.0,1000000.0,0.005,2808,8.005322585104349,0.21803618765607147,0.19743340874816498,1.0984217221666541,0.25031343830569874,1292.5186284715858,115.99526152950129,616642.9053897113,0.17429946057966267,0.8257005394203374,624,-0.08177271504298822
capacity_top3_1e+06_0.01,3,original_like,25,0.4,5.0,0.9,2.0,1000000.0,0.01,2808,7.335331618152479,0.20961433615346547,0.21044651739467682,1.010052333877838,0.24805465920744862,1502.4891645931507,134.8387711814366,676810.9364325998,0.10901976304373169,0.8909802369562683,1079,-0.11832555615188001
capacity_top3_1e+06_0.05,3,original_like,25,0.4,5.0,0.9,2.0,1000000.0,0.05,2808,6.727959510764979,0.20142904366309256,0.2304748747832062,0.9119132568413892,0.25222812900436076,1816.771157620215,163.0435654274552,787938.5055904216,0.025633282647404346,0.9743667173525955,1135,-0.18452830867134873
capacity_top3_5e+06_0.005,3,original_like,25,0.4,5.0,0.9,2.0,5000000.0,0.005,2808,5.244259146527585,0.17866208436997355,0.15562262198703286,1.1348988762870291,0.2366256788715666,833.3148129017303,74.78466269630913,1693534.0853910444,0.3655728722678553,0.6344271277321447,796,-0.03324812733018889
capacity_top3_5e+06_0.01,3,original_like,25,0.4,5.0,0.9,2.0,5000000.0,0.01,2808,6.47767796851731,0.1978845553219304,0.17370603362311293,1.1271570128300306,0.25002641051235097,1025.7237445798487,92.05213092383258,2273230.3072897606,0.27638032986499533,0.7236196701350047,727,-0.03151065797705688
capacity_top3_5e+06_0.05,3,original_like,25,0.4,5.0,0.9,2.0,5000000.0,0.05,2808,7.44855823372923,0.21107990361722218,0.21040594381439734,1.0159692500381767,0.24802664605197444,1501.5809634016407,134.7572659463011,3414857.333249268,0.10878735257471436,0.8912126474252857,1079,-0.11836175693623874
capacity_top3_1e+07_0.005,3,original_like,25,0.4,5.0,0.9,2.0,10000000.0,0.005,2808,3.51579277034456,0.14487528421817641,0.13977662348929262,1.0385661222159093,0.2171701261667347,680.0511855224747,61.030234598170814,2307005.3450721973,0.44414620252185283,0.5558537974781471,795,-0.029759666626544612
capacity_top3_1e+07_0.01,3,original_like,25,0.4,5.0,0.9,2.0,10000000.0,0.01,2808,5.251423392237888,0.178783382925487,0.15560991970895377,1.1356409170904977,0.23656432489950807,833.1888487152191,74.77335821803248,3389564.3000562284,0.36551337406264045,0.6344866259373596,796,-0.03327651263990228
capacity_top3_1e+07_0.05,3,original_like,25,0.4,5.0,0.9,2.0,10000000.0,0.05,2808,8.003204489975392,0.2180104744452549,0.19751447240135026,1.0979460651109887,0.2503130706158825,1292.9276403539582,116.03196772407317,6166919.829812832,0.17339109358311983,0.82660890641688,624,-0.08204083457456657
capacity_top3_5e+07_0.005,3,original_like,25,0.4,5.0,0.9,2.0,50000000.0,0.005,2808,1.1137739912707887,0.06947816233154591,0.10376792123159952,0.699777268906393,0.18819779765896372,392.2973940387965,35.20617638809712,4768792.432424603,0.6108101156391482,0.3891898843608518,975,-0.10194090768857278
capacity_top3_5e+07_0.01,3,original_like,25,0.4,5.0,0.9,2.0,50000000.0,0.01,2808,2.048793710393255,0.10521657183235655,0.11718215515328377,0.9128980360000828,0.19864795093211096,511.2315902433874,45.87975809876554,7021318.826386735,0.5415702450388246,0.4584297549611755,868,-0.07635150427482673
capacity_top3_5e+07_0.05,3,original_like,25,0.4,5.0,0.9,2.0,50000000.0,0.05,2808,5.251724689067971,0.17878848143888715,0.15561331463685835,1.1356473859169574,0.23656189320537258,833.245515679215,74.77844371480136,16949452.20342679,0.3654391656666735,0.6345608343333266,796,-0.03328099578208421
