top_k,window_start,window_end,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
1,2015-01-22,2018-02-28,756,0.18274949081577385,0.05754191632559991,0.22333786356741098,0.36263527747011537,0.24418776691835953,445.1167484600373,148.3722494866791,21307.01443765665,0.007313472825590816,0.9926865271744092,288,
1,2015-03-02,2018-03-30,756,0.08124058424550196,0.026378263834354376,0.22100607563223942,0.2288101730405954,0.31310176046950977,441.3963697003566,147.1321232334522,21217.654083997564,0.007710100953026,0.992289899046974,310,
1,2015-03-26,2018-04-27,756,-0.09467128517673973,-0.03260887574205529,0.21589073171798978,-0.0450574193280612,0.33481685157866803,434.9020030864352,144.96733436214507,20899.140417700703,0.008118137771594069,0.9918818622284059,328,
1,2015-04-28,2018-05-31,756,-0.18277065332969034,-0.0650652159567684,0.2128534430434744,-0.2090351280722179,0.3348168515786668,427.1048498693989,142.36828328979962,20437.145200490075,0.008277689387469811,0.9917223106125302,350,
1,2015-05-27,2018-06-29,756,-0.22325603731134036,-0.0807662481716791,0.20822305749707984,-0.29964715836688205,0.33481685157866714,402.0681979046378,134.02273263487928,19152.614249922764,0.008286072486189205,0.9917139275138107,370,
1,2015-06-29,2018-07-31,756,-0.203894967902155,-0.07319125488987377,0.19822670865836917,-0.2834151579229822,0.3348168515786687,389.2745925758163,129.7581975252721,18439.78987726839,0.00818394668950991,0.9918160533104902,392,
1,2015-07-30,2018-08-31,756,-0.18683984165440215,-0.0666195562989983,0.19936786325515715,-0.24522965111288975,0.3348168515786686,400.77336260273614,133.59112086757872,18863.930426559313,0.008278469687515753,0.9917215303124842,415,
1,2015-08-26,2018-09-28,756,-0.10286116112074495,-0.03553482027526933,0.19499187369003326,-0.08730852648470755,0.33481685157866836,404.89267579166295,134.96422526388764,18966.18920191388,0.008402767683196359,0.9915972323168036,434,
1,2015-09-23,2018-10-31,756,-0.08626717990565358,-0.029624681996531343,0.19474576542023023,-0.056299295133314727,0.3348168515786675,407.36492849495164,135.7883094983172,19042.98965285851,0.007969399686174623,0.9920306003138254,452,
1,2015-10-30,2018-11-30,756,-0.16823319020190308,-0.05955400302781111,0.1873246922690671,-0.23327999079909645,0.3348168515786677,405.4968707940975,135.1656235980325,18884.17103019973,0.00801770429268599,0.991982295707314,474,
1,2015-11-27,2018-12-28,756,-0.2201788772639126,-0.07955396441730289,0.1804138567032158,-0.3682893536887645,0.3348168515786688,394.0265586847314,131.3421862282438,18237.829863970946,0.0081967255990839,0.9918032744009161,494,
1,2015-12-29,2019-01-31,756,-0.16332090676205013,-0.05770626057353789,0.1766302442799456,-0.24740890620410558,0.33481685157866736,398.7449560076791,132.91498533589302,18363.679979822053,0.007847603602937807,0.9921523963970623,516,
1,2016-01-20,2019-02-28,756,-0.09310912394522564,-0.03205277845404175,0.18010653396558007,-0.09016150419105709,0.3348168515786687,406.9576577967618,135.6525525989206,18694.550150511706,0.007842768845681665,0.9921572311543183,531,
1,2016-02-25,2019-03-29,756,-0.24464180881316167,-0.089281173693324,0.18065872068947236,-0.42652078077860567,0.3348168515786678,432.3522738033324,144.1174246011108,19750.812764503047,0.007891615211005088,0.9921083847889951,552,
1,2016-03-25,2019-04-30,756,-0.14501269948375695,-0.05088270338577905,0.18277606598943713,-0.19363363004800102,0.3348168515786679,446.1534298752523,148.71780995841743,20250.203344503047,0.007896309993510786,0.9921036900064892,573,
1,2016-04-25,2019-05-31,756,-0.1846677780906668,-0.06578923229100342,0.18301102071336192,-0.27960581946889257,0.3348168515786669,430.9277702689634,143.64259008965448,19444.778320285008,0.0077654948006181885,0.9922345051993818,593,
1,2016-05-23,2019-06-28,756,-0.13512576596854886,-0.04723823636117652,0.18414106356527013,-0.17000958176104683,0.3348168515786678,430.00305365423355,143.33435121807784,19301.052593857305,0.007642336111088794,0.9923576638889112,612,
