trade_date,symbol,shares,adjusted_close,market_value
2015-01-05,SH511880,1800,107.76876543005328,193983.7777740959
2015-01-06,SH510210,18000,3.687,66366.0
2015-01-06,SH510880,21700,3.081435186726077,66867.14355195587
2015-01-06,SH510900,53800,1.212,65205.6
2015-01-07,SH510420,43300,1.509,65339.7
2015-01-07,SH510880,21700,3.0701931758295937,66623.19191550219
2015-01-07,SZ159903,52800,1.218,64310.4
2015-01-08,SH510300,17100,3.711856738410711,63472.750226823155
2015-01-08,SH510880,21700,2.999368507181749,65086.296605843956
2015-01-08,SZ159903,52800,1.202,63465.6
2015-01-09,SH510210,17500,3.649,63857.5
2015-01-09,SH510300,17100,3.68491417135357,63012.032330146045
2015-01-09,SH510880,21700,2.980257088657727,64671.578823872675
2015-01-12,SH510120,23800,2.603,61951.4
2015-01-12,SH510300,17100,3.673515392983241,62817.11322001342
2015-01-12,SH510880,21700,2.9195502298167173,63354.23998702277
2015-01-13,SH510210,17400,3.59,62466.0
2015-01-13,SZ159903,53300,1.189,63373.700000000004
2015-01-13,SZ159910,53800,1.18,63484.0
2015-01-14,SZ159903,53300,1.178,62787.399999999994
2015-01-15,SH510260,84700,1.11,94017.00000000001
2015-01-15,SZ159920,83200,1.14,94847.99999999999
2015-01-16,SH510060,34200,1.872,64022.4
2015-01-16,SH510110,17500,3.643,63752.5
2015-01-16,SH510650,37600,1.689,63506.4
2015-01-19,SH510060,34200,1.685,57627.0
2015-01-19,SH510110,17500,3.279,57382.5
2015-01-19,SH510650,37600,1.52,57152.0
2015-01-20,SH518880,66000,2.57,169620.0
2015-01-21,SH518880,66000,2.62,172920.0
2015-01-22,SH518880,66000,2.589,170874.0
2015-01-23,SH518880,66000,2.607,172062.0
2015-01-26,SH518880,66000,2.609,172194.0
2015-01-27,SH510260,47600,1.199,57072.4
2015-01-27,SZ159902,18700,3.0495299506417295,57026.21007700034
2015-01-27,SZ159915,33800,1.688,57054.4
2015-01-28,SH510260,47600,1.178,56072.799999999996
2015-01-28,SZ159902,18700,3.007539865262842,56240.99548041514
