split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
1,0;1;2;3,4;5;6;7,grid_021,1.1743608713150024,0.8855781555175781,0.26157407407407407,-1.037803284072504,True
2,0;1;2;4,3;5;6;7,grid_115,0.6605088710784912,1.216170072555542,0.5578703703703703,0.23252350544402509,False
3,0;1;2;5,3;4;6;7,grid_205,0.9586905837059021,1.1197744607925415,0.6504629629629629,0.6210748325188212,False
4,0;1;2;6,3;4;5;7,grid_178,1.1499121189117432,0.9242467284202576,0.6828703703703703,0.7669944305116948,False
5,0;1;2;7,3;4;5;6,grid_205,0.9980967044830322,1.0761405229568481,0.41898148148148145,-0.3269559078659584,True
6,0;1;3;4,2;5;6;7,grid_021,1.3482338190078735,0.7280667424201965,0.08101851851851852,-2.428588219197777,True
7,0;1;3;5,2;4;6;7,grid_021,1.534408450126648,0.5514315366744995,0.1087962962962963,-2.1030957325777258,True
8,0;1;3;6,2;4;5;7,grid_021,1.3457789421081543,0.6514010429382324,0.5115740740740741,0.04630456804168637,False
9,0;1;3;7,2;4;5;6,grid_194,1.170533537864685,1.031050443649292,0.8263888888888888,1.5602476682433282,False
10,0;1;4;5,2;3;6;7,grid_003,1.0386919975280762,0.7971810698509216,0.11342592592592593,-2.056214691070019,True
11,0;1;4;6,2;3;5;7,grid_166,1.0412631034851074,0.895078718662262,0.43287037037037035,-0.27014959369014047,True
12,0;1;4;7,2;3;5;6,grid_166,0.8845438361167908,1.047633171081543,0.20601851851851852,-1.3490940774338,True
13,0;1;5;6,2;3;4;7,grid_180,1.459382176399231,0.6572116613388062,0.4652777777777778,-0.1391128024627177,True
14,0;1;5;7,2;3;4;6,grid_205,1.1552016735076904,0.9084607362747192,0.41898148148148145,-0.3269559078659584,True
15,0;1;6;7,2;3;4;5,grid_170,1.37687087059021,0.4837819039821625,0.05787037037037037,-2.789937360574394,True
