top_k,period,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
1,2015-2018,975,-0.011720493426577216,-0.0030425511626108737,0.21349697323894656,0.09327755656678291,0.33481685157866736,544.7076206333842,140.78596964062854,25212.98798316718,0.00801477824822434,0.9919852217517757,494,-0.2588363212971462
1,2019-2022,972,0.7471463941059133,0.15564944173495676,0.27442502442614164,0.664427207179622,0.20332399605683205,703.810095777575,182.4692840904824,37397.59961815913,0.002885666373354069,0.997114333626646,209,0.16777486529892438
1,2023-2026,861,6.774729702229952,0.8225874700422948,0.39831059937694485,1.7066982192398963,0.29181913854045816,796.7328626637949,233.19010614550095,187640.62896718842,0.002003014746678916,0.9979969852533211,117,5.334600355139776
3,2015-2018,975,0.17210347668157677,0.041897621522537065,0.17014007011603577,0.32702732547575614,0.20493713678103886,452.82277535711233,117.03727116922288,22162.06156658345,0.024325926740755906,0.9756740732592442,879,-0.12127275900115897
3,2019-2022,972,0.6116095254432972,0.13170706959914358,0.2111782442133179,0.6917534202020515,0.25768509317352883,580.3706911426249,150.46647548142127,36366.44244732392,0.054015353906631,0.945984646093369,314,0.11799628272667673
3,2023-2026,861,3.440760332130661,0.5470334630236833,0.2821678356838595,1.6880783525206409,0.18102883773835554,638.576329082998,186.90038899990185,109600.21148636739,0.04034785522207102,0.9596521447779289,76,2.9335713920742594
