trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,regime_pool_switch,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
regime_components_top1_13,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,16.383609405553177,0.29209549227513243,0.3041401065434326,0.9946598118867656,0.3073762925019442,2316.51553579958,207.8924198794495,250862.2656558259,0.004288028481152729,0.9957119715188473,957,-0.2114226943455112,True,True,False,True
regime_components_top1_14,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.879582154288517,0.26625437311514943,0.3001731402871226,0.9365286675953686,0.30459365005377925,2326.18407379377,208.7601091866204,245271.47601408372,0.004680055223883565,0.9953199447761164,765,-0.22518250842147203,True,True,True,False
regime_components_top1_15,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,13.33708878302429,0.2699451366815946,0.30120659465142874,0.9440529062441521,0.33485143284994767,2340.8449775218082,210.07583131605972,250225.4510867647,0.004121432285527225,0.9958785677144729,769,-0.2587973383180364,True,True,True,True
regime_components_top3_00,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,0.6351508230327967,0.045118282790373554,0.2463914740076099,0.30259633038582096,0.47834928371824903,2099.114029120688,188.38202825442073,130457.78732415201,0.020627872237800826,0.9793721277621993,1184,-0.4518117940529346,False,False,False,False
regime_components_top3_01,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,0.664610939842248,0.04679442290575908,0.24714586844238132,0.3089028298528477,0.5222324520613828,2139.6745313733454,192.02207332837716,132353.44436072593,0.022813204112765845,0.9771867958872341,1184,-0.48883597123655076,False,False,False,True
regime_components_top3_02,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,0.3960211691508331,0.030393543136377765,0.2476757254830009,0.24531849238114198,0.4414469735720379,2083.6496077699703,186.9941955690999,120891.0140206528,0.02156787419766684,0.9784321258023332,1184,-0.4183112736864866,False,False,True,False
regime_components_top3_03,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,0.42827258816506575,0.032507711478246604,0.24889620156688386,0.2535792388753369,0.44268139860089617,2141.1079124346893,192.15071009029265,123735.77576270807,0.019943950800850756,0.9800560491991491,1091,-0.4202936834576959,False,False,True,True
regime_components_top3_04,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.4784664500102163,0.08486425869505831,0.2835615275674107,0.42907091600090763,0.5650463177074045,1621.478022922942,145.51725846744353,109038.34614734765,0.021883163729072813,0.9781168362709274,1091,-0.4817974637654663,False,True,False,False
regime_components_top3_05,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.7288627985052005,0.09427521549574691,0.284199778620615,0.4591251233518718,0.5503315966489011,1686.4312810311342,151.3463970156146,122167.59612591533,0.02219620555070207,0.977803794449298,1090,-0.46227023752459406,False,True,False,True
regime_components_top3_06,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.3727588853411672,0.08062896939000574,0.28134577329361043,0.41638911223342545,0.5658059729702579,1646.7471292414289,147.78499877807695,115676.23208768928,0.02251276797505226,0.9774872320249478,1175,-0.48271658369470427,False,True,True,False
regime_components_top3_07,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.3766141308602444,0.08078642478033049,0.28135786822418773,0.41690519825336614,0.5818281819153291,1698.7643118733422,152.45320747581277,120872.25163375135,0.022739396076178694,0.9772606039238214,1175,-0.4999215522491407,False,True,True,True
regime_components_top3_08,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,6.045270858903427,0.19149817871193808,0.20801342966224493,0.946404887541648,0.23129135879442042,2227.315286909932,199.88726933807084,219475.971819577,0.028686279637727758,0.9713137203622723,232,-0.05888826925358215,True,False,False,False
regime_components_top3_09,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,6.148481896576402,0.1930543121177981,0.20818093433059373,0.9520836489380898,0.23129135879442042,2232.792109769271,200.37877908185766,221330.67419408917,0.0286732752824137,0.9713267247175864,232,-0.05888826925358215,True,False,False,True
regime_components_top3_10,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,5.745028634118952,0.1868504036799037,0.208873714360925,0.9246645537583676,0.2617618269239742,2228.8886609481046,200.0284695722658,207716.81142530122,0.03082343081099024,0.9691765691890097,611,-0.04992484267291042,True,False,True,False
regime_components_top3_11,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,6.991043123584862,0.2050439201576839,0.20857971952582718,0.9986456144643076,0.20239865623700437,2259.984284565638,202.81910246101882,235594.8641029895,0.026202367049498597,0.9737976329505014,212,-0.04992484267291042,True,False,True,True
regime_components_top3_12,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,6.757626430740623,0.2018422353526368,0.22544658531186415,0.928551042879669,0.2612188539617267,1827.8577837714627,164.03851905641332,164343.29543990912,0.03783395893314119,0.9621660410668588,993,-0.1360004488656319,True,True,False,False
regime_components_top3_13,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,6.664008244275037,0.2005334167473667,0.22504122566323978,0.9249689032312535,0.2613763904034391,1829.6073339024479,164.1955299656043,164055.39144654814,0.03787331164486562,0.9621266883551345,993,-0.1360004488656319,True,True,False,True
regime_components_top3_14,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.125033915384792,0.20684356176765717,0.2233629754014432,0.9537074621539829,0.2577010782369389,1829.5201554500609,164.1877062583388,165539.53878018196,0.03871847879279383,0.961281521207206,993,-0.12373354128553415,True,True,True,False
regime_components_top3_15,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.280239532105632,0.20889467730601208,0.22349022139361302,0.960903954359776,0.2576294483197372,1838.7686222384427,165.01769686755256,167764.37708139129,0.03880307423906183,0.9611969257609382,993,-0.12373354128553415,True,True,True,True
