trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,regime_pool_switch,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
regime_components_top1_00,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.1457404368473116,0.07091974747650442,0.2966474284348507,0.3790408282085249,0.5546313938837975,2531.7470853965106,227.20807176635353,148255.24299872358,0.003459435724207689,0.9965405642757922,1966,-0.4990873977812573,False,False,False,False
regime_components_top1_01,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,0.8591616580984764,0.057230024368612575,0.2974113821105099,0.3356253473037984,0.5456056662047668,2590.731748925622,232.5015672112738,148922.4671614618,0.0035865892787625567,0.9964134107212376,2054,-0.49741931597817923,False,False,False,True
regime_components_top1_02,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.4260131821987123,0.08278366048314867,0.302839034079936,0.4136860858416624,0.6022180846587079,2545.7877790531206,228.46813401758777,151145.36220260622,0.003670234909127653,0.9963297650908722,2054,-0.5452386988841396,False,False,True,False
regime_components_top1_03,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.1588118146636979,0.07150360037133341,0.30369463467440766,0.3789127299147683,0.6008139468596952,2604.313006473802,233.72039801687967,153245.7363995246,0.0036630487844527006,0.9963369512155473,2078,-0.5348623714576899,False,False,True,True
regime_components_top1_04,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,3.3708866303408227,0.14152916081421618,0.35497858492063156,0.5504259291996619,0.5047861275259884,2122.919377094955,190.51840563672675,155581.47137765825,0.002299415324177798,0.9977005846758221,750,-0.27664933301256656,False,True,False,False
regime_components_top1_05,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,3.0527515813483657,0.1338136083822501,0.35529998790006717,0.5310875614254432,0.5013069214847965,2182.515238801938,195.86675220017392,151725.63240446325,0.0023576909094909786,0.997642309090509,761,-0.26389530582156195,False,True,False,True
regime_components_top1_06,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.3652571308805337,0.11505556600091915,0.35418312958471593,0.4846534785604503,0.49705834621955425,2125.2614171948494,190.7285887226147,143300.8099859586,0.0020447049818024445,0.9979552950181976,761,-0.2555690875756542,False,True,True,False
regime_components_top1_07,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.116583520029855,0.10739996382144712,0.3566400725583934,0.4643575976691409,0.5474305276661879,2184.5912904128595,196.053064524231,132421.03208778854,0.0026147465514528177,0.9973852534485471,1498,-0.38130835671082275,False,True,True,True
regime_components_top1_08,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,13.763463950159988,0.27328948388602736,0.25834489095545987,1.0641315346241205,0.2271495981161039,2781.257520358313,249.60003387831014,330553.9189088012,0.004554270073057045,0.9954457299269428,447,-0.11410419666199767,True,False,False,False
regime_components_top1_09,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,14.263052755675647,0.27709801150801594,0.2583808682026811,1.0755900724182184,0.22706463417366773,2807.2863683264964,251.93595613186508,338736.0518988193,0.004486367780008079,0.9955136322199918,447,-0.10816828583445715,True,False,False,True
regime_components_top1_10,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,18.33406949463725,0.30448553673501055,0.26138012199617566,1.147212600112422,0.23240505727825767,2794.5990752158928,250.7973529039904,351957.662034819,0.004424794192880501,0.9955752058071196,269,-0.08429264939438164,True,False,True,False
regime_components_top1_11,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,18.060737875070917,0.3028197477669947,0.26138884745977903,1.1422888069921702,0.23230810891752784,2795.292371404777,250.8595717927364,347601.65904411266,0.004268656803322388,0.9957313431966774,296,-0.08602434367061018,True,False,True,True
regime_components_top1_12,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,16.251964074489663,0.29121431136085296,0.3040639117435685,0.9925992610641987,0.3073762925019442,2306.5558882612468,206.99860535677857,248802.53886684313,0.004439343367461132,0.995560656632539,957,-0.20819499139863407,True,True,False,False
