top_k,year,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
1,2015,244,0.17161159547896698,0.17771135745756128,0.2937408520945497,0.7044125746472292,0.1903696215998807,156.37157758878897,161.4985145589132,7257.46250224835,0.008074845994213669,0.9919251540057864,136,
1,2016,244,-0.06689059176485701,-0.06900628128735997,0.2073720235208282,-0.23956865621467766,0.22137141281616501,134.4331166713953,138.84075984094926,7034.078525592812,0.006908144860069033,0.9930918551399309,194,
1,2017,244,-0.002560261866347724,-0.002644093805374337,0.15843609228801891,0.06231751123131635,0.09232296881584712,158.67541804477978,163.87789076755945,7103.448606265571,0.005613755132894356,0.9943862448671057,102,
1,2018,243,-0.09368974608511071,-0.09698584861487136,0.16799143087375618,-0.523194438965335,0.24955715807189938,91.7195677336003,95.11658876077068,3817.9983490604477,0.01147655461377584,0.9885234453862242,232,
1,2019,244,0.12005510088000748,0.12422643846998005,0.2019940845725046,0.6803780869700573,0.12328354601380043,159.6369648385106,164.8709636856749,7058.599237238783,0.002853989402149358,0.9971460105978507,75,
1,2020,243,0.3365249846817153,0.35096127301768054,0.34500611574853507,1.0456033223982832,0.19711077681478906,190.95412980049207,198.02650497828807,9989.059850673317,0.0027633861611969204,0.9972366138388031,92,
1,2021,243,-0.10044676116565177,-0.10396667293998685,0.27308844705915397,-0.26653577263246186,0.19425896914730445,205.8519093103271,213.47605409959849,11450.391569268932,0.0017188639786470353,0.998281136021353,164,
1,2022,242,0.2974360314088249,0.3114717136569771,0.25965016459354523,1.1732936228682442,0.1858587173222429,147.20157953740366,153.28428943564347,8899.5489609781,0.004212014532205085,0.995787985467795,90,
1,2023,242,0.44309854222172107,0.46513777870507766,0.3016337630097314,1.4167323148504272,0.145385789992022,145.10606923736987,151.10218780089755,12526.806411830261,0.0017386971896857977,0.9982613028103142,76,
1,2024,242,1.1471060562220425,1.215983137674324,0.3628237890816959,2.3752325496835023,0.17779078520053493,174.25212640983068,181.452627501146,24857.041841201346,0.0010581799529998275,0.9989418200470002,68,
1,2025,243,0.8330752945527915,0.8746824895445302,0.39263620747230477,1.7966561452261252,0.2128034423997075,269.3231320391424,279.29806285540695,86234.99186606388,0.0042876354296531504,0.995712364570347,117,
1,2026,134,0.3688488961523635,0.8048028380631549,0.5841460916187117,1.3020155582835942,0.29181913854045805,123.33652200713558,231.94629511789677,64021.78884809292,4.3701633991864304e-05,0.9999562983660083,71,
3,2015,244,0.1163277325384342,0.1203627356592274,0.2573608718157559,0.5718488081317052,0.20493713678103886,131.46737017078237,135.7777757501523,6010.545246550437,0.018093613547413043,0.981906386452587,148,
3,2016,244,0.09113321663483509,0.09425785098816775,0.12841816681135357,0.7654941914809305,0.10478434611923848,112.68672597486403,116.38137272813826,5615.992995697419,0.011393386268893265,0.9886066137311068,202,
3,2017,244,0.021361429878034466,0.022069477738087206,0.12227641919191376,0.23953561271610524,0.07685580024113359,127.86623162463374,132.0585670877365,6555.0064776630625,0.04311593121435445,0.9568840687856456,102,
3,2018,243,-0.05785660031699513,-0.059933923908374376,0.13541412988930188,-0.38878081564411954,0.16572543248753024,81.32231850586624,84.33425622830572,3980.5168466725277,0.024702318521628734,0.9752976814783711,232,
3,2019,244,0.1740187531089432,0.18021046568737953,0.16994219637600358,1.0598085873164718,0.09302104867042682,125.0768313082983,129.17771102332446,6474.051537556934,0.03005117819889254,0.9699488218011073,125,
3,2020,243,0.2713969872966042,0.28275419569877336,0.2603107992981687,1.0879116811236837,0.1908377516704497,159.1834507883182,165.0791341508485,9931.523133970342,0.03979894593726381,0.9602010540627361,117,
3,2021,243,-0.09060145151025623,-0.09379461922636279,0.2050045356707043,-0.37835547625941973,0.20244260021586225,178.55571141457634,185.1688859114125,12102.35788081612,0.04803883240319424,0.9519611675968057,157,
3,2022,242,0.1872696245075769,0.19572114340391988,0.20006288556650378,0.9930513903732968,0.1657287218193937,114.25122755658967,118.97235266223386,7858.509894980526,0.09845395198340597,0.9015460480165941,92,
3,2023,242,0.18793956510446352,0.19642374168808674,0.20485920607608685,0.9775498116116478,0.08409527797705763,133.1201542973076,138.6209871195104,10861.050468822104,0.06689134326668075,0.9331086567333192,68,
3,2024,242,0.8079079657145602,0.8526929072003904,0.28221401583216,2.3266620535807108,0.13495602743172597,149.2015221468672,155.3668743016964,18013.166404923104,0.022192747641444452,0.9778072523585555,55,
3,2025,243,0.5795901952381388,0.6065636141223094,0.27199301513001506,1.8794530903788988,0.16040365151361724,209.25745330961215,217.0077293581163,47133.308705361145,0.03492253587840481,0.9650774641215951,69,
3,2026,134,0.30900781771031705,0.6592859200206498,0.39876110131158465,1.4696157707963862,0.1810288377383552,102.11791347503038,192.04264325154966,33592.68590726104,0.03503714274615278,0.9649628572538473,69,
