trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
mainline_top1_frozen,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.424384575791631,0.2624706516635864,0.3012890744384344,0.9242704425372663,0.33481685157866736,2345.835085560978,210.52366152470316,250251.21656851473,0.004395965884547519,0.9956040341154526,769,-0.2588363212971462
mainline_top1_score_loose,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.528404491859098,0.26334547446571843,0.3011433234228681,0.9268694381453328,0.33481685157866736,2347.117508719031,210.63875078247713,251269.34954945493,0.0043957969343914735,0.9956042030656086,769,-0.2588363212971462
mainline_top1_score_strict,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,14.395280513051848,0.2780870257726593,0.30362964771624296,0.9600626393727684,0.33481685157866736,2302.2369075579263,206.6110045244293,252374.67498970786,0.004395976592163213,0.9956040234078367,769,-0.2588363212971462
mainline_top1_r2_loose,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,11.709368232586195,0.2562846343735763,0.30213729101233944,0.9062552047216191,0.3347675669232857,2314.9298894739322,207.75011828612213,229634.8850222698,0.004291971837054708,0.9957080281629452,770,-0.25887605781550904
mainline_top1_r2_strict,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,13.449082938110875,0.27083225934397426,0.30116253987033814,0.9464679643420217,0.33485143284994767,2341.289346215062,210.115710557762,250698.9268861098,0.004122252382763783,0.9958777476172361,769,-0.2587973383180364
mainline_top1_volume_loose,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,11.233306137977356,0.251987775956674,0.30204198844833097,0.8951168838204686,0.33485585223248726,2343.0842446032584,210.27679118234371,229234.08964493382,0.004357698353928451,0.9956423016460717,769,-0.2589045660177912
mainline_top1_volume_strict,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.889425584691113,0.2663349395857306,0.30119323617092736,0.9346233306769144,0.33481685157866736,2345.113148372483,210.45887228983824,253157.73854406818,0.004395199011043603,0.9956048009889563,769,-0.2588363212971462
mainline_top1_continuity_loose,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.424384575791631,0.2624706516635864,0.3012890744384344,0.9242704425372663,0.33481685157866736,2345.835085560978,210.52366152470316,250251.21656851473,0.004395965884547519,0.9956040341154526,769,-0.2588363212971462
mainline_top1_growth_loose,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,11.668103496860605,0.2559180371212759,0.30323065067643346,0.90311175940473,0.3348196800912795,2341.7968869636948,210.16125908648544,259990.48522295454,0.003761197621371087,0.9962388023786288,769,-0.25884204591531135
mainline_top1_growth_strict,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,13.248561683365859,0.2692394251070529,0.30124555371208944,0.9421243016095868,0.33485143284994767,2339.5707409661827,209.9614767533754,249322.84955499886,0.00412193322946811,0.9958780667705318,769,-0.2587973383180364
mainline_top3_frozen,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.388476934507116,0.21030447344011605,0.22358283611568966,0.9658095268871972,0.2576850931735285,1841.2852468059762,165.2435477902799,168128.71550027473,0.03951574284746635,0.9604842571525336,993,-0.12127275900115897
mainline_top3_score_loose,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.473249732985536,0.21139712620924733,0.22358154137374114,0.9698521976833774,0.2576850931735285,1841.7103987695323,165.281702453676,168418.77522606403,0.03951632500532112,0.9604836749946789,993,-0.12127275900115897
mainline_top3_score_strict,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.364577002223793,0.20999460635344236,0.22417679392223194,0.9627181848944648,0.2576850931735285,1840.6834361272045,165.18953913962093,168551.07022219707,0.039516633797500283,0.9604833662024997,993,-0.12127275900115897
mainline_top3_r2_loose,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.033983694741622,0.2056236302245229,0.22327185108993983,0.9494694279967232,0.2576439430286971,1830.954504726379,164.31642991134171,162235.51183792666,0.03943695979621904,0.9605630402037809,1123,-0.13939856557838282
mainline_top3_r2_strict,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.190364900625335,0.20771125122787004,0.2234588804649928,0.9566210680815398,0.2576294483197372,1838.2391046157688,164.9701760552613,167432.35329728085,0.03880322152632586,0.9611967784736741,993,-0.12373354128553415
