trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,excluded_symbols,cagr_retention
exclude_top1_contributors_top1,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,9.827207218168057,0.23834375904895544,0.2954926616236479,0.871303713696919,0.33481685157866736,2326.7303945256303,208.80913797024888,239617.46248693726,0.004322781555285934,0.995677218444714,769,-0.2588363212971462,SH513310,0.9080777509343984
exclude_top3_contributors_top1,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.88052181293507,0.21651165557840635,0.2929822414717753,0.8155195507457662,0.33481685157866736,2312.3616806722357,207.51963800904682,220970.48357550727,0.00436979445216007,0.99563020554784,769,-0.2588363212971462,SH513310;SH513350;SZ159509,0.82489853324978
exclude_top5_contributors_top1,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.044049063599925,0.2057591074914744,0.2899783894070519,0.7904097640639118,0.33481685157866736,2270.0283622915026,203.72049405180152,212345.13543278622,0.004335343192002933,0.9956646568079971,769,-0.2588363212971462,SH513310;SH513350;SZ159509;SZ159516;SH588200,0.7839318650955298
exclude_top1_contributors_top3,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.682409419804694,0.21405104332717717,0.22521605407736162,0.9741724449093134,0.2576850931735285,1832.5503397828754,164.45964587795038,171499.28796656468,0.0383601567016056,0.9616398432983945,993,-0.12127275900115897,SH513310,1.0178149795188638
exclude_top3_contributors_top3,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,5.216741760639341,0.1781950039808604,0.22210372536626272,0.8495956488601067,0.302559982686315,1797.5884619339413,161.32204145561013,143073.14645562466,0.03745523974568983,0.9625447602543101,1243,-0.2540478912426083,SH513310;SH518880;SZ159509,0.8473191324273054
exclude_top5_contributors_top3,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,3.9965933120694617,0.15531792889753926,0.21885757925366622,0.7693854868947183,0.302559982686315,1764.8593494860834,158.38481341541774,132192.15224333352,0.03769407990063214,0.9623059200993679,1243,-0.2540478912426083,SH513310;SH518880;SZ159509;SH513350;SZ159529,0.7385383979564556
