trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
A6_top1_without_use_r2,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,8.143536523842915,0.2197022889137299,0.32351332704129987,0.7757404445187623,0.25742115202721694,2253.0153441734096,202.19368473351113,215450.1374685468,0.001977623768491454,0.9980223762315085,941,-0.1810495590999165
A6_top1_without_use_ordinary_filters,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,2.44917024343889,0.11752292539436993,0.35562330833198913,0.49079886940805256,0.5722881061095915,1168.5159483479135,104.86681587737687,55358.48536115342,0.0051059920307044634,0.9948940079692955,1184,-0.4753017881977373
A6_top1_without_use_buffer,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,9.691826678026468,0.23694620480041206,0.3008097508974965,0.8573457145686484,0.36678080558561077,2517.1037534539546,225.8939265920216,238747.92983409605,0.0048532307424808034,0.9951467692575191,1093,-0.32565240010238483
A6_top1_without_use_regime,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,1.0928458190596428,0.06852358067605357,0.29772222167485174,0.3711631383827392,0.5545414424980611,2531.3486134607133,227.172311464423,150487.64194037204,0.004054898859354196,0.9959451011406458,1966,-0.49902040422886174
A6_top1_without_use_mainline,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,13.449082938110875,0.27083225934397426,0.30116253987033814,0.9464679643420217,0.33485143284994767,2341.289346215062,210.115710557762,250698.9268861098,0.004122252382763783,0.9958777476172361,769,-0.2587973383180364
A6_top1_without_use_retention,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.487271000053527,0.2630002700810692,0.30137245410055147,0.9254913692398846,0.33481685157866736,2355.3141979943243,211.37435110205476,251134.63623831607,0.004396206701472999,0.9956037932985271,769,-0.2588363212971462
A6_top3_without_use_r2,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,10.024105456525525,0.24034824012831524,0.24052358934085344,1.0160855500965817,0.2905462715540488,1904.901326537975,170.9526831508439,184338.53929504752,0.026034642516434146,0.9739653574835659,936,-0.18418277227310265
A6_top3_without_use_ordinary_filters,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,4.422496098782133,0.16383034390121032,0.2638993294238729,0.7073074599843291,0.3374980497269483,1050.4763538368572,94.27351893407693,71524.44771067073,0.038479349039094994,0.9615206509609051,857,-0.2126208425886097
A6_top3_without_use_buffer,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.543174659460938,0.21229093844652036,0.22561692557007731,0.9663938774423589,0.26642033585468927,1963.4920964291362,176.21082916671736,183312.29603311725,0.039063536023567845,0.9609364639764323,1100,-0.12950441997685025
A6_top3_without_use_regime,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,0.6913748106933648,0.04829391343439271,0.2469330792416003,0.3147346122998425,0.49058833950034964,2097.809886882303,188.26498984841183,131095.87371994863,0.020983021491075043,0.979016978508925,1184,-0.46465466326410154
A6_top3_without_use_mainline,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.190364900625335,0.20771125122787004,0.2234588804649928,0.9566210680815398,0.2576294483197372,1838.2391046157688,164.9701760552613,167432.35329728085,0.03880322152632586,0.9611967784736741,993,-0.12373354128553415
A6_top3_without_use_retention,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.296018760203497,0.20910124308736622,0.22364711821237687,0.9611489124765964,0.2576850931735285,1844.3636399253285,165.51981383945255,168432.4828301432,0.03951529989889811,0.9604847001011019,993,-0.12127275900115897
