trade_date,daily_return,total_value,gross_traded,transaction_cost,cash_ratio,exposure
2015-05-14,-0.0007000622277536506,1.2847,0.0,0.0,,
2015-05-15,-0.005604421265665072,1.2775,0.0,0.0,,
2015-05-18,0.018864970645792623,1.3016,0.0,0.0,,
2015-05-19,0.025353411186232355,1.3346,0.0,0.0,,
2015-05-20,0.010714820920125767,1.3489,0.0,0.0,,
2015-05-21,0.044999629327600266,1.4096,0.0,0.0,,
2015-05-22,0.026674233825198623,1.4472,0.0,0.0,,
2015-05-25,0.02066058595909337,1.4771,0.0,0.0,,
2015-05-26,0.014149346692843956,1.498,0.0,0.0,,
2015-05-27,0.014485981308411056,1.5196999999999998,0.0,0.0,,
2015-05-28,-0.04257419227479087,1.455,0.0,0.0,,
2015-05-29,0.00041237113402048386,1.4556,0.0,0.0,,
2015-06-01,0.0,1.4556,0.0,0.0,,
2015-06-02,0.017587249244297887,1.4811999999999999,0.0,0.0,,
2015-06-03,-0.024102079395084908,1.4455,0.0,0.0,,
2015-06-04,-0.007886544448287847,1.4341,0.0,0.0,,
2015-06-05,0.0346558817376752,1.4838,0.0,0.0,,
2015-06-08,0.026014287639843703,1.5224,0.0,0.0,,
2015-06-09,-0.0036127167630056745,1.5169000000000001,0.0,0.0,,
2015-06-10,-0.011668534511174111,1.4992,0.0,0.0,,
2015-06-11,-0.0048025613660619415,1.492,0.0,0.0,,
2015-06-12,0.0060321715817692745,1.501,0.0,0.0,,
2015-06-15,-0.013324450366422269,1.481,0.0,0.0,,
2015-06-16,-0.025320729237002126,1.4435,0.0,0.0,,
2015-06-17,0.0002771042604778895,1.4439,0.0,0.0,,
2015-06-18,6.925687374481626e-05,1.444,0.0,0.0,,
2015-06-19,0.0003462603878117143,1.4445000000000001,0.0,0.0,,
2015-06-23,0.00013845621322250423,1.4447,0.0,0.0,,
2015-06-24,0.00048452966013701193,1.4454,0.0,0.0,,
2015-06-25,0.0,1.4454,0.0,0.0,,
2015-06-26,6.91850006917516e-05,1.4455,0.0,0.0,,
2015-06-29,-0.00013836042891735012,1.4453,0.0,0.0,,
2015-06-30,-6.918978758729821e-05,1.4452,0.0,0.0,,
2015-07-01,0.0002075837254358337,1.4455,0.0,0.0,,
2015-07-02,6.918021445856404e-05,1.4456,0.0,0.0,,
2015-07-03,0.00020752628666298456,1.4459,0.0,0.0,,
2015-07-06,0.0006916107614634015,1.4468999999999999,0.0,0.0,,
2015-07-07,0.0007602460432649671,1.448,0.0,0.0,,
2015-07-08,-0.0006906077348065587,1.447,0.0,0.0,,
2015-07-09,0.00013821700069116538,1.4472,0.0,0.0,,
2015-07-10,0.00013819789939195637,1.4474,0.0,0.0,,
2015-07-13,6.908940168570687e-05,1.4475,0.0,0.0,,
2015-07-14,6.908462867016851e-05,1.4476,0.0,0.0,,
2015-07-15,0.00013815971262776117,1.4478,0.0,0.0,,
2015-07-16,0.00020721094073761215,1.4481,0.0,0.0,,
2015-07-17,0.00034528002209799347,1.4485999999999999,0.0,0.0,,
2015-07-20,0.0,1.4485999999999999,0.0,0.0,,
2015-07-21,0.0,1.4485999999999999,0.0,0.0,,
2015-07-22,0.0,1.4485999999999999,0.0,0.0,,
2015-07-23,6.903216899090125e-05,1.4487,0.0,0.0,,
2015-07-24,0.00013805480775874734,1.4489,0.0,0.0,,
2015-07-27,0.00020705362688944184,1.4492,0.0,0.0,,
2015-07-28,6.900358818651142e-05,1.4493,0.0,0.0,,
2015-07-29,0.0,1.4493,0.0,0.0,,
2015-07-30,0.00034499413509969656,1.4498,0.0,0.0,,
2015-07-31,0.0011036004966202828,1.4514,0.0,0.0,,
2015-08-03,0.0013090808874189896,1.4533,0.0,0.0,,
2015-08-04,-0.01114704465698757,1.4371,0.0,0.0,,
2015-08-05,-0.005914689304850174,1.4285999999999999,0.0,0.0,,
2015-08-06,0.011969760604787938,1.4457,0.0,0.0,,
2015-08-07,-0.015148371031334373,1.4238,0.0,0.0,,
2015-08-10,0.008779322938615053,1.4363000000000001,0.0,0.0,,
2015-08-11,-0.0030634268606838377,1.4319,0.0,0.0,,
