trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return
cost_top1_2bp,1,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,12.424384575791631,0.2624706516635864,0.3012890744384344,0.9242704425372663,0.33481685157866736,2345.835085560978,210.52366152470316,250251.21656851473,0.004395965884547519,0.9956040341154526,769,-0.2588363212971462
cost_top1_5bp,1,original_like,25,0.4,5.0,0.9,5.0,200000.0,,2808,6.473819981769499,0.19782907814192008,0.30127428330541367,0.7497454341646068,0.3945782351515418,2269.604919347327,203.68249276193959,409860.94912316225,0.004627535322476032,0.995372464677524,1750,-0.3422530732670075
cost_top1_10bp,1,original_like,25,0.4,5.0,0.9,10.0,200000.0,,2808,1.820094344602074,0.09750946716054476,0.3013536918815247,0.4592985954826425,0.584089054530281,2129.8187696339455,191.1375818902259,433214.3750715649,0.0068187492934331925,0.9931812507065667,2274,-0.4655515705650579
cost_top1_20bp,1,original_like,25,0.4,5.0,0.9,20.0,200000.0,,2808,-0.593094841621431,-0.07752518613291604,0.3019035533381816,-0.1163250654935439,0.8585704642175234,1879.7467075355628,168.69521734293514,328787.2546111703,0.01385331047527185,0.9861466895247282,2713,-0.6513908224660212
cost_top1_30bp,1,original_like,25,0.4,5.0,0.9,30.0,200000.0,,2808,-0.9376756471819642,-0.22047820545010566,0.30240592888786627,-0.6719107217380165,0.956606091676632,1746.2267099910114,156.7126534607318,273169.8075702389,0.039355505653527544,0.9606444943464724,2735,-0.7711751186501294
cost_top3_2bp,3,original_like,25,0.4,5.0,0.9,2.0,200000.0,,2808,7.388476934507116,0.21030447344011605,0.22358283611568966,0.9658095268871972,0.2576850931735285,1841.2852468059762,165.2435477902799,168128.71550027473,0.03951574284746635,0.9604842571525336,993,-0.12127275900115897
cost_top3_5bp,3,original_like,25,0.4,5.0,0.9,5.0,200000.0,,2808,4.145139088936258,0.15835941055996172,0.22338503675471855,0.7699827102723962,0.27885172730349195,1790.1239391255353,160.65214838306088,301893.3856158007,0.04038864968175043,0.9596113503182495,1244,-0.21900837974041287
cost_top3_10bp,3,original_like,25,0.4,5.0,0.9,10.0,200000.0,,2808,1.2938246922148626,0.07735285968386973,0.22339768284665143,0.44533456768194457,0.48081015570141816,1706.6200115426914,153.1582061640877,368771.3530508969,0.04144329931811929,0.9585567006818806,2273,-0.33742490371028366
cost_top3_20bp,3,original_like,25,0.4,5.0,0.9,20.0,200000.0,,2808,-0.5524520131441757,-0.06960987328171697,0.22479885835880736,-0.20833671094739287,0.7878997277478328,1562.0841668746575,140.18704061695644,334745.84483074036,0.044284460165006215,0.9557155398349938,2712,-0.5180675911491117
cost_top3_30bp,3,original_like,25,0.4,5.0,0.9,30.0,200000.0,,2808,-0.9064993772798691,-0.19157972122754796,0.22526763025029972,-0.8307835784332795,0.9265262171177227,1470.599816566426,131.97690661493567,291027.406576664,0.05545145794857718,0.9445485420514227,2712,-0.6856792182185112
