top_k,stage,period,annualized_return,sharpe,maximum_drawdown,delta_sharpe
1,A0,2015-2018,-0.12729764913635377,-0.27363125386600545,0.6196436960436549,
1,A0,2019-2022,-0.05590919694582952,0.06578223031022554,0.6082201293810959,
1,A0,2023-2026,0.09468073703025381,0.4378510376774052,0.5728551189269637,
1,A1,2015-2018,0.004194329301617117,0.149700069625028,0.33712419376352154,0.4233313234910334
1,A1,2019-2022,-0.12329010405355123,-0.1238898021120096,0.6404719482335673,-0.18967203242223513
1,A1,2023-2026,0.1949185707565706,0.6023551212808046,0.439195090304068,0.1645040836033994
1,A2,2015-2018,0.05578956395460244,0.3608125348882844,0.32783851379347717,0.21111246526325642
1,A2,2019-2022,-0.07550646800745209,-0.11349155320773316,0.5165599994912968,0.010398248904276444
1,A2,2023-2026,0.1648512690632291,0.5993244029601201,0.31084290888388555,-0.0030307183206844668
1,A3,2015-2018,0.08303055744601062,0.47735936449672745,0.30368006069682496,0.11654682960844304
1,A3,2019-2022,-0.08167017054498771,-0.13031141301024454,0.5257975000785438,-0.016819859802511383
1,A3,2023-2026,0.2577409703155946,0.8137269168325325,0.2958007906603737,0.21440251387241238
1,A4,2015-2018,-0.007170338263409293,0.07369547352305572,0.33485143284994767,-0.4036638909736717
1,A4,2019-2022,0.15560340486844582,0.664302713151174,0.20330636019524384,0.7946141261614185
1,A4,2023-2026,0.8668495525083539,1.767637900600117,0.29181775296146195,0.9539109837675845
1,A5,2015-2018,-0.0030425511626108737,0.09327755656678291,0.33481685157866736,0.01958208304372719
1,A5,2019-2022,0.15564944173495676,0.664427207179622,0.20332399605683205,0.00012449402844805224
1,A5,2023-2026,0.8250822376936962,1.7094835411495077,0.2918198258548349,-0.058154359450609316
1,A6,2015-2018,-0.0030425511626108737,0.09327755656678291,0.33481685157866736,0.0
1,A6,2019-2022,0.15564944173495676,0.664427207179622,0.20332399605683205,0.0
1,A6,2023-2026,0.8225874700422948,1.7066982192398963,0.29181913854045816,-0.002785321909611449
3,A0,2015-2018,-0.141289393927705,-0.48906484524279625,0.6227110761096939,
3,A0,2019-2022,-0.0039441073222052925,0.15225743183307466,0.5207964647562087,
3,A0,2023-2026,0.12186362810821816,0.48386436548799755,0.4592990563584092,
3,A1,2015-2018,0.06299585150137843,0.384349510894695,0.3211342292623518,0.8734143561374912
3,A1,2019-2022,-0.028199304539801573,0.06740948096966745,0.505625939017001,-0.08484795086340721
3,A1,2023-2026,0.04489213008518611,0.31248896705133394,0.5299537382548496,-0.1713753984366636
3,A2,2015-2018,0.06783511290102306,0.44994910744663413,0.29253303475038095,0.06559959655193914
3,A2,2019-2022,-0.001892624936843057,0.12300531728219422,0.45132030210043195,0.055595836312526764
3,A2,2023-2026,0.06571086270369952,0.3625127110243978,0.2870935209673352,0.05002374397306386
3,A3,2015-2018,0.07602955024493152,0.4910476483217558,0.2873799340145784,0.04109854087512166
3,A3,2019-2022,0.016371523732203963,0.19199851376893987,0.4320104575282433,0.06899319648674565
3,A3,2023-2026,0.043530572911787635,0.2914569722388935,0.2933988124991005,-0.07105573878550431
3,A4,2015-2018,0.041647496768776326,0.32628407743307286,0.20493713678103886,-0.16476357088868293
3,A4,2019-2022,0.1302343993262347,0.6846704030688552,0.2576294483197368,0.49267188929991534
3,A4,2023-2026,0.5438510743674132,1.681208974982134,0.18102498418288926,1.3897520027432404
3,A5,2015-2018,0.041897621522537065,0.32702732547575614,0.20493713678103886,0.0007432480426832755
3,A5,2019-2022,0.13170706959914358,0.6917534202020515,0.25768509317352883,0.007083017133196368
3,A5,2023-2026,0.5420232111431775,1.6756921187178135,0.1810317974544684,-0.005516856264320413
3,A6,2015-2018,0.041897621522537065,0.32702732547575614,0.20493713678103886,0.0
3,A6,2019-2022,0.13170706959914358,0.6917534202020515,0.25768509317352883,0.0
3,A6,2023-2026,0.5470334630236833,1.6880783525206409,0.18102883773835554,0.012386233802827329
