scenario,annualized_return,maximum_drawdown,sharpe,completed_positions,total_return,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,method,period_start,period_end,trade_count,order_count,rejected_order_count,parameter_selection_used_window,yearly_returns_json
published-public-backtest,0.39130293506464,0.17046506558779,1.7563278299485,15,,,,,,,,,,,,,,
source-cost-calibration,0.4278926699411067,0.1706377617296411,1.7926586587098825,15,5.738286021677876,0.2109499263634708,33.12968643128827,0.6592295399741238,1.0,113.0,signal,2013-01-04,2018-07-06,30.0,30.0,0.0,False,"{""2013"": 0.3025823343097691, ""2014"": 0.012210951927718261, ""2015"": 1.9359996878855847, ""2016"": 0.17094961782174356, ""2017"": 0.24306976157845006, ""2018"": 0.1958687283139653}"
zscore-baseline-cost,-0.043961618740571806,0.5836684746270729,-0.16797750264168773,16,-0.29590792067877814,0.17589399689077875,31.410439498636105,0.678283026547576,1.0,1138.0,signal,2018-07-09,2026-07-23,32.0,32.0,0.0,False,"{""2018"": 0.001390555414211292, ""2019"": 0.018308326653350138, ""2020"": 0.19434544255214803, ""2021"": 0.11016447962740328, ""2022"": -0.2686728059880581, ""2023"": -0.11051225228317074, ""2024"": -0.07806689184280335, ""2025"": 0.10460800142020998, ""2026"": -0.21391393232872025}"
zscore-double-cost,-0.04901208863472439,0.5943009706464606,-0.19778293358662408,16,-0.32441861940495353,0.176032504501061,31.364690286328734,0.6782982660381304,1.0,1138.0,signal,2018-07-09,2026-07-23,32.0,32.0,0.0,False,"{""2018"": 9.205737175532747e-05, ""2019"": 0.013052222542614622, ""2020"": 0.18976956746887153, ""2021"": 0.1058601878449561, ""2022"": -0.27339376872684373, ""2023"": -0.1162201703764546, ""2024"": -0.0816211385392005, ""2025"": 0.0988303634369303, ""2026"": -0.21792744350484428}"
gac-buy-hold,-0.06835058681573991,0.7454127542726445,-0.023206740659007435,0,-0.4244982810697939,0.35534416799319946,0.905548096955707,0.0005180849438865105,0.0010204027478713806,1178.0,buy-hold,2018-07-09,2026-07-23,1.0,1.0,0.0,False,"{""2018"": -0.0041515700540921685, ""2019"": 0.1704163986439189, ""2020"": 0.15855729955757547, ""2021"": 0.1614561943143884, ""2022"": -0.2630057125186852, ""2023"": -0.1891424436941912, ""2024"": 0.08441256904532168, ""2025"": -0.12419024496856901, ""2026"": -0.3534834882842173}"
static-50pct-gac-cash,-0.030138796252512923,0.5050105500637526,-0.06253099926051103,0,-0.2124436860349288,0.19303093493002974,0.47543980072782394,0.48159333794506826,0.6519024632743577,1178.0,half-cash,2018-07-09,2026-07-23,1.0,1.0,0.0,False,"{""2018"": -0.0020776876714347914, ""2019"": 0.08510905832031268, ""2020"": 0.0854117562104415, ""2021"": 0.09283443944808778, ""2022"": -0.16071930698498493, ""2023"": -0.10149595967299929, ""2024"": 0.04087816669948818, ""2025"": -0.06265654161088519, ""2026"": -0.16663226344765802}"
