scenario,evidence_scope,period_start,period_end,initial_cash,total_return,annualized_return,maximum_drawdown,sharpe,sortino,turnover,comparable_to_oos,annualized_volatility,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,method,cost_label,trade_count,order_count,rejected_order_count,unfilled_shares,total_fees,commission_rate,minimum_commission,slippage_rate,maximum_volume_ratio,execution_policy,risk_off_transition_count,risk_on_transition_count,parameter_selection_used_oos,yearly_returns_json
published-public-backtest,public in-sample aggregate,2013-01-01,2021-03-04,10000.0,4.819173575,0.24847167458486,0.13153570811623,1.4699515406993,1.8487509982585,0.0057351231448319,False,,,,,,,,,,,,,,,,,,,,
frozen-source-cost-proxy,post-publication replay,2021-03-08,2026-07-24,200000.0,0.037405070162412235,0.007054334771276816,0.3220165230894656,0.12156129566732266,0.15388438248259884,8.413248360569458,True,0.14760619770460626,0.02836806418378145,1.0,1194.0,switch,platform-default proxy; source did not declare costs,9.0,9.0,0.0,100.0,454.70979943654004,0.0003,5.0,0.0,1.0,source-sequential,2.0,3.0,False,"{""2021"": 0.009552785496009575, ""2022"": -0.20079204342768964, ""2023"": -0.0011490180324692512, ""2024"": 0.05025104829339866, ""2025"": 0.20788429707884926, ""2026"": 0.014706344897359225}"
causal-baseline-cost,post-publication replay,2021-03-08,2026-07-24,200000.0,0.03309956867385688,0.0062529242679096875,0.3221655946679687,0.11618990160564134,0.1471078984981407,8.425658921199355,True,0.1477062340652875,0.027157088732502877,1.0,1195.0,switch,realistic baseline,9.0,9.0,0.0,200.0,454.3384941856298,0.0003,5.0,0.0005,0.01,sell-first,2.0,3.0,False,"{""2021"": 0.009054109627300688, ""2022"": -0.2008912751197578, ""2023"": -0.003080204112685947, ""2024"": 0.0482630269225488, ""2025"": 0.2082110407888409, ""2026"": 0.014725476330194276}"
causal-double-cost,post-publication replay,2021-03-08,2026-07-24,200000.0,0.02348280150821891,0.004453094411242198,0.32240445920079097,0.1040935133203115,0.13174671907525073,8.297598579480484,True,0.14778634935858537,0.035290952566586445,1.0,1197.0,switch,double friction,9.0,9.0,0.0,400.0,890.7121782517723,0.0006,5.0,0.001,0.01,sell-first,2.0,3.0,False,"{""2021"": 0.008256018856316327, ""2022"": -0.20105029174811861, ""2023"": -0.006220515003221183, ""2024"": 0.04266114333959825, ""2025"": 0.2083819303786223, ""2026"": 0.014735478102923638}"
csi300-buy-hold,post-publication replay,2021-03-08,2026-07-24,200000.0,-0.020792194697444755,-0.004014011847101484,0.37194512805971003,0.06748546656554084,0.09763083831419724,1.2046554785501207,True,0.17989956265687332,0.000462728638358271,0.0005963974811538546,1194.0,risk-buy-hold,realistic baseline,1.0,1.0,0.0,0.0,59.95935686874888,0.0003,5.0,0.0005,0.01,sell-first,0.0,0.0,False,"{""2021"": -0.055828713148101006, ""2022"": -0.2012396361305161, ""2023"": -0.09770330483652812, ""2024"": 0.173644613754107, ""2025"": 0.20828966545312388, ""2026"": 0.014730078401465452}"
static-50-50,post-publication replay,2021-03-08,2026-07-24,200000.0,0.10296348988471715,0.018936762095037585,0.1672015539089179,0.2558919527786438,0.3730894678784545,2.4528631485976304,True,0.08863980405507098,0.04084111004420594,0.07352772827585541,813.0,static-half,realistic baseline,70.0,70.0,0.0,0.0,399.5781054673978,0.0003,5.0,0.0005,0.01,sell-first,0.0,0.0,False,"{""2021"": -0.010610614767748383, ""2022"": -0.09204060512514256, ""2023"": -0.03390508547087423, ""2024"": 0.1324849475116554, ""2025"": 0.10472507356390182, ""2026"": 0.015829961149994798}"
