analysis_type,name,annualized_return,maximum_drawdown,sharpe,delta_cagr_vs_switch,delta_drawdown_vs_switch,delta_sharpe_vs_switch
strategy,causal-baseline-cost,0.0062529242679096875,0.3221655946679687,0.11618990160564134,0.0,0.0,0.0
simple-baseline,csi300-buy-hold,-0.004014011847101484,0.37194512805971003,0.06748546656554084,-0.010266936115011171,0.04977953339174135,-0.0487044350401005
simple-baseline,static-50-50,0.018936762095037585,0.1672015539089179,0.2558919527786438,0.012683837827127897,-0.15496404075905082,0.13970205117300247
event-count,risk-off-transition,2.0,,,,,,
event-count,risk-on-transition,3.0,,,,,,
