date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2019-01-02,1000000.0,1000000.0,0.0,0,0.0,0.986345112323761,0,0,1.0,0.0,0.0
2019-01-03,1000000.0,1000000.0,0.0,0,0.0,0.9847840070724487,0,0,1.0,0.0,0.0
2019-01-04,1000000.0,1000000.0,0.0,0,0.0,1.0083768367767334,0,0,1.0,0.0,0.0
2019-01-07,1000000.0,1000000.0,0.0,0,0.0,1.0144984722137451,0,0,1.0,0.0,0.0
2019-01-08,1000000.0,1000000.0,0.0,0,0.0,1.0123063325881958,0,0,1.0,0.0,0.0
2019-01-09,1000000.0,1000000.0,0.0,0,0.0,1.02252995967865,0,0,1.0,0.0,0.0
2019-01-10,1000000.0,1000000.0,0.0,0,0.0,1.0206068754196167,0,0,1.0,0.0,0.0
2019-01-11,1000000.0,1000000.0,0.0,0,0.0,1.0279440879821777,0,0,1.0,0.0,0.0
2019-01-14,1000000.0,1000000.0,0.0,0,0.0,1.0189759731292725,0,0,1.0,0.0,0.0
2019-01-15,1000000.0,1000000.0,0.0,0,0.0,1.0389750003814697,0,0,1.0,0.0,0.0
2019-01-16,1000000.0,1000000.0,0.0,0,0.0,1.039194107055664,0,0,1.0,0.0,0.0
2019-01-17,1000000.0,1000000.0,0.0,0,0.0,1.0334711074829102,0,0,1.0,0.0,0.0
2019-01-18,1000000.0,1000000.0,0.0,0,0.0,1.052320957183838,0,0,1.0,0.0,0.0
2019-01-21,1000000.0,1000000.0,0.0,0,0.0,1.0581237077713013,0,0,1.0,0.0,0.0
2019-01-22,1000000.0,1000000.0,0.0,0,0.0,1.0440667867660522,0,0,1.0,0.0,0.0
2019-01-23,1000000.0,1000000.0,0.0,0,0.0,1.0433127880096436,0,0,1.0,0.0,0.0
2019-01-24,1000000.0,1000000.0,0.0,0,0.0,1.0492019653320312,0,0,1.0,0.0,0.0
2019-01-25,1000000.0,1000000.0,0.0,0,0.0,1.0577349662780762,0,0,1.0,0.0,0.0
2019-01-28,1000000.0,1000000.0,0.0,0,0.0,1.0575058460235596,0,0,1.0,0.0,0.0
2019-01-29,1000000.0,1000000.0,0.0,0,0.0,1.0608904361724854,0,0,1.0,0.0,0.0
2019-01-30,1000000.0,1000000.0,0.0,0,0.0,1.0524238348007202,0,0,1.0,0.0,0.0
2019-01-31,1000000.0,1000000.0,0.0,0,0.0,1.0634348392486572,0,0,1.0,0.0,0.0
2019-02-01,1000000.0,1000000.0,0.0,0,0.0,1.0786374807357788,0,0,1.0,0.0,0.0
2019-02-11,1000000.0,1000000.0,0.0,0,0.0,1.0982577800750732,0,0,1.0,0.0,0.0
2019-02-12,1000000.0,1000000.0,0.0,0,0.0,1.1061862707138062,0,0,1.0,0.0,0.0
2019-02-13,1000000.0,1000000.0,0.0,0,0.0,1.1283377408981323,0,0,1.0,0.0,0.0
2019-02-14,1000000.0,1000000.0,0.0,0,0.0,1.1300350427627563,0,0,1.0,0.0,0.0
2019-02-15,1000000.0,1000000.0,0.0,0,0.0,1.108963131904602,0,0,1.0,0.0,0.0
2019-02-18,1000000.0,1000000.0,0.0,0,0.0,1.144516944885254,0,0,1.0,0.0,0.0
2019-02-19,1000000.0,1000000.0,0.0,0,0.0,1.142480731010437,0,0,1.0,0.0,0.0
2019-02-20,1000000.0,1000000.0,0.0,0,0.0,1.1465729475021362,0,0,1.0,0.0,0.0
2019-02-21,1000000.0,1000000.0,0.0,0,0.0,1.1435105800628662,0,0,1.0,0.0,0.0
2019-02-22,1000000.0,1000000.0,0.0,0,0.0,1.1692225933074951,0,0,1.0,0.0,0.0
2019-02-25,1000000.0,1000000.0,0.0,0,0.0,1.238762378692627,0,0,1.0,0.0,0.0
2019-02-26,1000000.0,1000000.0,0.0,0,0.0,1.223885178565979,0,0,1.0,0.0,0.0
2019-02-27,1000000.0,1000000.0,0.0,0,0.0,1.2217925786972046,0,0,1.0,0.0,0.0
2019-02-28,1000000.0,1000000.0,0.0,0,0.0,1.2187966108322144,0,0,1.0,0.0,0.0
2019-03-01,1000000.0,1000000.0,0.0,0,0.0,1.2454818487167358,0,0,1.0,0.0,0.0
2019-03-04,1000000.0,1000000.0,0.0,0,0.0,1.2602261304855347,0,0,1.0,0.0,0.0
2019-03-05,1000000.0,1000000.0,0.0,0,0.0,1.2675036191940308,0,0,1.0,0.0,0.0
2019-03-06,1000000.0,1000000.0,0.0,0,0.0,1.2781591415405273,0,0,1.0,0.0,0.0
