capital_rmb,status,annualized_return,maximum_drawdown,adv_participation
200000,not-run,,,
1000000,baseline,0.07667125553368548,0.3330711827152454,0.05
2000000,not-run,,,
5000000,supplemental,0.076958,0.333723,0.05
10000000,not-run,,,
