date,equity,cash,market_value,positions,gross_traded,benchmark_value,market_state,watchlist_size,daily_return,drawdown
2019-01-02,1000000.0,1000000.0,0.0,0,0.0,0.986345112323761,rally_attempt,0,0.0,0.0
2019-01-03,1000000.0,1000000.0,0.0,0,0.0,0.9847840070724487,correction,0,0.0,0.0
2019-01-04,1000000.0,1000000.0,0.0,0,0.0,1.0083768367767334,correction,0,0.0,0.0
2019-01-07,1000000.0,1000000.0,0.0,0,0.0,1.0144984722137451,rally_attempt,0,0.0,0.0
2019-01-08,1000000.0,1000000.0,0.0,0,0.0,1.0123063325881958,rally_attempt,0,0.0,0.0
2019-01-09,1000000.0,1000000.0,0.0,0,0.0,1.02252995967865,rally_attempt,0,0.0,0.0
2019-01-10,1000000.0,1000000.0,0.0,0,0.0,1.0206068754196167,rally_attempt,0,0.0,0.0
2019-01-11,1000000.0,1000000.0,0.0,0,0.0,1.0279440879821777,rally_attempt,0,0.0,0.0
2019-01-14,1000000.0,1000000.0,0.0,0,0.0,1.0189759731292725,rally_attempt,0,0.0,0.0
2019-01-15,1000000.0,1000000.0,0.0,0,0.0,1.0389750003814697,rally_attempt,0,0.0,0.0
2019-01-16,1000000.0,1000000.0,0.0,0,0.0,1.039194107055664,confirmed_uptrend,0,0.0,0.0
2019-01-17,1000000.0,1000000.0,0.0,0,0.0,1.0334711074829102,confirmed_uptrend,0,0.0,0.0
2019-01-18,1000000.0,1000000.0,0.0,0,0.0,1.052320957183838,confirmed_uptrend,0,0.0,0.0
2019-01-21,1000000.0,1000000.0,0.0,0,0.0,1.0581237077713013,confirmed_uptrend,0,0.0,0.0
2019-01-22,1000000.0,1000000.0,0.0,0,0.0,1.0440667867660522,confirmed_uptrend,0,0.0,0.0
2019-01-23,1000000.0,1000000.0,0.0,0,0.0,1.0433127880096436,confirmed_uptrend,0,0.0,0.0
2019-01-24,1000000.0,1000000.0,0.0,0,0.0,1.0492019653320312,confirmed_uptrend,0,0.0,0.0
2019-01-25,1000000.0,1000000.0,0.0,0,0.0,1.0577349662780762,confirmed_uptrend,0,0.0,0.0
