trade_date,cash,positions_value,total_value,daily_return
2016-06-22,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-06-23,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-06-24,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-06-27,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-06-28,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-06-29,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-06-30,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-01,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-04,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-05,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-06,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-07,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-08,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-11,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-12,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-13,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-14,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-15,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-18,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-19,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-20,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-21,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-22,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-25,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-26,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-27,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-28,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-07-29,11885578.017257636,500976.0097503662,12386554.027008003,0.0
2016-08-01,11885578.017257636,500976.0097503662,12386554.027008003,0.0
