model,experiment_id,period,total_return,annualized_return,maximum_drawdown,sharpe,calmar,benchmark_total_return,benchmark_annualized_return,annualized_excess_return
market-control,h18-control,development,1.806894043196718,0.14315040044433158,0.5198897566266705,0.6460954696902823,0.27534760710264766,0.38582754135131836,0.04320511921964809,0.09994528122468349
market-control,h18-control,selection-validation,0.9123905230672855,0.18284083513175609,0.36519703209302246,0.7712499344558444,0.5006635297221779,0.17734789848327637,0.04319101168069173,0.13964982345106436
market-control,h18-control,full,4.367877567463404,0.15623933351675756,0.5198897566266705,0.6882655832123635,0.3005239697941424,0.631600022315979,0.04320035153377222,0.11303898198298534
market-block-new,h28,development,0.5735827265221185,0.06052942625281599,0.44487021126894133,0.4169773678869852,0.13606086611230436,0.38582754135131836,0.04320511921964809,0.017324307033167896
market-block-new,h28,selection-validation,0.32423705121098134,0.07544510682038807,0.2335712387970088,0.5124146589018259,0.3230068359827282,0.17734789848327637,0.04319101168069173,0.03225409513969635
market-block-new,h28,full,1.083796549606188,0.06548159231693562,0.44487021126894133,0.4475509850103195,0.14719257585298165,0.631600022315979,0.04320035153377222,0.022281240783163403
market-scale-50,h29,development,1.0347163519201379,0.0964560875025744,0.483054011347944,0.5467319362116432,0.19967971538714133,0.38582754135131836,0.04320511921964809,0.0532509682829263
market-scale-50,h29,selection-validation,0.5703895540587149,0.12399532759985887,0.2139778312431616,0.7077547452601691,0.5794774481051367,0.17734789848327637,0.04319101168069173,0.08080431591916715
market-scale-50,h29,full,2.195297304527843,0.10556630217579777,0.483054011347944,0.5969577192732001,0.218539334517105,0.631600022315979,0.04320035153377222,0.06236595064202555
market-cash,h30,development,0.27680275037756763,0.03218320947770059,0.4195492252149212,0.26960252912287314,0.0767090189743866,0.38582754135131836,0.04320511921964809,-0.0110219097419475
market-cash,h30,selection-validation,0.11656587258376483,0.02896760498500428,0.16566726470964954,0.26654620957003744,0.17485412725183372,0.17734789848327637,0.04319101168069173,-0.014223406695687446
market-cash,h30,full,0.42563437709268115,0.031109491011050983,0.4195492252149212,0.2680160025711524,0.07414979969302676,0.631600022315979,0.04320035153377222,-0.012090860522721236
