trade_date,observation_date,zscore,target_position,signal_transition
2015-09-28,2015-09-25,-0.18312546083453735,1,0
2015-09-29,2015-09-28,-0.10559622520869953,1,0
2015-09-30,2015-09-29,-0.10726064598122208,1,0
2015-10-08,2015-09-30,-0.212554029801266,1,0
2015-10-09,2015-10-08,-0.007399132160676283,1,0
2015-10-12,2015-10-09,0.31964163391943273,1,0
2015-10-13,2015-10-12,1.0257213060099,0,-1
2015-10-14,2015-10-13,0.1392644313258484,0,0
2015-10-15,2015-10-14,-0.06967490824601635,0,0
2015-10-16,2015-10-15,0.05519334354534361,0,0
2015-10-19,2015-10-16,0.2660395551044355,0,0
2015-10-20,2015-10-19,0.3597076338524833,0,0
2015-10-21,2015-10-20,0.12568395841570595,0,0
2015-10-22,2015-10-21,-0.9320765860110787,0,0
2015-10-23,2015-10-22,-0.6493986951788718,0,0
2015-10-26,2015-10-23,-0.3800908702473126,0,0
2015-10-27,2015-10-26,-0.3699955107548344,0,0
2015-10-28,2015-10-27,0.419751805069031,0,0
2015-10-29,2015-10-28,0.3622884402483319,0,0
2015-10-30,2015-10-29,0.8574883293444897,0,0
2015-11-02,2015-10-30,0.9517840396317218,0,0
2015-11-03,2015-11-02,0.45808158542326205,0,0
2015-11-04,2015-11-03,0.21466679716725695,0,0
2015-11-05,2015-11-04,0.8162667527246299,0,0
2015-11-06,2015-11-05,1.8785916658335038,0,0
2015-11-09,2015-11-06,2.2269730648257102,0,0
2015-11-10,2015-11-09,2.204681237111561,0,0
2015-11-11,2015-11-10,1.5431607308915933,0,0
2015-11-12,2015-11-11,1.6700425886002672,0,0
2015-11-13,2015-11-12,1.8422348541598987,0,0
2015-11-16,2015-11-13,1.894999505415379,0,0
2015-11-17,2015-11-16,1.6558826032229406,0,0
2015-11-18,2015-11-17,1.041084101697449,0,0
2015-11-19,2015-11-18,0.743724421490297,0,0
2015-11-20,2015-11-19,0.7215372838608506,0,0
2015-11-23,2015-11-20,0.11026498306766057,0,0
2015-11-24,2015-11-23,-0.2621523673971316,0,0
2015-11-25,2015-11-24,-0.2510670679511986,0,0
2015-11-26,2015-11-25,-0.17043715513165714,0,0
2015-11-27,2015-11-26,-0.8581155735987359,0,0
2015-11-30,2015-11-27,-2.0398923926835906,1,1
2015-12-01,2015-11-30,-1.8564602161602213,1,0
2015-12-02,2015-12-01,-2.071935821933445,1,0
2015-12-03,2015-12-02,-1.5191623023432084,1,0
2015-12-04,2015-12-03,-1.1871246261045252,1,0
2015-12-07,2015-12-04,-0.942022121676611,1,0
2015-12-08,2015-12-07,-0.9140420387207114,1,0
2015-12-09,2015-12-08,-0.8988428942647477,1,0
2015-12-10,2015-12-09,-1.0627947702726608,1,0
2015-12-11,2015-12-10,-1.1161960684498289,1,0
2015-12-14,2015-12-11,-1.389478733917966,1,0
2015-12-15,2015-12-14,-0.5928885006538679,1,0
2015-12-16,2015-12-15,-0.27747308092880246,1,0
2015-12-17,2015-12-16,-0.17331837447880338,1,0
2015-12-18,2015-12-17,-0.08462182835971477,1,0
2015-12-21,2015-12-18,-0.02199386149992417,1,0
2015-12-22,2015-12-21,-0.24229417908153544,1,0
2015-12-23,2015-12-22,-0.16468532880004996,1,0
2015-12-24,2015-12-23,1.5110709484521254,0,-1
2015-12-25,2015-12-24,0.2938855375504345,0,0
2015-12-28,2015-12-25,0.422437304334245,0,0
2015-12-29,2015-12-28,-0.23221522667487576,0,0
2015-12-30,2015-12-29,-0.16998270732360315,0,0
2015-12-31,2015-12-30,-0.1995781446080854,0,0
2016-01-04,2015-12-31,-0.4170498526408871,0,0
2016-01-05,2016-01-04,-1.984690874381155,0,0
2016-01-06,2016-01-05,-1.3054899512063527,0,0
2016-01-07,2016-01-06,-0.46632052717784367,0,0
2016-01-08,2016-01-07,-1.7083864432450016,0,0
2016-01-11,2016-01-08,-0.5141447135856406,0,0
2016-01-12,2016-01-11,-1.4843781094613226,0,0
2016-01-13,2016-01-12,-1.4070294787299455,0,0
2016-01-14,2016-01-13,-1.7443193083624688,0,0
2016-01-15,2016-01-14,-1.5000972678453348,0,0
2016-01-18,2016-01-15,-1.9362449040205474,0,0
2016-01-19,2016-01-18,-1.5104929897803472,0,0
2016-01-20,2016-01-19,-0.673458678993514,0,0
2016-01-21,2016-01-20,-0.588438996810884,0,0
2016-01-22,2016-01-21,-0.6413379280997678,0,0
2016-01-25,2016-01-22,-0.7927221319846963,0,0
2016-01-26,2016-01-25,-0.5354173716067431,0,0
2016-01-27,2016-01-26,-1.0019934463803721,0,0
2016-01-28,2016-01-27,-0.8337603486911591,0,0
2016-01-29,2016-01-28,-1.0636728732484277,0,0
2016-02-01,2016-01-29,-0.27987101147470206,0,0
2016-02-02,2016-02-01,-0.30788419390603944,0,0
2016-02-03,2016-02-02,0.18551919804909225,0,0
2016-02-04,2016-02-03,0.21142660678923247,0,0
2016-02-05,2016-02-04,0.37459762356225285,0,0
2016-02-15,2016-02-05,0.46610278424939466,0,0
2016-02-16,2016-02-15,0.4831285032968745,0,0
2016-02-17,2016-02-16,1.0413580535731963,0,0
2016-02-18,2016-02-17,1.1516167312562597,0,0
2016-02-19,2016-02-18,1.439485611602638,0,0
2016-02-22,2016-02-19,1.29587891314035,0,0
2016-02-23,2016-02-22,1.4304499582860462,0,0
2016-02-24,2016-02-23,1.045466160682982,0,0
2016-02-25,2016-02-24,0.8912527272083023,0,0
2016-02-26,2016-02-25,-0.21678348035182163,0,0
2016-02-29,2016-02-26,0.0013960367733923942,0,0
2016-03-01,2016-02-29,-1.102039306347119,0,0
2016-03-02,2016-03-01,-0.9675079211562158,0,0
2016-03-03,2016-03-02,-0.41077361449944716,0,0
2016-03-04,2016-03-03,-0.5971074934176254,0,0
2016-03-07,2016-03-04,-0.8834887128055451,0,0
2016-03-08,2016-03-07,-0.7649527689289486,0,0
2016-03-09,2016-03-08,-0.5409135518964749,0,0
2016-03-10,2016-03-09,-0.8159047642766999,0,0
2016-03-11,2016-03-10,-0.6717231188740752,0,0
2016-03-14,2016-03-11,-0.6106512665560511,0,0
2016-03-15,2016-03-14,-0.1548000757231557,0,0
2016-03-16,2016-03-15,-0.36060354405657113,0,0
2016-03-17,2016-03-16,-0.49580789384987256,0,0
2016-03-18,2016-03-17,-0.08981153735496676,0,0
2016-03-21,2016-03-18,0.4307923476808802,0,0
2016-03-22,2016-03-21,1.515296801546906,0,0
2016-03-23,2016-03-22,1.2242042967158147,0,0
2016-03-24,2016-03-23,1.3519352049905895,0,0
2016-03-25,2016-03-24,0.9987655808775378,0,0
2016-03-28,2016-03-25,1.1052725569257558,0,0
2016-03-29,2016-03-28,1.076458110087236,0,0
2016-03-30,2016-03-29,1.0302478113763103,0,0
2016-03-31,2016-03-30,1.4240317962877436,0,0
2016-04-01,2016-03-31,1.527287146514749,0,0
2016-04-05,2016-04-01,1.399977035146169,0,0
2016-04-06,2016-04-05,2.4121113289138205,0,0
2016-04-07,2016-04-06,1.6297160030997446,0,0
2016-04-08,2016-04-07,1.1820487379854214,0,0
2016-04-11,2016-04-08,0.8552969544837783,0,0
2016-04-12,2016-04-11,1.2635932640043042,0,0
2016-04-13,2016-04-12,0.8986541436050576,0,0
2016-04-14,2016-04-13,1.180329253062041,0,0
2016-04-15,2016-04-14,1.108262966740382,0,0
2016-04-18,2016-04-15,0.9213716850911051,0,0
2016-04-19,2016-04-18,0.49125135611839843,0,0
2016-04-20,2016-04-19,0.7999733747863542,0,0
2016-04-21,2016-04-20,1.6422683894734618,0,0
2016-04-22,2016-04-21,0.7370630361330105,0,0
2016-04-25,2016-04-22,1.0009826385213703,0,0
2016-04-26,2016-04-25,0.8596558594313054,0,0
2016-04-27,2016-04-26,0.36803368181652013,0,0
2016-04-28,2016-04-27,-0.20913436811808303,0,0
2016-04-29,2016-04-28,0.0975732449139956,0,0
2016-05-03,2016-04-29,0.5352735857736632,0,0
2016-05-04,2016-05-03,1.0479990573076077,0,0
2016-05-05,2016-05-04,0.9941792319461522,0,0
2016-05-06,2016-05-05,1.0789049659285412,0,0
2016-05-09,2016-05-06,0.8784000262300355,0,0
2016-05-10,2016-05-09,1.0958362321151713,0,0
2016-05-11,2016-05-10,1.890703232350347,0,0
2016-05-12,2016-05-11,1.431121897970316,0,0
2016-05-13,2016-05-12,1.5860018932086652,0,0
2016-05-16,2016-05-13,0.7205569618893507,0,0
2016-05-17,2016-05-16,0.5860356085619983,0,0
2016-05-18,2016-05-17,0.564885262219141,0,0
2016-05-19,2016-05-18,0.5697700131758013,0,0
2016-05-20,2016-05-19,-0.34978968269019567,0,0
2016-05-23,2016-05-20,-0.8014256871832751,0,0
2016-05-24,2016-05-23,-0.7788733377245516,0,0
2016-05-25,2016-05-24,-0.665917280873849,0,0
2016-05-26,2016-05-25,-0.9775732217158327,0,0
2016-05-27,2016-05-26,-0.9935301729359036,0,0
2016-05-30,2016-05-27,-1.0390582465516527,0,0
2016-05-31,2016-05-30,-1.0950855282211842,0,0
2016-06-01,2016-05-31,-0.3959296513100176,0,0
2016-06-02,2016-06-01,-0.25346830234633355,0,0
2016-06-03,2016-06-02,-0.5439880198796079,0,0
2016-06-06,2016-06-03,-0.4569045005784802,0,0
2016-06-07,2016-06-06,-0.869472321607508,0,0
2016-06-08,2016-06-07,-1.1232476695802553,0,0
2016-06-13,2016-06-08,-1.688741747212572,0,0
2016-06-14,2016-06-13,-2.521846550557865,1,1
2016-06-15,2016-06-14,-2.222680808146055,1,0
2016-06-16,2016-06-15,-1.478466480757172,1,0
2016-06-17,2016-06-16,-1.695232188782758,1,0
2016-06-20,2016-06-17,-1.4700057364821588,1,0
2016-06-21,2016-06-20,-1.4096622117787265,1,0
2016-06-22,2016-06-21,-1.8691161394554798,1,0
2016-06-23,2016-06-22,-1.722957480444892,1,0
2016-06-24,2016-06-23,-1.5812623107951527,1,0
2016-06-27,2016-06-24,-1.3051145353791271,1,0
2016-06-28,2016-06-27,0.0424836171976176,1,0
2016-06-29,2016-06-28,0.27518186739536404,1,0
2016-06-30,2016-06-29,0.2718495981272902,1,0
2016-07-01,2016-06-30,0.2953391938362532,1,0
2016-07-04,2016-07-01,0.4133960566704147,1,0
2016-07-05,2016-07-04,0.9192886690406746,1,0
2016-07-06,2016-07-05,0.5683904653525144,1,0
2016-07-07,2016-07-06,1.4206620974547173,0,-1
2016-07-08,2016-07-07,1.677837656842048,0,0
2016-07-11,2016-07-08,-1.092341063309289,0,0
2016-07-12,2016-07-11,-1.3215020460076048,0,0
2016-07-13,2016-07-12,-1.766110592726595,0,0
2016-07-14,2016-07-13,-0.8996741649899144,0,0
2016-07-15,2016-07-14,-0.6482636842268032,0,0
2016-07-18,2016-07-15,-0.4267183254552326,0,0
2016-07-19,2016-07-18,0.028502173442981248,0,0
2016-07-20,2016-07-19,0.218731324020816,0,0
2016-07-21,2016-07-20,0.5250710112011268,0,0
2016-07-22,2016-07-21,0.43108174242412456,0,0
2016-07-25,2016-07-22,0.1823835243051833,0,0
2016-07-26,2016-07-25,0.35913682153197923,0,0
2016-07-27,2016-07-26,0.538923939198217,0,0
2016-07-28,2016-07-27,-0.007159398168698811,0,0
2016-07-29,2016-07-28,0.1777327217610442,0,0
2016-08-01,2016-07-29,0.03214540559914273,0,0
2016-08-02,2016-08-01,-0.07902916040144374,0,0
2016-08-03,2016-08-02,0.27140197090831025,0,0
2016-08-04,2016-08-03,0.8727494040449257,0,0
2016-08-05,2016-08-04,0.8860395294036191,0,0
2016-08-08,2016-08-05,0.9788085527093237,0,0
2016-08-09,2016-08-08,1.9004626755105904,0,0
2016-08-10,2016-08-09,1.981931688000981,0,0
2016-08-11,2016-08-10,2.0669860978072276,0,0
2016-08-12,2016-08-11,1.8478709622121514,0,0
2016-08-15,2016-08-12,1.7675075947910792,0,0
2016-08-16,2016-08-15,0.8557773748032279,0,0
2016-08-17,2016-08-16,-0.7070020489001201,0,0
