comparison,execution_date,local_count,joinquant_count,intersection_count,overlap_ratio,local_only,joinquant_only
selected_candidates,2019-01-02,20,20,8,0.4,"SH600114,SH600516,SH600525,SH600567,SH600585,SH600995,SH601006,SZ000581,SZ000789,SZ002033,SZ002440,SZ002517","SH600383,SH600720,SH601126,SH603669,SH603980,SZ000791,SZ000910,SZ002396,SZ002530,SZ002541,SZ300061,SZ300159"
selected_candidates,2019-02-01,20,20,9,0.45,"SH600062,SH600114,SH600516,SH600525,SH600567,SH600995,SZ000055,SZ000581,SZ000789,SZ000922,SZ002440","SH600720,SH603669,SH603980,SZ000791,SZ000910,SZ001914,SZ002359,SZ002530,SZ002541,SZ300061,SZ300159"
selected_candidates,2019-03-01,20,20,8,0.4,"SH600114,SH600516,SH600525,SH600567,SH600585,SH601006,SH603898,SZ000055,SZ000581,SZ000789,SZ000922,SZ002440","SH600383,SH600720,SH601126,SH603858,SH603980,SZ000791,SZ000910,SZ001914,SZ002396,SZ002530,SZ002541,SZ300159"
selected_candidates,2019-04-01,20,20,7,0.35,"SH600114,SH600230,SH600382,SH600426,SH600516,SH600525,SH600567,SH600585,SH600598,SZ000055,SZ000581,SZ000636,SZ002233","SH600051,SH600782,SH600801,SH600823,SH600884,SH603858,SH603980,SZ000402,SZ000919,SZ002150,SZ002541,SZ300061,SZ300230"
selected_candidates,2019-05-06,20,20,18,0.9,"SH600327,SH601222","SH600328,SH600677"
selected_candidates,2019-06-03,20,20,19,0.95,SH600426,SH600677
selected_candidates,2019-07-01,20,20,19,0.95,SH603167,SH600677
selected_candidates,2019-08-01,20,20,18,0.9,"SH600668,SZ002380","SH600995,SZ300349"
selected_candidates,2019-09-02,20,20,10,0.5,"SH600136,SH600757,SH600995,SH601006,SH603980,SZ000155,SZ000636,SZ000919,SZ000999,SZ002884","SH600328,SH600376,SH600387,SH600449,SH600720,SH600782,SH600823,SH603608,SZ002150,SZ002444"
selected_candidates,2019-10-08,20,20,9,0.45,"SH600516,SH600995,SH601006,SH601567,SH603980,SZ000155,SZ000789,SZ000919,SZ000922,SZ000999,SZ002884","SH600376,SH600387,SH600449,SH600720,SH600782,SH601019,SH603608,SH603898,SZ000719,SZ002150,SZ002444"
