family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
sma-price,53,1;4;5;7,0;2;3;6,sma-price__period-50,0.6008727297435917,0.25342911831952963,0.3,-0.8472978603872036,True
sma-price,54,1;4;6;7,0;2;3;5,sma-price__period-50,1.0956023373112407,-0.914829520229881,0.1,-2.197224577336219,True
sma-price,55,1;5;6;7,0;2;3;4,sma-price__period-50,0.896130317227839,0.012207610588432673,0.3,-0.8472978603872036,True
sma-price,56,2;3;4;5,0;1;6;7,sma-price__period-200,0.2424515052889444,0.6559426645933715,0.5,0.0,True
sma-price,57,2;3;4;6,0;1;5;7,sma-price__period-150,1.0478596723630933,-0.37171860201768164,0.3,-0.8472978603872036,True
sma-price,58,2;3;4;7,0;1;5;6,sma-price__period-50,0.30022858843004574,0.7190080512811264,0.7,0.8472978603872034,False
sma-price,59,2;3;5;6,0;1;4;7,sma-price__period-200,0.6991907854554047,0.30722264162789226,0.5,0.0,True
sma-price,60,2;3;5;7,0;1;4;6,sma-price__period-200,-0.11826150516187767,1.0993786143505788,0.9,2.1972245773362196,False
sma-price,61,2;3;6;7,0;1;4;5,sma-price__period-200,0.6116757697743808,0.2852397290659399,0.7,0.8472978603872034,False
sma-price,62,2;4;5;6,0;1;3;7,sma-price__period-200,0.9060423116740747,-0.07902484670839581,0.5,0.0,True
sma-price,63,2;4;5;7,0;1;3;6,sma-price__period-50,0.4787553719572138,0.46039519709016513,0.3,-0.8472978603872036,True
sma-price,64,2;4;6;7,0;1;3;5,sma-price__period-50,0.9817540757813079,-0.6328654956362265,0.7,0.8472978603872034,False
sma-price,65,2;5;6;7,0;1;3;4,sma-price__period-50,0.749551616069248,0.1632728298851271,0.3,-0.8472978603872036,True
sma-price,66,3;4;5;6,0;1;2;7,sma-price__period-200,1.106258763307463,-0.2654630681211079,0.7,0.8472978603872034,False
sma-price,67,3;4;5;7,0;1;2;6,sma-price__period-100,0.43224151868653204,0.2742268869437927,0.3,-0.8472978603872036,True
sma-price,68,3;4;6;7,0;1;2;5,sma-price__period-100,1.0479344595729068,-1.0560526408173445,0.1,-2.197224577336219,True
sma-price,69,3;5;6;7,0;1;2;4,sma-price__period-100,0.7149108526708151,-0.0903765487873909,0.3,-0.8472978603872036,True
