family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
dual-ma,52,1;4;5;6,0;2;3;7,dual-ma__fast-50-slow-200,0.8269499262484166,-0.14622491951199848,0.4166666666666667,-0.33647223662121273,True
dual-ma,53,1;4;5;7,0;2;3;6,dual-ma__fast-50-slow-200,0.2419937471868749,0.4124049209274223,0.4166666666666667,-0.33647223662121273,True
dual-ma,54,1;4;6;7,0;2;3;5,dual-ma__fast-50-slow-200,0.7883793563688082,-0.6087012591924926,0.4166666666666667,-0.33647223662121273,True
dual-ma,55,1;5;6;7,0;2;3;4,dual-ma__fast-50-slow-200,0.690285406046953,-0.7445375804487362,0.08333333333333333,-2.3978952727983707,True
dual-ma,56,2;3;4;5,0;1;6;7,dual-ma__fast-50-slow-100,0.30137565965618907,0.2548795830197914,0.25,-1.0986122886681098,True
dual-ma,57,2;3;4;6,0;1;5;7,dual-ma__fast-50-slow-100,1.0628181585322791,-0.32496566730130116,0.25,-1.0986122886681098,True
dual-ma,58,2;3;4;7,0;1;5;6,dual-ma__fast-50-slow-100,0.15814526784947294,0.40931985212669225,0.4166666666666667,-0.33647223662121273,True
dual-ma,59,2;3;5;6,0;1;4;7,dual-ma__fast-20-slow-100,0.7669755651810389,-0.21126595670041656,0.25,-1.0986122886681098,True
dual-ma,60,2;3;5;7,0;1;4;6,dual-ma__fast-100-slow-200,0.0956059514797964,0.5194095498680378,0.4166666666666667,-0.33647223662121273,True
dual-ma,61,2;3;6;7,0;1;4;5,dual-ma__fast-10-slow-50,0.6486330244717676,-0.6038533806315993,0.25,-1.0986122886681098,True
dual-ma,62,2;4;5;6,0;1;3;7,dual-ma__fast-50-slow-100,0.8837182184453247,-0.3532794103767385,0.4166666666666667,-0.33647223662121273,True
dual-ma,63,2;4;5;7,0;1;3;6,dual-ma__fast-50-slow-100,0.12968217970651738,0.5379734345138873,0.5833333333333334,0.336472236621213,False
dual-ma,64,2;4;6;7,0;1;3;5,dual-ma__fast-10-slow-50,0.6598775602292111,-0.9388662205206114,0.25,-1.0986122886681098,True
dual-ma,65,2;5;6;7,0;1;3;4,dual-ma__fast-10-slow-50,0.6997742126770227,-0.7948543831274898,0.08333333333333333,-2.3978952727983707,True
dual-ma,66,3;4;5;6,0;1;2;7,dual-ma__fast-50-slow-100,0.9634659281850825,-0.354417261858314,0.4166666666666667,-0.33647223662121273,True
dual-ma,67,3;4;5;7,0;1;2;6,dual-ma__fast-50-slow-200,0.24220340404059207,0.4120490076291118,0.4166666666666667,-0.33647223662121273,True
dual-ma,68,3;4;6;7,0;1;2;5,dual-ma__fast-50-slow-200,0.7890639198485798,-0.608175519956739,0.4166666666666667,-0.33647223662121273,True
dual-ma,69,3;5;6;7,0;1;2;4,dual-ma__fast-50-slow-200,0.6908844470513794,-0.7438940490989588,0.08333333333333333,-2.3978952727983707,True
dual-ma,70,4;5;6;7,0;1;2;3,dual-ma__fast-50-slow-200,0.7195445593624109,-1.1877180779805239,0.08333333333333333,-2.3978952727983707,True
macd-cross,1,0;1;2;3,4;5;6;7,macd-cross__fast-12-signal-9-slow-26,0.2065194724900835,1.2996239960852773,0.9,2.1972245773362196,False
macd-cross,2,0;1;2;4,3;5;6;7,macd-cross__fast-12-signal-9-slow-26,0.7028149485092721,1.1136357646178636,0.7,0.8472978603872034,False
macd-cross,3,0;1;2;5,3;4;6;7,macd-cross__fast-12-signal-9-slow-26,0.4731203825048419,1.1720825467686127,0.9,2.1972245773362196,False
macd-cross,4,0;1;2;6,3;4;5;7,macd-cross__fast-12-signal-9-slow-26,1.1457009753592886,0.7516537929569791,0.9,2.1972245773362196,False
macd-cross,5,0;1;2;7,3;4;5;6,macd-cross__fast-12-signal-9-slow-26,0.5853085896162095,1.128094577980759,0.9,2.1972245773362196,False
macd-cross,6,0;1;3;4,2;5;6;7,macd-cross__fast-12-signal-9-slow-26,0.747794547636841,1.0545855077036812,0.7,0.8472978603872034,False
macd-cross,7,0;1;3;5,2;4;6;7,macd-cross__fast-12-signal-9-slow-26,0.5514828187816916,1.1311466720811112,0.9,2.1972245773362196,False
