trade_date,model,underlying_return,model_return
2024-09-30,buy-hold,0.1994949494949494,0.1973589587563267
2024-09-30,sma-price,0.1994949494949494,0.0
2024-09-30,ema-price,0.1994949494949494,0.0
2024-09-30,dual-ma,0.1994949494949494,0.0
2024-09-30,macd-cross,0.1994949494949494,0.19779823629969573
2024-09-30,trix,0.1994949494949494,0.1977922481731833
2024-09-30,adx-dmi,0.1994949494949494,0.11596934190569952
2024-09-30,aroon,0.1994949494949494,0.11597480527372861
2024-09-30,supertrend,0.1994949494949494,0.19772154576694256
2024-09-30,tsmom-monthly,0.1994949494949494,0.0
2024-09-30,donchian,0.1994949494949494,0.1159737592765282
2024-09-30,bollinger-breakout,0.1994949494949494,0.19771533157494137
2024-09-30,keltner-breakout,0.1994949494949494,0.1159749431003001
2024-09-30,rsi-reversion,0.1994949494949494,0.0
2024-09-30,stochastic-reversion,0.1994949494949494,0.0
2024-09-30,cci-reversion,0.1994949494949494,0.07205858938373533
2024-09-30,bollinger-reversion,0.1994949494949494,0.0
2024-09-30,mfi-reversion,0.1994949494949494,0.0
2024-09-30,obv-trend,0.1994949494949494,0.11596980523362865
2024-09-30,vol-target-trend,0.1994949494949494,0.04307612293739993
2024-09-30,indicator-vote,0.1994949494949494,0.0
2024-10-08,buy-hold,0.19999999999999996,0.19821156530006934
2024-10-08,sma-price,0.19999999999999996,0.0
2024-10-08,ema-price,0.19999999999999996,0.0
2024-10-08,dual-ma,0.19999999999999996,0.0
2024-10-08,macd-cross,0.19999999999999996,0.19857988714614194
2024-10-08,trix,0.19999999999999996,0.19857486808699276
2024-10-08,adx-dmi,0.19999999999999996,0.19828708907380577
2024-10-08,aroon,0.19999999999999996,0.19829545968773088
2024-10-08,supertrend,0.19999999999999996,0.19851560376117328
2024-10-08,tsmom-monthly,0.19999999999999996,0.0
2024-10-08,donchian,0.19999999999999996,0.1982938570858146
2024-10-08,bollinger-breakout,0.19999999999999996,0.1985103945530322
2024-10-08,keltner-breakout,0.19999999999999996,0.1982956708554977
2024-10-08,rsi-reversion,0.19999999999999996,0.0
2024-10-08,stochastic-reversion,0.19999999999999996,0.0
2024-10-08,cci-reversion,0.19999999999999996,0.0
2024-10-08,bollinger-reversion,0.19999999999999996,0.0
2024-10-08,mfi-reversion,0.19999999999999996,0.0
2024-10-08,obv-trend,0.19999999999999996,0.1982877989576306
2024-10-08,vol-target-trend,0.19999999999999996,0.07866449448027901
2024-10-08,indicator-vote,0.19999999999999996,0.0
2024-10-11,buy-hold,-0.07309941520467844,-0.0724937662056434
2024-10-11,sma-price,-0.07309941520467844,0.0
