family,config_count,positive_annualized_ratio,beats_exposure_matched_beta_ratio,median_annualized_return,minimum_annualized_return,maximum_annualized_return,median_timing_value_add
sma-price,5,0.8,0.8,0.06356770287377755,-0.027218132650408178,0.0937530173298986,0.037058145038553425
ema-price,5,1.0,1.0,0.047936099875753424,0.04167413070765935,0.10050640808797695,0.020937307360138435
dual-ma,6,0.8333333333333334,0.6666666666666666,0.027862366740843747,-0.06209911621543873,0.04372190017573052,0.000399671665817114
macd-cross,5,1.0,1.0,0.14700653680688358,0.12926861489512786,0.21503719958148015,0.11875792325414936
trix,6,0.8333333333333334,0.6666666666666666,0.10906221288177786,-0.016342610470346908,0.1953289119661601,0.08123119067319284
adx-dmi,9,0.8888888888888888,0.8888888888888888,0.18360157039939073,-0.0070289071198800235,0.2330814763948923,0.16509560386207212
aroon,9,1.0,1.0,0.12385061534604991,0.07255241019074021,0.21312361591408435,0.1054084332314078
supertrend,6,1.0,1.0,0.07672236441453595,0.02985931263680719,0.15660643547212416,0.04999475438954082
tsmom-monthly,4,0.25,0.0,-0.05385573788040493,-0.05990374646881125,0.013338532207843867,-0.061163295621723124
donchian,5,0.4,0.4,-0.011936253082976411,-0.03159832090481085,0.12791039190776554,-0.02438560092132691
bollinger-breakout,6,1.0,1.0,0.11752901678719185,0.08192410229130953,0.18412227145209514,0.0996553620977858
keltner-breakout,6,1.0,1.0,0.11257402772594316,0.06627153146088838,0.1808755029575746,0.09397612348717088
rsi-reversion,6,0.3333333333333333,0.3333333333333333,-0.008896445942994935,-0.02706188739781268,0.03744152445851068,-0.03439425986539418
stochastic-reversion,6,0.0,0.0,-0.09358050749705787,-0.10642862981006729,-0.04962205394764485,-0.1243922782496471
cci-reversion,6,0.3333333333333333,0.0,-0.07037840488938779,-0.08678915911377227,0.02031961810495475,-0.09379360333001346
bollinger-reversion,9,0.1111111111111111,0.1111111111111111,-0.02959520860520959,-0.09000872023039741,0.024910684088626844,-0.04214755881486876
mfi-reversion,6,0.5,0.5,0.009598484196434387,-0.11989811565117137,0.0829487941077458,-0.01023388891553767
obv-trend,6,1.0,0.8333333333333334,0.04890331951696414,0.0014328926380937634,0.08060772627172796,0.026400640791131358
vol-target-trend,8,1.0,1.0,0.0749248759937241,0.05714702634349078,0.09961883239925884,0.056115718214122534
indicator-vote,3,1.0,1.0,0.12158783745615342,0.1018624800750838,0.12457769479053638,0.10107796839357408
