family,label,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,positive_fold_ratio,worst_fold_return,rolling_annualized_return,rolling_maximum_drawdown,rolling_sharpe,config_count,positive_annualized_ratio,beats_exposure_matched_beta_ratio,median_annualized_return,minimum_annualized_return,maximum_annualized_return,median_timing_value_add,pbo,deflated_sharpe_probability,p_value,holm_p_value,ci_low,ci_high
bollinger-breakout,布林带突破,0.7438732271669128,0.24019404781670195,0.20566413238804138,0.8640020772672626,0.2983144791100553,26.020426942562874,0.6725978779977698,1.0,216,"{""2023"": 0.0, ""2024"": 0.0847846159437633, ""2025"": 0.3946140831402849, ""2026"": 0.15270279489639793}",1.1678946884307007,0.3274021220022302,0.3302611367127496,28,0,0.0007107877437815988,0.45454545454545453,-0.11675683338738219,0.23136827767849866,0.20566212016256724,0.836446115711397,6,1.0,1.0,0.11752901678719185,0.08192410229130953,0.18412227145209514,0.0996553620977858,0.5142857142857142,0.5085951066038495,0.6981509245377311,1.0,-0.3774921496708793,0.23281220038391143
keltner-breakout,Keltner 突破,1.2271986022996968,0.3633782642715597,0.18899720232136263,1.2413801018475648,0.28035443253478687,13.381897294419733,0.7273310682942021,1.0,210,"{""2023"": 0.0, ""2024"": 0.20273060597935033, ""2025"": 0.39512068559670244, ""2026"": 0.3273296770454861}",1.92266477920497,0.27266893170579776,0.2749615975422427,12,0,0.00038349366381308235,0.5454545454545454,-0.0014624729028245298,0.3633782642715597,0.18899720232136263,1.2413801018475648,6,1.0,1.0,0.11257402772594316,0.06627153146088838,0.1808755029575746,0.09397612348717088,0.08571428571428572,0.5413830367698159,0.5027486256871564,1.0,-0.28932961420893377,0.3135845983436763
rsi-reversion,RSI 反转,0.014191251191508991,0.005469677793949579,0.15214028338277874,0.10749654409285855,0.13205963885907782,27.700443108480155,0.8281186825262185,1.0,356,"{""2023"": 0.004593779285189781, ""2024"": 0.003446158055840254, ""2025"": 0.04939999544302642, ""2026"": -0.04127457948932667}",0.03595154203957996,0.17188131747378144,0.17357910906298002,28,0,0.0006548716118680594,0.36363636363636365,-0.04904632062346992,0.029724479331012965,0.1286872032043327,0.2993383278469565,6,0.3333333333333333,0.3333333333333333,-0.008896445942994935,-0.02706188739781268,0.03744152445851068,-0.03439425986539418,0.5714285714285714,0.5082773562150315,0.9000499750124937,1.0,-0.839594179676397,0.12158106430218046
stochastic-reversion,随机指标反转,0.06079377421655785,0.023108429282584275,0.22792764799700171,0.215837167328173,0.2563443533873755,83.28090821197682,0.48438584740018786,1.0,282,"{""2023"": 0.004593779285189781, ""2024"": 0.0004142326793861173, ""2025"": 0.07588743709928258, ""2026"": -0.018944042165149888}",0.10138493283135294,0.5156141525998121,0.5207373271889401,84,0,0.000719177724958291,0.6363636363636364,-0.09182083525659013,0.023108429282584275,0.22792764799700171,0.215837167328173,6,0.0,0.0,-0.09358050749705787,-0.10642862981006729,-0.04962205394764485,-0.1243922782496471,0.4,0.5169224796500939,0.9070464767616192,1.0,-0.7002091424702191,0.0977195798034513
cci-reversion,CCI 反转,0.40498219642825917,0.1406775612860307,0.17943697431969152,0.9300304490310792,0.15410706318344822,18.834880937740852,0.7368396832355556,1.0,176,"{""2023"": 0.011795276704331892, ""2024"": 0.11699422563345818, ""2025"": 0.24356589710784626, ""2026"": -0.00032589706466035206}",0.7839942788791923,0.2631603167644444,0.26574500768049153,20,0,0.0008994778082643993,0.45454545454545453,-0.07480902441747539,0.1288849888386534,0.17943697431969152,0.8514431595749342,6,0.3333333333333333,0.0,-0.07037840488938779,-0.08678915911377227,0.02031961810495475,-0.09379360333001346,0.2714285714285714,0.5350253354207088,0.8170914542728636,1.0,-0.6164485776630981,0.21219742002077474
bollinger-reversion,布林带反转,0.04920584824585639,0.01876756745140451,0.1868386100947712,0.2006339892897233,0.14282337949019527,9.735506841880342,0.873740902822955,1.0,304,"{""2023"": 0.0, ""2024"": -0.034621593605923984, ""2025"": 0.08500788068199272, ""2026"": 0.001682830633463528}",0.10044801468970964,0.12625909717704495,0.12749615975422426,10,0,0.0006269249570826372,0.36363636363636365,-0.11548266270343699,-0.007300928113277094,0.1457724582262201,0.015361998229091,9,0.1111111111111111,0.1111111111111111,-0.02959520860520959,-0.09000872023039741,0.024910684088626844,-0.04214755881486876,0.6571428571428571,0.564463842884222,0.887056471764118,1.0,-0.8170508156866612,0.16626294230989197
mfi-reversion,MFI 量价反转,0.2872107009576079,0.10266863784409686,0.11949344115618588,0.8533534541593215,0.12337365384904138,10.041733611678374,0.8935065898632761,1.0,228,"{""2023"": 0.0, ""2024"": 0.026935833135679488, ""2025"": 0.077924862277434, ""2026"": 0.16283432893892136}",0.8591989388765038,0.10649341013672387,0.10752688172043011,10,0,0.0005507486359910443,0.36363636363636365,-0.06126556708759656,0.04600669381485578,0.11949344115618588,0.37617287201827293,6,0.5,0.5,0.009598484196434387,-0.11989811565117137,0.0829487941077458,-0.01023388891553767,0.32857142857142857,0.5345808233656684,0.7991004497751124,1.0,-0.7905583627709002,0.248197107217336
obv-trend,OBV 量价趋势,0.19275964349294505,0.07061517490880864,0.32613758043483043,0.3802560998966919,0.2777722563380864,77.76091387045119,0.6574853218389368,1.0,380,"{""2023"": 0.0, ""2024"": -0.21163858395547763, ""2025"": 0.24613471607628745, ""2026"": 0.21412270389712318}",0.21651958910917085,0.34251467816106324,0.3456221198156682,80,0,0.0006235787527882063,0.45454545454545453,-0.2507918749671043,0.06272918019187745,0.32613758043483043,0.35302339191409027,6,1.0,0.8333333333333334,0.04890331951696414,0.0014328926380937634,0.08060772627172796,0.026400640791131358,0.6285714285714286,0.5011914331670791,0.8930534732633684,1.0,-0.5988467414836377,0.0894811986144264
vol-target-trend,波动率目标趋势,0.5954757927201928,0.19822437326286924,0.11340448933350278,1.259808707705103,0.15270008115922182,5.632196356800572,0.6800181848072877,1.0,115,"{""2023"": 0.0, ""2024"": 0.10779785433055378, ""2025"": 0.3271835854335212, ""2026"": 0.0851722961257646}",1.7479411479022318,0.3199818151927124,0.7019969278033794,96,0,0.0002885432245284924,0.6363636363636364,-0.04008570574085535,0.20344539305551557,0.11341086449464954,1.3009052917536412,8,1.0,1.0,0.0749248759937241,0.05714702634349078,0.09961883239925884,0.056115718214122534,0.4,0.523910928428893,0.7976011994002998,1.0,-0.533027447248843,0.15939621504131185
indicator-vote,多指标趋势投票,0.8289519574435351,0.2632743077098447,0.3003051947202573,1.022968953666437,0.26178108300659436,11.774041979314582,0.5779809574545828,1.0,125,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.4320184685164936, ""2026"": 0.2771846157391027}",0.8766891560270614,0.42201904254541717,0.4254992319508449,12,1,0.0007391545445603992,0.45454545454545453,-0.02151969215636862,0.2632743077098447,0.3003051947202573,1.022968953666437,3,1.0,1.0,0.12158783745615342,0.1018624800750838,0.12457769479053638,0.10107796839357408,0.8,0.5294789274485865,0.6611694152923538,1.0,-0.47907001737695176,0.25759851468863226
