family,label,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,positive_fold_ratio,worst_fold_return,rolling_annualized_return,rolling_maximum_drawdown,rolling_sharpe,config_count,positive_annualized_ratio,beats_exposure_matched_beta_ratio,median_annualized_return,minimum_annualized_return,maximum_annualized_return,median_timing_value_add,pbo,deflated_sharpe_probability,p_value,holm_p_value,ci_low,ci_high
sma-price,价格 / SMA 趋势,0.33646886597512804,0.11881495523956431,0.3002944779713739,0.5562465849396346,0.26419853056930254,11.95516353286468,0.5639666516835989,1.0,356,"{""2023"": 0.0, ""2024"": -0.10918503903783205, ""2025"": 0.3929526607965417, ""2026"": 0.07704782108954111}",0.39566147217296005,0.43603334831640106,0.4393241167434716,12,1,0.00048464128438104303,0.36363636363636365,-0.10918503903783205,0.09851046286719356,0.30031198306955653,0.48488341566092735,5,0.8,0.8,0.06356770287377755,-0.027218132650408178,0.0937530173298986,0.037058145038553425,0.7142857142857143,0.3056936847257151,0.8315842078960519,1.0,-0.6269362829499261,0.15426738341218874
ema-price,价格 / EMA 趋势,0.5188985828403161,0.1756260586114866,0.3003414378330088,0.726394289283987,0.2742724739989729,9.929327497615864,0.49999945043253896,1.0,72,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.301024336400882, ""2026"": 0.1674636210435192}",0.5847546708128083,0.500000549567461,0.5038402457757296,11,1,0.0007728170377795068,0.36363636363636365,-0.03399263077893211,0.140224099394624,0.3417624104781869,0.6234053064472505,5,1.0,1.0,0.047936099875753424,0.04167413070765935,0.10050640808797695,0.020937307360138435,0.5142857142857142,0.5388173499793406,0.7681159420289855,1.0,-0.5269091864289571,0.18854252235779448
dual-ma,快慢均线交叉,0.14603192586741964,0.05418020736053508,0.2997475886945522,0.3244654968261833,0.3040303161851204,4.837206620374375,0.4395280634943132,1.0,121,"{""2023"": 0.0, ""2024"": 0.04405494059999948, ""2025"": 0.23411313091056352, ""2026"": -0.11055644975542445}",0.1807527713450453,0.5604719365056868,0.565284178187404,5,0,0.0006049243407684237,0.45454545454545453,-0.17003851086450184,0.08552711823258474,0.2997432473167112,0.4230299399815535,6,0.8333333333333334,0.6666666666666666,0.027862366740843747,-0.06209911621543873,0.04372190017573052,0.000399671665817114,0.8857142857142857,0.427021009750164,0.88055972013993,1.0,-0.6592945852615137,0.09477348299340375
macd-cross,MACD 交叉,1.4285642508305405,0.40983272194630405,0.24230006271177107,1.2592559365018665,0.30922934331821855,40.65175930317773,0.5265295702084748,1.0,197,"{""2023"": 0.0, ""2024"": 0.33103869688116583, ""2025"": 0.3737275303180221, ""2026"": 0.3281842139802409}",1.6914263965082916,0.4734704297915252,0.47772657450076805,41,0,0.0009948662639719357,0.6363636363636364,-0.10407859485069526,0.3259802015196229,0.25735792383740996,1.076714243518582,5,1.0,1.0,0.14700653680688358,0.12926861489512786,0.21503719958148015,0.11875792325414936,0.2714285714285714,0.547280868493107,0.33183408295852074,1.0,-0.19540013291064734,0.2889123552101502
trix,TRIX 趋势,1.2375043677985906,0.36581687501062565,0.24583813236946028,1.1798107357613223,0.30102531761315066,37.792553074281116,0.5463922802051482,1.0,219,"{""2023"": 0.0, ""2024"": 0.21325421325095317, ""2025"": 0.19750112604525927, ""2026"": 0.5400547236408568}",1.4880395953417598,0.45360771979485187,0.4577572964669739,39,0,0.0008350368679254399,0.6363636363636364,-0.14820225978465873,0.28074444922255615,0.24584276295195062,0.9340670878279544,6,0.8333333333333334,0.6666666666666666,0.10906221288177786,-0.016342610470346908,0.1953289119661601,0.08123119067319284,0.32857142857142857,0.4799068120015901,0.4427786106946527,1.0,-0.2626266646051134,0.2987232522497418
adx-dmi,ADX + DMI 趋势强度,1.1096784479597641,0.33506702949604117,0.18899037644016803,1.111558451605399,0.2990952573480516,20.751082657779587,0.605483355126962,1.0,215,"{""2023"": 0.0, ""2024"": 0.25995107099289005, ""2025"": 0.2972016406119815, ""2026"": 0.29078852806559374}",1.7729317005838081,0.39451664487303795,0.3978494623655914,20,0,0.0008353618978500223,0.6363636363636364,-0.02817411847051099,0.363702693180048,0.18899037644016803,1.1815138280491493,9,0.8888888888888888,0.8888888888888888,0.18360157039939073,-0.0070289071198800235,0.2330814763948923,0.16509560386207212,0.6571428571428571,0.31451709939234107,0.52023988005997,1.0,-0.281896515193396,0.27216812430260756
aroon,Aroon 趋势时点,0.652751149263264,0.21469545611751362,0.262090666242506,0.8369437539570271,0.27682462097384847,31.65516469824267,0.6711630651731646,1.0,219,"{""2023"": 0.0, ""2024"": -0.046453123452182554, ""2025"": 0.3448613779173548, ""2026"": 0.28880703591231804}",0.8191648302303953,0.32883693482683546,0.3317972350230415,34,0,0.0006249533955366737,0.5454545454545454,-0.16815995247844884,0.04264619610519782,0.2787138542272295,0.2855854700356104,9,1.0,1.0,0.12385061534604991,0.07255241019074021,0.21312361591408435,0.1054084332314078,0.4142857142857143,0.5138974405722234,0.7126436781609196,1.0,-0.45921509787121134,0.21709338414541457
supertrend,Supertrend ATR 趋势,0.7515851417168196,0.24231420923792313,0.2820383299456196,0.857578071221443,0.3051938566717911,25.425288981331825,0.5827904848381644,1.0,219,"{""2023"": 0.0, ""2024"": 0.03361368161854483, ""2025"": 0.26530176818352835, ""2026"": 0.3393031437872893}",0.8591534678447579,0.4172095151618356,0.42089093701996927,28,0,0.0007550730229401952,0.6363636363636364,-0.20167747014911286,0.26974165691310104,0.29300927926549347,0.9196053236869465,6,1.0,1.0,0.07672236441453595,0.02985931263680719,0.15660643547212416,0.04999475438954082,0.38571428571428573,0.5445112642474226,0.7231384307846077,1.0,-0.3341266789399124,0.18618444814328064
tsmom-monthly,月频时间序列动量,0.2942609788895503,0.10500259963829706,0.29992407602807414,0.5091277019960833,0.26444264195176437,3.073489561463712,0.5946135012543966,1.0,94,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.33916958735560887, ""2026"": -0.03353466871566191}",0.3500972680448247,0.40538649874560345,0.40860215053763443,3,1,0.0004327783549385808,0.36363636363636365,-0.1646073011686663,0.10500259963829706,0.29992407602807414,0.5091277019960833,4,0.25,0.0,-0.05385573788040493,-0.05990374646881125,0.013338532207843867,-0.061163295621723124,0.24285714285714285,0.547268790295157,0.8505747126436781,1.0,-0.6335251517505988,0.15298338009364434
donchian,Donchian 突破,0.42213765957074023,0.14604907341460627,0.20918962559394205,0.6112948681267936,0.28929441060706385,14.13909563479486,0.6528082707204603,1.0,220,"{""2023"": 0.0, ""2024"": 0.15454674114504607, ""2025"": 0.401946564014543, ""2026"": -0.12138491226052528}",0.6981659487172758,0.3471917292795398,0.35023041474654376,14,0,0.00044826218909192083,0.36363636363636365,-0.1696908404860047,0.27831559179603294,0.18899575967146875,0.9908446283853914,5,0.4,0.4,-0.011936253082976411,-0.03159832090481085,0.12791039190776554,-0.02438560092132691,0.1,0.6211188504167199,0.8495752123938031,1.0,-0.47959499273152795,0.1433252958367033
