family,config,canonical,params
rsi-reversion,rsi-reversion__entry-15-exit-70-period-2,False,"{""entry"": 15, ""exit"": 70, ""period"": 2}"
rsi-reversion,rsi-reversion__entry-20-exit-60-period-5,False,"{""entry"": 20, ""exit"": 60, ""period"": 5}"
rsi-reversion,rsi-reversion__entry-25-exit-60-period-5,True,"{""entry"": 25, ""exit"": 60, ""period"": 5}"
rsi-reversion,rsi-reversion__entry-30-exit-50-period-14,False,"{""entry"": 30, ""exit"": 50, ""period"": 14}"
rsi-reversion,rsi-reversion__entry-35-exit-55-period-14,False,"{""entry"": 35, ""exit"": 55, ""period"": 14}"
stochastic-reversion,stochastic-reversion__entry-20-exit-80-period-5,False,"{""entry"": 20, ""exit"": 80, ""period"": 5}"
stochastic-reversion,stochastic-reversion__entry-30-exit-70-period-5,False,"{""entry"": 30, ""exit"": 70, ""period"": 5}"
stochastic-reversion,stochastic-reversion__entry-20-exit-80-period-9,False,"{""entry"": 20, ""exit"": 80, ""period"": 9}"
stochastic-reversion,stochastic-reversion__entry-30-exit-70-period-9,False,"{""entry"": 30, ""exit"": 70, ""period"": 9}"
stochastic-reversion,stochastic-reversion__entry-20-exit-80-period-14,True,"{""entry"": 20, ""exit"": 80, ""period"": 14}"
stochastic-reversion,stochastic-reversion__entry-30-exit-70-period-14,False,"{""entry"": 30, ""exit"": 70, ""period"": 14}"
cci-reversion,cci-reversion__entry-m100-exit-0-period-10,False,"{""entry"": -100, ""exit"": 0, ""period"": 10}"
cci-reversion,cci-reversion__entry-m150-exit-0-period-10,False,"{""entry"": -150, ""exit"": 0, ""period"": 10}"
cci-reversion,cci-reversion__entry-m100-exit-0-period-20,True,"{""entry"": -100, ""exit"": 0, ""period"": 20}"
cci-reversion,cci-reversion__entry-m150-exit-0-period-20,False,"{""entry"": -150, ""exit"": 0, ""period"": 20}"
cci-reversion,cci-reversion__entry-m100-exit-0-period-40,False,"{""entry"": -100, ""exit"": 0, ""period"": 40}"
cci-reversion,cci-reversion__entry-m150-exit-0-period-40,False,"{""entry"": -150, ""exit"": 0, ""period"": 40}"
bollinger-reversion,bollinger-reversion__period-10-width-1p5,False,"{""period"": 10, ""width"": 1.5}"
bollinger-reversion,bollinger-reversion__period-10-width-2,False,"{""period"": 10, ""width"": 2.0}"
bollinger-reversion,bollinger-reversion__period-10-width-2p5,False,"{""period"": 10, ""width"": 2.5}"
bollinger-reversion,bollinger-reversion__period-20-width-1p5,False,"{""period"": 20, ""width"": 1.5}"
bollinger-reversion,bollinger-reversion__period-20-width-2,True,"{""period"": 20, ""width"": 2.0}"
bollinger-reversion,bollinger-reversion__period-20-width-2p5,False,"{""period"": 20, ""width"": 2.5}"
bollinger-reversion,bollinger-reversion__period-30-width-1p5,False,"{""period"": 30, ""width"": 1.5}"
bollinger-reversion,bollinger-reversion__period-30-width-2,False,"{""period"": 30, ""width"": 2.0}"
bollinger-reversion,bollinger-reversion__period-30-width-2p5,False,"{""period"": 30, ""width"": 2.5}"
mfi-reversion,mfi-reversion__entry-20-exit-60-period-7,False,"{""entry"": 20, ""exit"": 60, ""period"": 7}"
mfi-reversion,mfi-reversion__entry-30-exit-70-period-7,False,"{""entry"": 30, ""exit"": 70, ""period"": 7}"
mfi-reversion,mfi-reversion__entry-20-exit-60-period-14,True,"{""entry"": 20, ""exit"": 60, ""period"": 14}"
mfi-reversion,mfi-reversion__entry-30-exit-70-period-14,False,"{""entry"": 30, ""exit"": 70, ""period"": 14}"
