order_id,trade_date,symbol,side,execution,requested_shares,filled_shares,unfilled_shares,price,gross_value,commission,tax,reason,family,config
1,2021-11-29,SH588000,buy,open,657800,657800,0,1.5053009999999998,990186.9977999999,297.05609933999995,0.0,filled,buy-hold,
1,2021-11-29,SH588000,buy,open,657800,657800,0,1.5053009999999998,990186.9977999999,297.05609933999995,0.0,filled,sma-price,sma-price__period-200
2,2021-12-08,SH588000,sell,open,657800,657800,0,1.4517096,954934.57488,286.48037246399997,0.0,filled,sma-price,sma-price__period-200
3,2021-12-09,SH588000,buy,open,649700,649700,0,1.4692938,954600.18186,286.380054558,0.0,filled,sma-price,sma-price__period-200
4,2021-12-20,SH588000,sell,open,649700,649700,0,1.4437112,937979.1666400001,281.393749992,0.0,filled,sma-price,sma-price__period-200
5,2023-01-30,SH588000,buy,open,859300,859300,0,1.0912182,937683.7992599999,281.30513977799995,0.0,filled,sma-price,sma-price__period-200
6,2023-02-01,SH588000,sell,open,859300,859300,0,1.0577884000000002,908957.5721200001,272.687271636,0.0,filled,sma-price,sma-price__period-200
7,2023-02-02,SH588000,buy,open,845900,845900,0,1.0742148,908678.29932,272.60348979599996,0.0,filled,sma-price,sma-price__period-200
8,2023-02-07,SH588000,sell,open,845900,845900,0,1.0667866,902394.7849399999,270.71843548199996,0.0,filled,sma-price,sma-price__period-200
9,2023-02-10,SH588000,buy,open,834900,834900,0,1.080216,901872.3384,270.56170152,0.0,filled,sma-price,sma-price__period-200
10,2023-02-13,SH588000,sell,open,834900,834900,0,1.0617876000000002,886486.4672400001,265.945940172,0.0,filled,sma-price,sma-price__period-200
11,2023-03-24,SH588000,buy,open,805400,805400,0,1.10022,886117.188,265.83515639999996,0.0,filled,sma-price,sma-price__period-200
12,2023-05-11,SH588000,sell,open,805400,805400,0,1.0767846,867242.3168400001,260.172695052,0.0,filled,sma-price,sma-price__period-200
13,2023-05-19,SH588000,buy,open,801800,801800,0,1.0812161999999998,866919.1491599999,260.075744748,0.0,filled,sma-price,sma-price__period-200
14,2023-05-24,SH588000,sell,open,801800,801800,0,1.054789,845729.8202,253.71894605999998,0.0,filled,sma-price,sma-price__period-200
15,2023-05-29,SH588000,buy,open,778300,778300,0,1.0862172,845402.8467600001,253.620854028,0.0,filled,sma-price,sma-price__period-200
16,2023-05-30,SH588000,sell,open,778300,778300,0,1.0697860000000001,832614.4438000001,249.78433314000003,0.0,filled,sma-price,sma-price__period-200
17,2023-05-31,SH588000,buy,open,765500,765500,0,1.0872174,832264.9197,249.67947590999998,0.0,filled,sma-price,sma-price__period-200
18,2023-06-07,SH588000,sell,open,765500,765500,0,1.0677864000000001,817390.4892000001,245.21714676,0.0,filled,sma-price,sma-price__period-200
19,2023-06-12,SH588000,buy,open,759200,759200,0,1.0762152,817062.57984,245.118773952,0.0,filled,sma-price,sma-price__period-200
20,2023-06-27,SH588000,sell,open,759200,759200,0,1.0567886,802313.90512,240.69417153599997,0.0,filled,sma-price,sma-price__period-200
21,2024-09-30,SH588000,buy,open,943300,943300,0,0.85017,801965.361,240.58960829999998,0.0,filled,sma-price,sma-price__period-200
22,2025-06-23,SH588000,sell,open,943300,943300,0,1.0017996,944997.56268,283.49926880399994,0.0,filled,sma-price,sma-price__period-200
23,2025-06-24,SH588000,buy,open,929900,929900,0,1.0142028,943107.1837200001,282.932155116,0.0,filled,sma-price,sma-price__period-200
24,2026-03-24,SH588000,sell,open,929900,929900,0,1.344731,1250465.3569,375.13960706999995,0.0,filled,sma-price,sma-price__period-200
25,2026-03-25,SH588000,buy,open,914500,914500,0,1.3632726,1246712.7926999999,374.0138378099999,0.0,filled,sma-price,sma-price__period-200
26,2026-04-01,SH588000,sell,open,914500,914500,0,1.3537292,1237985.3534000001,371.39560602,0.0,filled,sma-price,sma-price__period-200
27,2026-04-02,SH588000,buy,open,907600,907600,0,1.3632726,1237306.2117599999,371.19186352799994,0.0,filled,sma-price,sma-price__period-200
28,2026-04-03,SH588000,sell,open,907600,907600,0,1.334733,1211403.6708,363.42110124,0.0,filled,sma-price,sma-price__period-200
29,2026-04-09,SH588000,buy,open,859900,859900,0,1.4082815999999998,1210981.34784,363.29440435199996,0.0,filled,sma-price,sma-price__period-200
1,2021-11-29,SH588000,buy,open,657800,657800,0,1.5053009999999998,990186.9977999999,297.05609933999995,0.0,filled,ema-price,ema-price__period-200
2,2021-12-07,SH588000,sell,open,657800,657800,0,1.4677064,965457.26992,289.63718097599997,0.0,filled,ema-price,ema-price__period-200
3,2021-12-10,SH588000,buy,open,650600,650600,0,1.4832966,965032.7679600001,289.509830388,0.0,filled,ema-price,ema-price__period-200
4,2021-12-16,SH588000,sell,open,650600,650600,0,1.4767046000000001,960744.0127600001,288.223203828,0.0,filled,ema-price,ema-price__period-200
5,2021-12-17,SH588000,buy,open,651300,651300,0,1.4742948,960208.2032400001,288.062460972,0.0,filled,ema-price,ema-price__period-200
6,2021-12-20,SH588000,sell,open,651300,651300,0,1.4437112,940289.10456,282.08673136799996,0.0,filled,ema-price,ema-price__period-200
7,2022-08-12,SH588000,buy,open,767800,767800,0,1.2242448,939975.15744,281.992547232,0.0,filled,ema-price,ema-price__period-200
8,2022-08-15,SH588000,sell,open,767800,767800,0,1.1967606000000002,918872.7886800001,275.66183660400003,0.0,filled,ema-price,ema-price__period-200
9,2023-03-24,SH588000,buy,open,834900,834900,0,1.10022,918573.678,275.57210339999995,0.0,filled,ema-price,ema-price__period-200
10,2023-03-29,SH588000,sell,open,834900,834900,0,1.0817836,903181.1276400001,270.954338292,0.0,filled,ema-price,ema-price__period-200
11,2023-03-30,SH588000,buy,open,816800,816800,0,1.105221,902744.5128,270.82335384,0.0,filled,ema-price,ema-price__period-200
12,2023-05-08,SH588000,sell,open,816800,816800,0,1.0957808,895033.75744,268.51012723199995,0.0,filled,ema-price,ema-price__period-200
13,2023-05-09,SH588000,buy,open,811600,811600,0,1.1022204,894562.07664,268.368622992,0.0,filled,ema-price,ema-price__period-200
14,2023-05-10,SH588000,sell,open,811600,811600,0,1.0727854,870672.6306399999,261.2017891919999,0.0,filled,ema-price,ema-price__period-200
15,2023-06-01,SH588000,buy,open,796200,796200,0,1.0932186,870420.64932,261.126194796,0.0,filled,ema-price,ema-price__period-200
16,2023-06-06,SH588000,sell,open,796200,796200,0,1.0927814,870072.55068,261.02176520399996,0.0,filled,ema-price,ema-price__period-200
17,2023-06-19,SH588000,buy,open,791800,791800,0,1.0982196,869570.27928,260.871083784,0.0,filled,ema-price,ema-price__period-200
18,2023-06-26,SH588000,sell,open,791800,791800,0,1.0587882,838348.49676,251.50454902799999,0.0,filled,ema-price,ema-price__period-200
20,2025-04-10,SH588000,buy,open,798000,798000,0,1.05021,838067.5800000001,251.420274,0.0,filled,ema-price,ema-price__period-200
21,2025-06-23,SH588000,sell,open,798000,798000,0,1.0017996,799436.0808,239.83082423999997,0.0,filled,ema-price,ema-price__period-200
22,2025-06-24,SH588000,buy,open,788200,788200,0,1.0142028,799394.64696,239.818394088,0.0,filled,ema-price,ema-price__period-200
23,2026-03-24,SH588000,sell,open,788200,788200,0,1.344731,1059916.9741999998,317.97509225999994,0.0,filled,ema-price,ema-price__period-200
24,2026-03-26,SH588000,buy,open,764000,764000,0,1.3832766,1056823.3224,317.04699672,0.0,filled,ema-price,ema-price__period-200
25,2026-03-27,SH588000,sell,open,764000,764000,0,1.3337332000000002,1018972.1648000001,305.69164944,0.0,filled,ema-price,ema-price__period-200
26,2026-03-30,SH588000,buy,open,756100,756100,0,1.3472693999999998,1018670.3933399998,305.6011180019999,0.0,filled,ema-price,ema-price__period-200
27,2026-03-31,SH588000,sell,open,756100,756100,0,1.3557288,1025066.5456800001,307.519963704,0.0,filled,ema-price,ema-price__period-200
28,2026-04-02,SH588000,buy,open,751400,751400,0,1.3632726,1024363.03164,307.30890949199994,0.0,filled,ema-price,ema-price__period-200
29,2026-04-03,SH588000,sell,open,751400,751400,0,1.334733,1002918.3761999999,300.87551285999996,0.0,filled,ema-price,ema-price__period-200
30,2026-04-09,SH588000,buy,open,711900,711900,0,1.4082815999999998,1002555.6710399998,300.7667013119999,0.0,filled,ema-price,ema-price__period-200
31,2026-08-04,SH588000,sell,open,711900,711900,0,1.6486702,1173688.31538,352.106494614,0.0,filled,ema-price,ema-price__period-200
32,2026-08-05,SH588000,buy,open,686500,686500,0,1.7063412,1171403.2338,351.42097014,0.0,filled,ema-price,ema-price__period-200
1,2021-12-13,SH588000,buy,open,661300,661300,0,1.4972994000000002,990164.0932200002,297.04922796600005,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
2,2022-01-11,SH588000,sell,open,661300,661300,0,1.3717256000000002,907122.1392800001,272.136641784,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
3,2023-04-14,SH588000,buy,open,789500,789500,0,1.1492298,907316.9271000001,272.19507813,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
4,2023-07-27,SH588000,sell,open,789500,789500,0,1.0057988,794078.1526,238.22344578,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
5,2024-10-25,SH588000,buy,open,768400,768400,0,1.0342068,794684.50512,238.40535153599998,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
6,2025-07-18,SH588000,sell,open,768400,768400,0,1.0597880000000002,814341.0992000002,244.30232976000002,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
7,2025-08-18,SH588000,buy,open,694700,694700,0,1.1712342,813656.39874,244.09691962199997,0.0,filled,dual-ma,dual-ma__fast-50-slow-200
1,2021-11-29,SH588000,buy,open,657800,657800,0,1.5053009999999998,990186.9977999999,297.05609933999995,0.0,filled,macd-cross,macd-cross__fast-12-signal-9-slow-26
