family,config,canonical,params,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,exposure_matched_beta_annualized,timing_value_add
sma-price,sma-price__period-50,False,"{""period"": 50}",0.48956869137456094,0.0908339908633693,0.3748425572713272,0.45725142494216203,0.26338274101713033,72.22747274551139,0.5759501302186774,1.0,734,"{""2021"": -0.053024748416354406, ""2022"": -0.02588025685879558, ""2023"": -0.09735710035616985, ""2024"": 0.0746786490520086, ""2025"": 0.3032481232504174, ""2026"": 0.2772851456379317}",0.24232571542729,0.42404986978132264,0.4277056277056277,78,0,0.0018628507960727775,0.027068417030863712,0.06376557383250558
sma-price,sma-price__period-100,False,"{""period"": 100}",0.32639709396616,0.06356770287377755,0.2890527861619354,0.3617444549599082,0.2655945736159187,50.4983270230067,0.5895700824976894,1.0,734,"{""2021"": -0.017793139808696012, ""2022"": -0.14174727786846097, ""2023"": -0.1439271600597738, ""2024"": 0.2099011685973564, ""2025"": 0.21985086070895066, ""2026"": 0.24534034244330383}",0.21991728126144114,0.4104299175023106,0.41385281385281386,52,0,0.001941001479916068,0.02650955783522413,0.037058145038553425
sma-price,sma-price__period-150,False,"{""period"": 150}",0.2868946205283216,0.05657489601665722,0.31209378627307816,0.3363821626444716,0.26868111835503466,35.99431466865791,0.5886034760049527,1.0,689,"{""2021"": -0.03593719503937576, ""2022"": -0.11327859189164824, ""2023"": -0.08209950069340544, ""2024"": 0.2266196034838266, ""2025"": 0.2323595821067148, ""2026"": 0.08494447045926812}",0.18127530410732012,0.4113965239950473,0.4147186147186147,37,0,0.002073531238198871,0.02654990827412651,0.030024987742530707
sma-price,sma-price__period-200,True,"{""period"": 200}",0.5079257606354368,0.0937530173298986,0.30030463679589703,0.4627554516473935,0.27197254091201195,27.067637580345437,0.5463883467595622,1.0,689,"{""2021"": -0.053024748416354406, ""2022"": 0.0, ""2023"": -0.1447018388567315, ""2024"": 0.2266107938489521, ""2025"": 0.3354278049440005, ""2026"": 0.13657106762964277}",0.31219303947550475,0.45361165324043784,0.45714285714285713,29,0,0.0018628507960727775,0.028209513075723613,0.06554350425417499
sma-price,sma-price__period-250,False,"{""period"": 250}",-0.11880730283816798,-0.027218132650408178,0.17572241101542774,-0.448688101218854,0.05777430939295251,14.38348167187762,0.9536792614755942,1.0,816,"{""2021"": -0.053024748416354406, ""2022"": 0.0, ""2023"": -0.06946597000481736, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",-0.15489277943049923,0.04632073852440574,0.046753246753246755,14,1,0.0018628507960727775,0.003914459377800661,-0.03113259202820884
ema-price,ema-price__period-50,False,"{""period"": 50}",0.23937055288635567,0.047936099875753424,0.37712241249014045,0.30456213941002935,0.2662809728355948,89.67892171726562,0.5776750945703781,1.0,905,"{""2021"": -0.04075057527103587, ""2022"": -0.10267716769410928, ""2023"": -0.11044551732984675, ""2024"": 0.16556080786262917, ""2025"": 0.23050940935617104, ""2026"": 0.12856994406176936}",0.1271101856801117,0.42232490542962187,0.42597402597402595,94,0,0.0035291988416988416,0.02699879251561499,0.020937307360138435
ema-price,ema-price__period-100,False,"{""period"": 100}",0.2172615295685194,0.043828652546340274,0.28397745232208926,0.2915454351455158,0.2642168743546425,65.95299140299535,0.5877546065740759,1.0,909,"{""2021"": -0.04075057527103587, ""2022"": -0.12732701161621995, ""2023"": -0.11844140391050817, ""2024"": 0.20991888800597103, ""2025"": 0.1684550733278447, ""2026"": 0.16675952780919356}",0.154338494792289,0.41224539342592414,0.4155844155844156,68,0,0.0035291988416988416,0.02658525714529203,0.017243395401048245
ema-price,ema-price__period-150,False,"{""period"": 150}",0.4240180709223136,0.08017542147262913,0.3107477087296817,0.4189616413870436,0.26794788890434823,36.939908990508215,0.573972340469425,1.0,689,"{""2021"": -0.030182909394532054, ""2022"": -0.07104342090438232, ""2023"": -0.07128332690188488, ""2024"": 0.2266210660832717, ""2025"": 0.2176422951011847, ""2026"": 0.13950665535184736}",0.25800808572453043,0.426027659530575,0.42943722943722945,37,0,0.003568137943137943,0.02714783397883269,0.053027587493796435
ema-price,ema-price__period-200,True,"{""period"": 200}",0.20578842776066075,0.04167413070765935,0.3016226282464618,0.2983387857785228,0.21129389385047956,30.83438850004508,0.6770429239717577,1.0,905,"{""2021"": -0.05067215726687202, ""2022"": -0.022816167575446133, ""2023"": -0.08754490033265938, ""2024"": 0.0, ""2025"": 0.3285728217825956, ""2026"": 0.0722146909536654}",0.138166459691501,0.3229570760282423,0.3255411255411255,31,1,0.003568137943137943,0.022423742662365465,0.019250388045293887
ema-price,ema-price__period-250,False,"{""period"": 250}",0.5510744312646623,0.10050640808797695,0.3003284547541487,0.5547702416245042,0.2134951615870063,12.751942414258568,0.6811988324255471,1.0,884,"{""2021"": -0.05164197578272012, ""2022"": 0.0, ""2023"": -0.037594991889462914, ""2024"": 0.0, ""2025"": 0.45571010422695357, ""2026"": 0.16742111689801265}",0.3346549635806314,0.3188011675744528,0.3212121212121212,13,1,0.0018628507960727775,0.02220829465912999,0.07829811342884696
dual-ma,dual-ma__fast-10-slow-50,False,"{""fast"": 10, ""slow"": 50}",0.004343499343488766,0.0009460676566046544,0.4682319982097686,0.1199735063559862,0.23419448676218416,27.36538496207356,0.5778786013326422,1.0,931,"{""2021"": -0.049642853320631786, ""2022"": -0.05522546467870426, ""2023"": -0.0938759790742767, ""2024"": -0.19548916457907717, ""2025"": 0.25114274916362156, ""2026"": 0.22642457491657142}",0.00202051047391429,0.42212139866735776,0.42597402597402595,28,0,0.003455236616473463,0.02699055630322067,-0.026044488646616015
