family,config,canonical,params,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation,exposure_matched_beta_annualized,timing_value_add
dual-ma,dual-ma__fast-20-slow-60,False,"{""fast"": 20, ""slow"": 60}",-0.254605818501208,-0.06209911621543873,0.4027957717615638,-0.14950982013628297,0.23891959998064752,19.563418397413013,0.5736695679616279,1.0,983,"{""2021"": -0.06344974724945962, ""2022"": -0.1363356964887995, ""2023"": -0.012116947422381674, ""2024"": -0.10966631736238852, ""2025"": 0.17611051999510474, ""2026"": -0.10915228654762066}",-0.15417022860954582,0.426330432038372,0.4303030303030303,20,0,0.0023763815562734235,0.027159952745001936,-0.08925906896044067
dual-ma,dual-ma__fast-20-slow-100,False,"{""fast"": 20, ""slow"": 100}",0.12812250813053216,0.0266518283917756,0.29992252240685446,0.2288895264432781,0.24113102909122527,11.648075035995069,0.5871439209185609,1.0,734,"{""2021"": 0.0, ""2022"": -0.08611912411030742, ""2023"": -0.04220191353819169, ""2024"": 0.04405187905086816, ""2025"": 0.28710604657075045, ""2026"": -0.04091676367026309}",0.08886237744967197,0.412856079081439,0.41645021645021646,12,0,0.0008357836575300732,0.026610637349494093,4.1191042281507606e-05
dual-ma,dual-ma__fast-50-slow-100,False,"{""fast"": 50, ""slow"": 100}",0.17771730261331453,0.03633428629015367,0.2997397072751611,0.2677595784815685,0.24121455429595637,11.558012195317467,0.576078201815366,1.0,734,"{""2021"": 0.0, ""2022"": -0.14664576479372227, ""2023"": -0.019519301905348563, ""2024"": 0.12672598521872325, ""2025"": 0.23412729001430344, ""2026"": 0.012265400022085649}",0.12121946278141518,0.42392179818463405,0.4277056277056277,11,0,0.001230653914943732,0.027063259207941837,0.009271027082211836
dual-ma,dual-ma__fast-50-slow-200,True,"{""fast"": 50, ""slow"": 200}",0.21669105790542198,0.04372190017573052,0.3005870858538493,0.2984926032657039,0.23753609757149213,6.594672416249001,0.5535975716258312,1.0,900,"{""2021"": -0.030253542447966186, ""2022"": -0.055022214256369884, ""2023"": -0.12412764707800472, ""2024"": 0.010035748117087628, ""2025"": 0.2240155122638685, ""2026"": 0.2261286215186189}",0.14545501863971919,0.4464024283741689,0.45021645021645024,7,0,0.0015961370249724363,0.02794031620884252,0.015781583966888002
dual-ma,dual-ma__fast-100-slow-200,False,"{""fast"": 100, ""slow"": 200}",0.1403674824949681,0.029072905089911893,0.30037381246940154,0.23932233209712803,0.23201649484709194,6.7930193976985915,0.5435264472958317,1.0,932,"{""2021"": -0.03535845389933945, ""2022"": -0.07001519060755057, ""2023"": -0.06570407981610593, ""2024"": -0.008947832871988526, ""2025"": 0.11990113910071454, ""2026"": 0.2258641749730832}",0.09678908041583516,0.4564735527041683,0.46060606060606063,7,0,0.0018628507960727775,0.028314752800559173,0.0007581522893527204
macd-cross,macd-cross__fast-8-signal-5-slow-21,False,"{""fast"": 8, ""signal"": 5, ""slow"": 21}",0.7457716374628813,0.12926861489512786,0.2602098725239881,0.6115783525713042,0.2468461501861594,125.17451464166001,0.5359192931860436,1.0,359,"{""2021"": 0.016330205679210286, ""2022"": -0.09101611670995202, ""2023"": 0.07030661697881091, ""2024"": 0.10905850191224453, ""2025"": 0.21161047573805747, ""2026"": 0.3139254714193618}",0.4967859737266922,0.46408070681395636,0.4683982683982684,127,0,0.0036975693225693228,0.028589995916114663,0.1006786189790132
macd-cross,macd-cross__fast-8-signal-9-slow-21,False,"{""fast"": 8, ""signal"": 9, ""slow"": 21}",0.8750391616152082,0.14700653680688358,0.284914001236346,0.675937889371,0.2461460100113734,93.39774946266641,0.5453279744131978,1.0,360,"{""2021"": -0.0009899889999998024, ""2022"": -0.047134881200583956, ""2023"": -0.049583755516363515, ""2024"": 0.14251491267407457, ""2025"": 0.2507314003776857, ""2026"": 0.45033822051552463}",0.5159681032485889,0.45467202558680225,0.4588744588744589,97,0,0.0019941993967062797,0.028248613552734225,0.11875792325414936
macd-cross,macd-cross__fast-12-signal-9-slow-26,True,"{""fast"": 12, ""signal"": 9, ""slow"": 26}",1.4417557351355814,0.21503719958148015,0.2735722063109969,0.8894566168742514,0.2539716860836808,75.36003727271353,0.5427008037645465,1.0,360,"{""2021"": -0.015454354068295761, ""2022"": 0.10471593720536387, ""2023"": -0.07559220360027186, ""2024"": 0.3310253406325985, ""2025"": 0.37374361146440993, ""2026"": 0.32818977312241593}",0.7860345262450597,0.45729919623545345,0.4614718614718615,77,0,0.002334527231600949,0.028344942207451096,0.18669225737402906
macd-cross,macd-cross__fast-16-signal-9-slow-34,False,"{""fast"": 16, ""signal"": 9, ""slow"": 34}",1.033458627826568,0.1674851012966947,0.32737571726669645,0.7231435465978364,0.25883020343918045,67.57786788279111,0.5435378815928883,1.0,351,"{""2021"": -0.005592286976275895, ""2022"": 0.10549770980933504, ""2023"": -0.15248614459808796, ""2024"": 0.25234400052990313, ""2025"": 0.31691942554449337, ""2026"": 0.3233763191676091}",0.5115990357960882,0.4564621184071117,0.46060606060606063,69,0,0.0018628507960727775,0.02831433416905993,0.13917076712763476
macd-cross,macd-cross__fast-16-signal-12-slow-34,False,"{""fast"": 16, ""signal"": 12, ""slow"": 34}",0.7766829194005436,0.1336013325267258,0.3354166368423097,0.6109290490205795,0.2576499095399429,63.55214901355757,0.5512641938352967,1.0,351,"{""2021"": -0.02531642116031596, ""2022"": 0.1324770903016359, ""2023"": -0.1448342442050955, ""2024"": 0.21528758190666242, ""2025"": 0.2498486557915549, ""2026"": 0.23916763949557907}",0.3983145671737688,0.4487358061647033,0.45281385281385284,65,0,0.0019511445183900001,0.028028087456355433,0.10557324507037036
trix,trix__period-9-signal-5,False,"{""period"": 9, ""signal"": 5}",0.5306925585281728,0.09733490450392246,0.30971259624738345,0.4987721477758284,0.24357728814050592,86.69632975345579,0.5547933799756415,1.0,360,"{""2021"": -0.0009899889999998024, ""2022"": -0.10960586484073542, ""2023"": -0.028373693438399128, ""2024"": 0.04903634927513778, ""2025"": 0.1999783118456815, ""2026"": 0.40693049031129114}",0.31427492999405177,0.4452066200243585,0.44935064935064933,89,0,0.0022439694154293205,0.027895097322353735,0.06943980718156872
trix,trix__period-9-signal-9,False,"{""period"": 9, ""signal"": 9}",1.2654302424207966,0.1953289119661601,0.2667427746066636,0.8412435179947197,0.24702570885173852,70.24037255043156,0.5573430387433076,1.0,311,"{""2021"": -0.0009899889999998024, ""2022"": 0.004740514791128803, ""2023"": 0.008703231652001264, ""2024"": 0.21325421914105558, ""2025"": 0.19748726219065893, ""2026"": 0.5400712504476828}",0.7322744252555304,0.4426569612566924,0.44675324675324674,73,0,0.0023688193458129996,0.027798144956957316,0.16753076700920277
trix,trix__period-15-signal-5,False,"{""period"": 15, ""signal"": 5}",0.9136306636656515,0.1521162904157769,0.3178956032114657,0.672569029756135,0.2584803383594237,54.42129245586629,0.5512848307224655,1.0,351,"{""2021"": -0.02531642116031596, ""2022"": 0.12326254623754984, ""2023"": -0.0960808212625881, ""2024"": 0.19085932632327296, ""2025"": 0.21169466971570117, ""2026"": 0.34007755524181027}",0.47851020548588213,0.4487151692775344,0.45281385281385284,57,0,0.0018628507960727775,0.02802731387972024,0.12408897653605666
trix,trix__period-15-signal-9,True,"{""period"": 15, ""signal"": 9}",0.68649587649751,0.12078952125963327,0.3497355199560461,0.5681449316254348,0.2565496111028481,49.31728306329239,0.5581594086530421,1.0,351,"{""2021"": -0.03583595939180395, ""2022"": 0.020386206833512555, ""2023"": -0.19003783278146802, ""2024"": 0.22428059976689418, ""2025"": 0.34889478102922755, ""2026"": 0.281580818129618}",0.34537390218418135,0.4418405913469579,0.4458874458874459,51,0,0.0018628507960727775,0.027766947094816308,0.09302257416481696
trix,trix__period-30-signal-5,False,"{""period"": 30, ""signal"": 5}",0.11569016525038855,0.024172593630539696,0.3445924806447166,0.21859649875669,0.20392887494840342,31.76760090379049,0.5779130689102588,1.0,762,"{""2021"": -0.049642853320631786, ""2022"": 0.03954273522765206, ""2023"": -0.04510618461065019, ""2024"": -0.2183045774883019, ""2025"": 0.4242090664809912, ""2026"": 0.06230204285562868}",0.07014834910301551,0.4220869310897412,0.42597402597402595,32,1,0.003455236616473463,0.026989160888837294,-0.0028165672582975976
trix,trix__period-30-signal-9,False,"{""period"": 30, ""signal"": 9}",-0.07274108018898517,-0.016342610470346908,0.42098712640108304,0.018046254001406904,0.20095005447880962,31.69655860440029,0.573654758928258,1.0,909,"{""2021"": -0.0614773338310558, ""2022"": -0.022857552029754036, ""2023"": -0.06768096274254765, ""2024"": -0.18757428348475047, ""2025"": 0.3079160862866297, ""2026"": 0.020634580047120155}",-0.03881973924014239,0.42634524107174204,0.4303030303030303,32,1,0.0022828475139068725,0.02716054522623379,-0.0435031556965807
adx-dmi,adx-dmi__period-10-threshold-20,False,"{""period"": 10, ""threshold"": 20}",1.5286161942201497,0.22433912182230653,0.19022579299154507,0.9032473316407232,0.2603091402650279,66.16321249316981,0.6206352120755979,1.0,350,"{""2021"": -0.015454354068295761, ""2022"": -0.029675090613322186, ""2023"": -0.012600779239179016, ""2024"": 0.33956990066534676, ""2025"": 0.39511262065950725, ""2026"": 0.4343741519216462}",1.1793307221606781,0.37936478792440215,0.3826839826839827,70,0,0.002073531238198871,0.02515682055741353,0.199182301264893
adx-dmi,adx-dmi__period-10-threshold-25,False,"{""period"": 10, ""threshold"": 25}",1.5337994794607481,0.2248862571520578,0.18922539159357787,0.9215577851803995,0.2538234151790738,57.525348408079836,0.6781107841665128,1.0,545,"{""2021"": -0.015454354068295761, ""2022"": -0.03319342166298367, ""2023"": -0.001852005312010352, ""2024"": 0.3860563934454111, ""2025"": 0.3511321815886881, ""2026"": 0.4240430305520393}",1.1884570842113675,0.3218892158334871,0.3246753246753247,60,0,0.002073531238198871,0.02236856755201333,0.20251768960004446
adx-dmi,adx-dmi__period-10-threshold-30,False,"{""period"": 10, ""threshold"": 30}",1.459616304154793,0.21697078341134812,0.1889901028121681,0.9727129450693645,0.2278237496374512,39.24109361929038,0.7622210761139124,1.0,213,"{""2021"": 0.014131847207764059, ""2022"": 0.042959924960580986, ""2023"": 0.08754953674867094, ""2024"": 0.19491959579573148, ""2025"": 0.38631107282853927, ""2026"": 0.29079387980471894}",1.148053682086142,0.23777892388608757,0.23982683982683983,38,0,0.002146438813931034,0.017623482413239966,0.19934730099810816
adx-dmi,adx-dmi__period-14-threshold-20,False,"{""period"": 14, ""threshold"": 20}",1.6124358185260435,0.2330814763948923,0.18923239532968827,0.9404969111958627,0.25652642499383344,49.25411240812485,0.6754358614067885,1.0,349,"{""2021"": -0.015454354068295761, ""2022"": -0.015983784515925414, ""2023"": -0.045126654769757746, ""2024"": 0.49446008911043404, ""2025"": 0.40950007089461216, ""2026"": 0.340640468367406}",1.2317207948924833,0.3245641385932115,0.32727272727272727,50,0,0.002073531238198871,0.022506537536561178,0.21057493885833112
adx-dmi,adx-dmi__period-14-threshold-25,True,"{""period"": 14, ""threshold"": 25}",1.1653363085974306,0.18360157039939073,0.18899460886793273,0.8360755436407016,0.23327347877448432,33.29369652827305,0.7475805012433682,1.0,350,"{""2021"": 0.0, ""2022"": 0.02249883104463568, ""2023"": -0.03937645503610776, ""2024"": 0.28442127873822076, ""2025"": 0.33803790149184687, ""2026"": 0.2827245410258219}",0.9714645909698377,0.2524194987566318,0.2545454545454545,32,0,0.001702428989477285,0.01850596653731862,0.16509560386207212
adx-dmi,adx-dmi__period-14-threshold-30,False,"{""period"": 14, ""threshold"": 30}",0.4613805941441549,0.08629645987038859,0.17915433441600226,0.5705327210371662,0.17031940935446224,32.10337992781107,0.8420649061782118,1.0,687,"{""2021"": 0.0, ""2022"": 0.013160412691880508, ""2023"": -0.05630395141992839, ""2024"": 0.0020721003750925338, ""2025"": 0.24199508982253914, ""2026"": 0.22810114877767274}",0.48168781487589,0.1579350938217881,0.15930735930735931,32,1,0.001702428989477285,0.012394060028268372,0.07390239984212021
adx-dmi,adx-dmi__period-20-threshold-20,False,"{""period"": 20, ""threshold"": 20}",1.1389580072930285,0.18044057535738678,0.25486607921447724,0.7734678966256624,0.2549888255423492,23.963950544492977,0.7157416519416332,1.0,461,"{""2021"": 0.0, ""2022"": 0.07175176742984868, ""2023"": -0.06277821322062038, ""2024"": 0.5166540885355202, ""2025"": 0.23237107191003137, ""2026"": 0.13929879703471304}",0.7079819170661027,0.28425834805836675,0.2865800865800866,22,0,0.0010566405955560795,0.020342953721529833,0.16009762163585695
adx-dmi,adx-dmi__period-20-threshold-25,False,"{""period"": 20, ""threshold"": 25}",-0.031812564444169245,-0.0070289071198800235,0.25463784559884706,0.06257490388068733,0.19791262118696062,21.44627890614471,0.7975334518231244,1.0,571,"{""2021"": 0.0, ""2022"": 0.0036429981875423234, ""2023"": -0.058167818138840977, ""2024"": -0.08121356047938466, ""2025"": 0.17708314214730025, ""2026"": -0.052923761441169836}",-0.02760354456875694,0.2024665481768755,0.20432900432900433,22,0,0.0010566405955560795,0.015397356468478174,-0.022426263588358197
adx-dmi,adx-dmi__period-20-threshold-30,False,"{""period"": 20, ""threshold"": 30}",0.27894961682581254,0.05514823540497926,0.22742820518824702,0.3837205584745088,0.1830789562676855,12.445507231512549,0.8532160822981183,1.0,359,"{""2021"": 0.0, ""2022"": 0.0, ""2023"": -0.04593001394774998, ""2024"": 0.06896859629325425, ""2025"": 0.20451006926151138, ""2026"": 0.041112883313902726}",0.24248635018392697,0.14678391770188168,0.14805194805194805,12,0,0.0003706406299224171,0.011607911689780925,0.04354032371519834
aroon,aroon__period-14-threshold-60,False,"{""period"": 14, ""threshold"": 60}",0.7796599121247876,0.1340154871136643,0.25647349252038576,0.6342114565436667,0.24328481786235656,81.60094098995826,0.647406144449622,1.0,359,"{""2021"": -0.015454354068295761, ""2022"": 0.03600018938941574, ""2023"": -0.06778246278420297, ""2024"": 0.2983261706708773, ""2025"": 0.11179941435395846, ""2026"": 0.2966232538609832}",0.5225315325832828,0.352593855550378,0.35584415584415585,82,0,0.002073531238198871,0.023904151435902632,0.11011133567776166
aroon,aroon__period-14-threshold-70,False,"{""period"": 14, ""threshold"": 70}",0.5936332599328917,0.10702509472471555,0.2853790423012128,0.5456156209592933,0.2351288073383961,83.02569400729745,0.6748588167058599,1.0,359,"{""2021"": -0.0009899889999998024, ""2022"": 0.011208382036049347, ""2023"": -0.062418097261711325, ""2024"": 0.22821032849597067, ""2025"": 0.1356123990097462, ""2026"": 0.20632907995742356}",0.37502787121891157,0.3251411832941401,0.3281385281385281,84,0,0.0018628507960727775,0.022536196093760008,0.08448889863095554
aroon,aroon__period-14-threshold-80,False,"{""period"": 14, ""threshold"": 80}",0.7077109388362841,0.12385061534604991,0.2788810022006214,0.6252186742775065,0.22599120079349286,94.99032903669952,0.7486520712702021,1.0,380,"{""2021"": 0.0161042606261681, ""2022"": 0.057276282374572274, ""2023"": 0.02787191286989721, ""2024"": 0.27808965415032905, ""2025"": 0.054907623115920234, ""2026"": 0.14702490863773465}",0.44409843040134467,0.25134792872979805,0.25367965367965367,94,0,0.001974622291198252,0.018442182114642103,0.1054084332314078
aroon,aroon__period-25-threshold-60,False,"{""period"": 25, ""threshold"": 60}",1.0888294751757384,0.17434854861378235,0.19443617658552148,0.7866356534797905,0.23994129435505052,45.308251193069765,0.665341817119778,1.0,351,"{""2021"": -0.015454354068295761, ""2022"": 0.08713934255260569, ""2023"": 0.05645454184036547, ""2024"": 0.028535791858268045, ""2025"": 0.5258022286549191, ""2026"": 0.17710024421481196}",0.8966878061248869,0.3346581828802219,0.33766233766233766,47,0,0.0018628507960727775,0.023019974212116434,0.15132857440166592
aroon,aroon__period-25-threshold-70,True,"{""period"": 25, ""threshold"": 70}",1.424179898241733,0.21312361591408435,0.18899371465107717,0.9498624244103576,0.2306177725219723,47.12834802469234,0.7211494745744779,1.0,215,"{""2021"": -0.02531642116031596, ""2022"": 0.11668577559771687, ""2023"": 0.1493417029358861, ""2024"": 0.07934509846136906, ""2025"": 0.393067054283915, ""2026"": 0.2888094215810626}",1.1276756812127648,0.2788505254255221,0.2813852813852814,48,0,0.0018628507960727775,0.020038888295408563,0.1930847276186758
aroon,aroon__period-25-threshold-80,False,"{""period"": 25, ""threshold"": 80}",1.3283080682078636,0.2024902153835504,0.25246228131174797,0.9875013140911979,0.20801421484890292,48.61446936854669,0.7640559847507051,1.0,260,"{""2021"": -0.015454354068295761, ""2022"": 0.06689401701447717, ""2023"": 0.09573858345198971, ""2024"": 0.05742993039851796, ""2025"": 0.2389617968378337, ""2026"": 0.5440694808370821}",0.8020612597313475,0.23594401524929481,0.23809523809523808,50,0,0.002073531238198871,0.01751120518105731,0.18497901020249308
aroon,aroon__period-50-threshold-60,False,"{""period"": 50, ""threshold"": 60}",0.37853637780176275,0.07255241019074021,0.28609972666529915,0.4052382865674923,0.2446263077441724,25.45818376637577,0.6927864793947929,1.0,732,"{""2021"": -0.05227273787850373, ""2022"": -0.08011400439209504, ""2023"": -0.0858472560202338, ""2024"": 0.22695007622141428, ""2025"": 0.2882024170323083, ""2026"": 0.09438739290751741}",0.25359132997570966,0.3072135206052072,0.30995670995670993,26,0,0.0021268086198796793,0.021597387758443665,0.05095502243229655
aroon,aroon__period-50-threshold-70,False,"{""period"": 50, ""threshold"": 70}",0.4704512771513065,0.08776400823810415,0.22939860508118004,0.4730529735736881,0.23391123268516834,25.409700586031107,0.7442451186199459,1.0,518,"{""2021"": -0.02137159432350777, ""2022"": -0.05997615914002474, ""2023"": -0.06434551292902402, ""2024"": 0.1454308181855155, ""2025"": 0.29593349177653194, ""2026"": 0.15087159413743345}",0.3825830074557169,0.255754881380054,0.258008658008658,26,0,0.0018628507960727775,0.018703687217229037,0.06906032102087512
aroon,aroon__period-50-threshold-80,False,"{""period"": 50, ""threshold"": 80}",0.5709396301658691,0.10356631434404107,0.1889880719037642,0.5577756576649168,0.2178882610801468,28.324991100223837,0.8009053113683317,1.0,518,"{""2021"": -0.015454354068295761, ""2022"": -0.0903296493499669, ""2023"": -0.0016489881858614552, ""2024"": 0.16655509525302326, ""2025"": 0.438633380680592, ""2026"": 0.04688975503765613}",0.5480045026163276,0.1990946886316683,0.20086580086580086,28,0,0.0018628507960727775,0.015177588469314385,0.08838872587472668
supertrend,supertrend__multiplier-2-period-7,False,"{""multiplier"": 2.0, ""period"": 7}",0.39994561397087947,0.07616484151969405,0.31527150305251506,0.41762047966332627,0.24540911833432427,60.92052010376681,0.5873026874074267,1.0,379,"{""2021"": -0.015454354068295761, ""2022"": 0.11873411518868116, ""2023"": -0.1058645594215264, ""2024"": 0.04626145030555695, ""2025"": 0.0716578932638634, ""2026"": 0.267794099665281}",0.24158492214568217,0.41269731259257325,0.41645021645021646,62,0,0.002073531238198871,0.026604043022932178,0.04956079849676187
supertrend,supertrend__multiplier-3-period-7,False,"{""multiplier"": 3.0, ""period"": 7}",0.9480526347674199,0.15660643547212416,0.2803989417206689,0.675557095649933,0.2659795010709841,29.462209063107608,0.5502114505325982,1.0,351,"{""2021"": -0.02531642116031596, ""2022"": -0.0006763515726857516, ""2023"": -0.09383451409805921, ""2024"": 0.24831324128801047, ""2025"": 0.32014946175119774, ""2026"": 0.3392963211653397}",0.5585129334337295,0.4497885494674016,0.4536796536796537,32,0,0.0020280092802754768,0.028067485975925344,0.12853894949619882
supertrend,supertrend__multiplier-2-period-10,False,"{""multiplier"": 2.0, ""period"": 10}",0.406606204028106,0.07727988730937785,0.31918594767196884,0.4214724460440393,0.24590829813513237,60.93817261518621,0.5813051916188665,1.0,379,"{""2021"": -0.015454354068295761, ""2022"": 0.11873411518868116, ""2023"": -0.0954084404889125, ""2024"": 0.03361542706673215, ""2025"": 0.07732075400337401, ""2026"": 0.2678073073906171}",0.24211556891219815,0.41869480838113343,0.4225108225108225,62,0,0.002073531238198871,0.026851177027058082,0.050428710282319766
supertrend,supertrend__multiplier-3-period-10,True,"{""multiplier"": 3.0, ""period"": 10}",0.2900255352942682,0.05713521387844889,0.32794895343132546,0.3417029626585963,0.253611155211238,36.84229500679172,0.562438873414596,1.0,351,"{""2021"": -0.02531642116031596, ""2022"": -0.0006763515726857516, ""2023"": -0.09107636651043383, ""2024"": 0.033427004925702164, ""2025"": 0.23889924231921178, ""2026"": 0.1381127888396536}",0.17421983903483734,0.4375611265854041,0.44155844155844154,38,0,0.0020280092802754768,0.027602176842478343,0.029533037035970544
supertrend,supertrend__multiplier-2-period-14,False,"{""multiplier"": 2.0, ""period"": 14}",0.5420090861628608,0.09909985093855855,0.3495278507397186,0.5053349282150404,0.24374653120065562,57.13455947336306,0.5933226980792764,1.0,360,"{""2021"": -0.015454354068295761, ""2022"": 0.10407531976613349, ""2023"": -0.14346400310596485, ""2024"": 0.14841690919304718, ""2025"": 0.2138020573912287, ""2026"": 0.18811726801073014}",0.28352490575165873,0.4066773019207236,0.4103896103896104,58,0,0.002073531238198871,0.02635191083238242,0.07274794010617613
supertrend,supertrend__multiplier-3-period-14,False,"{""multiplier"": 3.0, ""period"": 14}",0.1443671363400627,0.02985931263680719,0.32532780139096895,0.23846913255487148,0.2503537846838441,39.00185609717372,0.5564981840099957,1.0,383,"{""2021"": -0.02531642116031596, ""2022"": -0.0006763515726857516, ""2023"": -0.09274218579513593, ""2024"": 0.055601936611710645, ""2025"": 0.08700499582127219, ""2026"": 0.12858202084787496}",0.09178223474643406,0.44350181599000427,0.44761904761904764,40,0,0.0020280092802754768,0.02783035227102837,0.0020289603657788202
