family,selected_config,trial_count,observations,observed_annualized_sharpe,expected_maximum_annualized_sharpe_under_null,skewness,pearson_kurtosis,deflated_sharpe_probability
sma-price,sma-price__period-200,5,1155,0.46275545164739357,0.6938633203781467,1.9973800692488377,27.61366638777153,0.3056936847257151
ema-price,ema-price__period-250,5,1155,0.5547702416245042,0.5096694844214287,0.6903966221171524,17.04079161458739,0.5388173499793406
dual-ma,dual-ma__fast-50-slow-200,6,1155,0.298492603265704,0.3841806369251772,0.4014551599884,13.226477788811012,0.427021009750164
macd-cross,macd-cross__fast-12-signal-9-slow-26,5,1155,0.8894566168742514,0.8391446953580916,3.864281735254139,49.31314974648242,0.547280868493107
trix,trix__period-9-signal-9,6,1155,0.8412435179947197,0.8625320559654504,4.156381801936675,54.688255163142536,0.4799068120015901
adx-dmi,adx-dmi__period-10-threshold-30,9,1155,0.9727129450693646,1.1787078537175402,3.4546817633607128,48.24494026218445,0.31451709939234107
aroon,aroon__period-25-threshold-80,9,1155,0.9875013140911979,0.9728318169108798,3.964657097764671,61.32158028208009,0.5138974405722234
supertrend,supertrend__multiplier-3-period-7,6,1155,0.6755570956499332,0.6267375484707459,3.4151191701066974,41.71953959435328,0.5445112642474226
tsmom-monthly,tsmom-monthly__lookback-126,4,1155,0.16793867985666594,0.11259350727351244,0.5639718329870012,16.94360709139714,0.547268790295157
donchian,donchian__entry-20-exit-10,5,1155,0.631586395077833,0.4960202872922604,3.3371323282929786,45.2774291001453,0.6211188504167199
bollinger-breakout,bollinger-breakout__period-20-width-1,6,1155,0.7942631483093272,0.785108382122062,4.100963751814677,51.957114330403385,0.5085951066038495
keltner-breakout,keltner-breakout__multiplier-1p5-period-20,6,1155,0.8089375590056337,0.7654482965795987,4.665580622991234,62.253723874890056,0.5413830367698159
rsi-reversion,rsi-reversion__entry-10-exit-70-period-2,6,1155,0.29646102813425523,0.2868461038143532,0.9921340777777843,21.592847048344073,0.5082773562150315
stochastic-reversion,stochastic-reversion__entry-30-exit-70-period-5,6,1155,-0.10664717434814916,-0.12653233212192935,0.8331845059813499,15.512565381869672,0.5169224796500939
cci-reversion,cci-reversion__entry-m150-exit-0-period-40,6,1155,0.20499239385682405,0.16425450572226513,1.3365812080743946,17.337860514557036,0.5350253354207088
bollinger-reversion,bollinger-reversion__period-20-width-2p5,9,1155,0.271715783729366,0.19756991469373147,2.905377261577171,76.30324064495828,0.564463842884222
mfi-reversion,mfi-reversion__entry-20-exit-60-period-14,6,1155,0.7064402939439205,0.6668123097068557,1.3082982589323073,27.106898156240664,0.5345808233656684
obv-trend,obv-trend__obv_period-20-price_period-50,6,1155,0.43671923571794025,0.43539667483614475,4.087228555577805,56.62503406786083,0.5011914331670791
vol-target-trend,vol-target-trend__target_vol-0p15-trend_period-200-vol_period-60,8,1155,0.7470370264348583,0.7210163700811731,3.446017459113777,44.79711230978912,0.523910928428893
indicator-vote,indicator-vote__threshold-4,3,1155,0.7710598930756073,0.7372371478983918,1.1665833250613575,25.347648652553232,0.5294789274485865
