model,execution_date,target_weight,execution,delay,family
walk-forward__trix,2026-01-29,0.0,open,1,trix
walk-forward__trix,2026-04-08,0.99,open,1,trix
walk-forward__trix,2026-05-25,0.0,open,1,trix
walk-forward__trix,2026-06-22,0.99,open,1,trix
walk-forward__trix,2026-07-08,0.0,open,1,trix
walk-forward__trix,2026-08-11,0.99,open,1,trix
walk-forward__trix,2026-08-27,0.0,open,1,trix
walk-forward__trix,2026-09-01,0.99,open,1,trix
walk-forward__adx-dmi,2023-12-25,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2024-02-22,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2024-03-15,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2024-09-02,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2024-09-03,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2024-09-30,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2025-01-07,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2025-01-08,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2025-01-27,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2025-02-11,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2025-03-24,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2025-07-29,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2025-10-24,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2026-01-09,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2026-02-02,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2026-04-09,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2026-06-09,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2026-06-11,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2026-06-15,0.0,open,1,adx-dmi
walk-forward__adx-dmi,2026-06-18,0.99,open,1,adx-dmi
walk-forward__adx-dmi,2026-07-17,0.0,open,1,adx-dmi
walk-forward__aroon,2023-12-25,0.0,open,1,aroon
walk-forward__aroon,2024-02-28,0.99,open,1,aroon
walk-forward__aroon,2024-03-25,0.0,open,1,aroon
walk-forward__aroon,2024-05-08,0.99,open,1,aroon
walk-forward__aroon,2024-05-17,0.0,open,1,aroon
walk-forward__aroon,2024-06-20,0.99,open,1,aroon
walk-forward__aroon,2024-06-26,0.0,open,1,aroon
walk-forward__aroon,2024-07-30,0.99,open,1,aroon
walk-forward__aroon,2024-07-31,0.0,open,1,aroon
walk-forward__aroon,2024-09-30,0.99,open,1,aroon
walk-forward__aroon,2024-10-15,0.0,open,1,aroon
walk-forward__aroon,2024-11-11,0.99,open,1,aroon
walk-forward__aroon,2024-11-18,0.0,open,1,aroon
walk-forward__aroon,2024-12-11,0.99,open,1,aroon
walk-forward__aroon,2024-12-16,0.0,open,1,aroon
walk-forward__aroon,2024-12-31,0.99,open,1,aroon
walk-forward__aroon,2025-01-03,0.0,open,1,aroon
walk-forward__aroon,2025-02-12,0.99,open,1,aroon
walk-forward__aroon,2025-03-12,0.0,open,1,aroon
walk-forward__aroon,2025-05-08,0.99,open,1,aroon
walk-forward__aroon,2025-05-20,0.0,open,1,aroon
walk-forward__aroon,2025-06-27,0.99,open,1,aroon
walk-forward__aroon,2025-07-09,0.0,open,1,aroon
walk-forward__aroon,2025-07-17,0.99,open,1,aroon
walk-forward__aroon,2025-08-12,0.0,open,1,aroon
walk-forward__aroon,2025-08-13,0.99,open,1,aroon
walk-forward__aroon,2025-09-12,0.0,open,1,aroon
walk-forward__aroon,2025-09-17,0.99,open,1,aroon
walk-forward__aroon,2025-10-22,0.0,open,1,aroon
walk-forward__aroon,2025-12-30,0.99,open,1,aroon
walk-forward__aroon,2026-02-04,0.0,open,1,aroon
walk-forward__aroon,2026-04-16,0.99,open,1,aroon
walk-forward__aroon,2026-06-09,0.0,open,1,aroon
walk-forward__aroon,2026-06-22,0.99,open,1,aroon
walk-forward__aroon,2026-07-14,0.0,open,1,aroon
walk-forward__supertrend,2023-12-25,0.0,open,1,supertrend
walk-forward__supertrend,2024-02-07,0.99,open,1,supertrend
walk-forward__supertrend,2024-03-27,0.0,open,1,supertrend
walk-forward__supertrend,2024-04-30,0.99,open,1,supertrend
walk-forward__supertrend,2024-05-17,0.0,open,1,supertrend
walk-forward__supertrend,2024-06-12,0.99,open,1,supertrend
walk-forward__supertrend,2024-06-26,0.0,open,1,supertrend
walk-forward__supertrend,2024-07-17,0.99,open,1,supertrend
walk-forward__supertrend,2024-07-25,0.0,open,1,supertrend
walk-forward__supertrend,2024-08-01,0.99,open,1,supertrend
walk-forward__supertrend,2024-08-06,0.0,open,1,supertrend
walk-forward__supertrend,2024-09-27,0.99,open,1,supertrend
walk-forward__supertrend,2024-10-14,0.0,open,1,supertrend
walk-forward__supertrend,2024-11-08,0.99,open,1,supertrend
walk-forward__supertrend,2024-11-19,0.0,open,1,supertrend
walk-forward__supertrend,2024-12-27,0.99,open,1,supertrend
walk-forward__supertrend,2025-01-03,0.0,open,1,supertrend
walk-forward__supertrend,2025-02-07,0.99,open,1,supertrend
walk-forward__supertrend,2025-03-04,0.0,open,1,supertrend
walk-forward__supertrend,2025-04-11,0.99,open,1,supertrend
walk-forward__supertrend,2025-05-23,0.0,open,1,supertrend
walk-forward__supertrend,2025-06-26,0.99,open,1,supertrend
walk-forward__supertrend,2025-09-05,0.0,open,1,supertrend
walk-forward__supertrend,2025-09-15,0.99,open,1,supertrend
walk-forward__supertrend,2025-10-15,0.0,open,1,supertrend
walk-forward__supertrend,2026-01-06,0.99,open,1,supertrend
walk-forward__supertrend,2026-02-09,0.0,open,1,supertrend
walk-forward__supertrend,2026-04-14,0.99,open,1,supertrend
walk-forward__supertrend,2026-07-17,0.0,open,1,supertrend
walk-forward__tsmom-monthly,2023-12-25,0.0,open,1,tsmom-monthly
walk-forward__tsmom-monthly,2024-10-08,0.99,open,1,tsmom-monthly
walk-forward__tsmom-monthly,2025-06-03,0.0,open,1,tsmom-monthly
walk-forward__tsmom-monthly,2025-07-01,0.99,open,1,tsmom-monthly
walk-forward__tsmom-monthly,2026-04-01,0.0,open,1,tsmom-monthly
walk-forward__tsmom-monthly,2026-05-06,0.99,open,1,tsmom-monthly
walk-forward__donchian,2023-12-25,0.0,open,1,donchian
walk-forward__donchian,2024-02-28,0.99,open,1,donchian
walk-forward__donchian,2024-03-26,0.0,open,1,donchian
walk-forward__donchian,2024-09-30,0.99,open,1,donchian
walk-forward__donchian,2024-11-26,0.0,open,1,donchian
walk-forward__donchian,2025-02-10,0.99,open,1,donchian
walk-forward__donchian,2025-03-21,0.0,open,1,donchian
walk-forward__donchian,2025-07-23,0.99,open,1,donchian
walk-forward__donchian,2025-10-20,0.0,open,1,donchian
walk-forward__donchian,2026-01-06,0.99,open,1,donchian
walk-forward__donchian,2026-03-24,0.0,open,1,donchian
walk-forward__donchian,2026-05-06,0.99,open,1,donchian
walk-forward__donchian,2026-06-02,0.0,open,1,donchian
walk-forward__donchian,2026-06-22,0.99,open,1,donchian
walk-forward__donchian,2026-07-17,0.0,open,1,donchian
walk-forward__bollinger-breakout,2023-12-25,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-02-28,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-03-25,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-04-30,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-05-16,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-06-14,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-06-25,0.0,open,1,bollinger-breakout
