model,execution_date,target_weight,execution,delay,family
walk-forward__bollinger-reversion,2026-08-13,0.0,open,1,bollinger-reversion
walk-forward__mfi-reversion,2023-12-25,0.0,open,1,mfi-reversion
walk-forward__mfi-reversion,2024-01-19,0.99,open,1,mfi-reversion
walk-forward__mfi-reversion,2024-02-27,0.0,open,1,mfi-reversion
walk-forward__mfi-reversion,2024-04-10,0.99,open,1,mfi-reversion
walk-forward__mfi-reversion,2024-04-30,0.0,open,1,mfi-reversion
walk-forward__mfi-reversion,2025-04-08,0.99,open,1,mfi-reversion
walk-forward__mfi-reversion,2025-04-17,0.0,open,1,mfi-reversion
walk-forward__mfi-reversion,2026-03-23,0.99,open,1,mfi-reversion
walk-forward__mfi-reversion,2026-04-14,0.0,open,1,mfi-reversion
walk-forward__mfi-reversion,2026-07-30,0.99,open,1,mfi-reversion
walk-forward__mfi-reversion,2026-08-18,0.0,open,1,mfi-reversion
walk-forward__obv-trend,2023-12-25,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-02-28,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-02-29,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-03-01,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-03-14,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-03-19,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-03-20,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-03-21,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-03-22,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-04-30,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-05-06,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-05-07,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-05-08,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-05-10,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-05-13,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-06-12,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-06-13,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-06-14,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-06-17,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-06-18,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-06-20,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-06-21,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-06-25,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-09-30,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-10-14,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-10-15,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-10-16,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-10-21,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-10-30,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-11-06,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-11-19,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-11-20,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-11-26,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-11-28,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-11-29,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-12-02,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-12-05,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-12-09,0.99,open,1,obv-trend
walk-forward__obv-trend,2024-12-17,0.0,open,1,obv-trend
walk-forward__obv-trend,2024-12-20,0.99,open,1,obv-trend
walk-forward__obv-trend,2025-01-02,0.0,open,1,obv-trend
walk-forward__obv-trend,2025-02-07,0.99,open,1,obv-trend
walk-forward__obv-trend,2025-03-04,0.0,open,1,obv-trend
walk-forward__obv-trend,2025-03-05,0.99,open,1,obv-trend
walk-forward__obv-trend,2025-03-11,0.0,open,1,obv-trend
walk-forward__obv-trend,2025-06-26,0.99,open,1,obv-trend
walk-forward__obv-trend,2025-06-27,0.0,open,1,obv-trend
walk-forward__obv-trend,2025-07-01,0.99,open,1,obv-trend
walk-forward__obv-trend,2025-07-03,0.0,open,1,obv-trend
walk-forward__obv-trend,2025-07-16,0.99,open,1,obv-trend
walk-forward__obv-trend,2025-08-04,0.0,open,1,obv-trend
walk-forward__obv-trend,2025-08-06,0.99,open,1,obv-trend
