analysis_type,name,note,annualized_return,maximum_drawdown,sharpe
module-ablation,m0,M0 纳指买入持有,0.1965412096771235,0.2849168935463867,0.9409582713056992
module-ablation,m1,M1 纳指 MA,0.1437475987312682,0.2840101819852704,0.8225986017873858
module-ablation,m2,M2 纳指 MA + 黄金,0.1644701943507218,0.2840987190115146,0.8866355223926103
module-ablation,m3,M3 标准 CCI 覆盖,0.3112552205199079,0.2533180757782376,1.2737680779935845
module-ablation,m4,M4 close-only CCI 原规则,0.2909676153367322,0.2769527348146234,1.1960080514362958
module-ablation,b1,B1 三资产月度等权,0.1510472632471602,0.2435130796558814,0.9741132155807825
module-ablation,b2,B2 三资产 52 周动量,0.1147558451059511,0.5667152267196662,0.5234821947994809
module-ablation,b3,B3 MA40 后选最强动量,0.0947089393257052,0.5141165688412195,0.4789912897989734
module-ablation,b0,B0 纳指买入持有,0.1965412096771235,0.2849168935463867,0.9409582713056992
module-ablation,b4,B4 纳指 MA45,0.1437475987312682,0.2840101819852704,0.8225986017873858
