capital_rmb,status,reason
200000,not-run-data-gap,archived engine did not model ADV participation or ETF premium/discount
1000000,not-run-data-gap,archived engine did not model ADV participation or ETF premium/discount
2000000,not-run-data-gap,archived engine did not model ADV participation or ETF premium/discount
10000000,not-run-data-gap,archived engine did not model ADV participation or ETF premium/discount
