experiment,variant,annualized_return,maximum_drawdown,sharpe,trial_count,positive_return_rate,note
frozen-causal-baseline,m4,0.2909676153367322,0.2769527348146234,1.1960080514362958,1,,
parameter-grid-summary,3069-combinations,0.2490935753403982,0.2821656723244613,1.0630096072732218,3069,1.0,metrics-only grid; no daily path matrix for valid PBO
cost-stress,zero,0.2987339406025933,0.2746346891025226,1.221844805597743,1,,
cost-stress,base,0.2909676153367322,0.2769527348146234,1.1960080514362958,1,,
cost-stress,slippage-10bp,0.2786081014538266,0.2806565599395799,1.154428844240425,1,,
period-slice,2014-2018,0.1991651679219945,0.2769527348146234,0.9908554096676092,1,,
period-slice,2019-2022,0.2897337790064818,0.2061739930416032,1.1853901213169702,1,,
period-slice,2023-end,0.4347535720676168,0.2533177347375497,1.4490909840084354,1,,
asset-replacement,gem_to_csi500,0.1881642304392574,0.2717559438171857,0.9265748535039628,1,,
asset-replacement,nasdaq_to_sp500,0.240353038790215,0.3371103611213466,1.1091479796528163,1,,
asset-replacement,gold_to_alt_gold,0.2912828166719226,0.2769527348146234,1.1967069542257929,1,,
