date,equity,cash,market_value,positions,gross_traded,benchmark_value,daily_return,drawdown
2019-01-02,988346.7245317146,59483.702684728574,928863.021846986,10,940234.2270471574,0.986345112323761,-0.011653275468285429,0.0
2019-01-03,978337.1766456966,249251.35376767145,729085.8228780252,8,190014.67015414327,0.9847840070724487,-0.010127567216616784,-0.010127567216616784
2019-01-04,978250.3896876237,696510.806288103,281739.5833995207,3,447841.64666109096,1.0083768367767334,-8.870863761967218e-05,-0.010215377451546215
2019-01-07,993537.5801973547,49377.52973234028,944160.0504650144,10,835260.3578086821,1.0144984722137451,0.01562707326353574,0.0
2019-01-08,988351.9553795068,238944.47201529477,749407.4833642121,8,189813.7000930755,1.0123063325881958,-0.005219354477580818,-0.005219354477580818
2019-01-09,995711.8408768992,238944.47201529477,756767.3688616045,8,0.0,1.02252995967865,0.007446624107265931,0.0
2019-01-10,994949.0879400198,327502.207055679,667446.8808843407,7,88673.00995332355,1.0206068754196167,-0.0007660378289844338,-0.0007660378289844338
2019-01-11,995751.8354830311,420796.481086491,574955.3543965401,6,93415.71445960955,1.0279440879821777,0.0008068227336872624,0.0
2019-01-14,989029.6431436581,97413.01671570487,891616.6264279532,10,423237.53956532665,1.0189759731292725,-0.00675087115065387,-0.00675087115065387
2019-01-15,984928.1362756424,280191.2022164534,704736.934059189,9,183016.1064391194,1.0389750003814697,-0.004147000948302115,-0.010869876229892328
2019-01-16,976182.5547820737,466050.593170236,510131.96161183773,8,186101.32267325782,1.039194107055664,-0.008879410762534179,-0.019652768896443518
2019-01-17,972237.7308409966,555711.276680453,416526.45416054357,7,89777.39412257631,1.0334711074829102,-0.004041071950889097,-0.02361442259418789
2019-01-18,975325.9237878991,744291.0393451233,231034.88444277574,5,188825.23547078247,1.052320957183838,0.003176376362426403,-0.020513054525501895
2019-01-21,979576.140541696,237763.15626855666,741812.9842731394,10,596925.2937954222,1.0581237077713013,0.004357739961724949,-0.01624470512121967
2019-01-22,969432.624028712,281946.0436114061,687486.5804173059,10,44240.3998626709,1.0440667867660522,-0.010355005693967523,-0.02643149680116008
2019-01-23,974333.1422656542,375100.6989414432,599232.443324211,9,93275.91401826077,1.0433127880096436,0.005055037467768253,-0.0215100715400508
2019-01-24,975419.461684013,465096.58762024704,510322.87406376604,8,90113.03562511652,1.0492019653320312,0.001114936330537608,-0.02041911756974568
2019-01-25,967003.8112370796,510676.0980333157,456327.7132037638,7,45638.840906246754,1.0577349662780762,-0.008627724561087069,-0.028870671608660525
2019-01-28,965283.6540590411,197513.5767592765,767770.0772997645,10,767775.3119121816,1.0575058460235596,-0.0017788525319646364,-0.030598167473334548
2019-01-29,966856.8370954716,334092.0301461082,632764.8069493633,9,136756.23649427423,1.0608904361724854,0.0016297624328509563,-0.029018272784345767
2019-01-30,961212.3261774337,426024.9552285975,535187.3709488362,9,92052.5934539795,1.0524238348007202,-0.00583800072717533,-0.034686864813904705
2019-01-31,962283.3678323929,515726.9945459769,446556.37328641594,7,89818.80376227037,1.0634348392486572,0.0011142612571548582,-0.03361125378634422
2019-02-01,973436.5791976494,561765.4655211528,411671.1136764965,7,46098.39889373779,1.0786374807357788,0.011590360737897543,-0.022410459604683353
2019-02-11,983600.3361086226,292234.36181758344,691365.9742910392,10,456127.9251011808,1.0982577800750732,0.010441108468874916,-0.012203341175378246
