execution_date,observation_date,active_full_market_stocks,merged_point_in_time_rows,eligible_candidates,selected_count,selected_industries,selected_sha256
2019-01-02,2018-12-28,3567,3234,1719,20,14,23a61dd76773c58361b874360e7df6b3fca2a238783ee9f400f62672d6b9cf5d
2019-02-01,2019-01-31,3583,3259,1726,20,14,f3cc3b4181c8463971e6a51606bfc8ad7496ef7b18dc0fd4138863b063bf9d49
2019-03-01,2019-02-28,3589,3264,1647,20,12,e5b72c34a7fc792b1764ebac6330687480df6e5201e5b2f645f4fa81fcc9e7cc
2019-04-01,2019-03-29,3600,3258,1699,20,13,591d94d2bd59e93df7f1124e22229d30007f4291e36cfd5b9a540bc2ef1ac012
2019-05-06,2019-04-30,3610,3247,1269,20,11,0d9194dbd62889a5a54226848b43ca6f2b3af4a447b8b380204ae79e040e38b3
2019-06-03,2019-05-31,3622,3255,1275,20,13,a83403a1c09c3bbb9e05e21ff61e3ce0d18ebb4fef2a0fb17b90c8edd88ae177
2019-07-01,2019-06-28,3632,3261,1279,20,12,a38b365a9e1e7ce30999ee9db97056e974ae06cbf4b869210b912edf32ebedc0
2019-08-01,2019-07-31,3666,3280,1291,20,13,b290cf90999e2f23e98c9f26bc98d0aa651061a485448375d2d3a8f82e2e9492
2019-09-02,2019-08-30,3681,3281,1583,20,14,6d5aebccdbd53ed3ec8136ccb14da9265ce0b3d19bf31c34d2878e49642ac3ea
2019-10-08,2019-09-30,3692,3284,1598,20,13,da0f563c762c096d8db1aa01f035a9c26cd6b70c4ccb9d137441532f2838c5ad
2019-11-01,2019-10-31,3707,3293,1751,20,12,f0be82150132b1898ca49c75ffda891da9f77b02f2810dc7e6d9820c807f547c
2019-12-02,2019-11-29,3735,3295,1748,20,13,89feee519da343624f91f35678f8ce3307a765a704b91bde47ff1e715869cf61
2020-01-02,2019-12-31,3760,3301,1739,20,15,207aff244fa37ecc81ca80ac064b3a60ab9f0dd3501aeb50e2843bffbcabcaf7
2020-02-03,2020-01-23,3775,3313,1730,20,15,a153ed413658980cac66f8f69f8e7fed5424aba959994dc1cbd32236b2cd48c4
2020-03-02,2020-02-28,3796,3330,1755,20,14,10233ebefbad0333d6fae17a4f07cd8d3f94391bb5581dc60acf76701adc0266
2020-04-01,2020-03-31,3809,3335,1854,20,12,c34488b25718920c42b34723690be84749dcd55f591295fd34bf7497e1b9d9c2
2020-05-06,2020-04-30,3831,3288,1021,20,15,0a078c2936d3a9f4b718526bfe28602ad9c1d1392aab35a7d542499c72758120
2020-06-01,2020-05-29,3848,3299,1014,20,14,2f07e6c39a72e6586682a58394ba0694c2b030298a1cecf8055cf1be8bf7d057
2020-07-01,2020-06-30,3873,3312,996,20,14,a6209ba7e2aa22f22f1a0972de742ed4ed069bdc471a018f3fa469116f3b06d6
2020-08-03,2020-07-31,3920,3337,995,20,13,20f24d7d27ed060b0762dca261bf8aa482da1ea5739939d1e6f19f7e7aede476
2020-09-01,2020-08-31,3973,3327,1451,20,15,b6b1db8afae54cac0e3a4dc6c77f7d21da9d2108b1f0426f24aa15c5217876a5
2020-10-09,2020-09-30,4039,3325,1481,20,12,ccb7c3925cf0a2a005f5139035470ea34dcccfff5696d17429cd492eee634276
2020-11-02,2020-10-30,4065,3346,1644,20,13,39b335cc3cd6267697cb5a2f4b9cb6929b547240b91938afeb9ebdb3455e2833
2020-12-01,2020-11-30,4085,3413,1692,20,12,ac8768c7239382538d00349fb02bb887e9b5ca47db80e3d1600e10a6dff578a9
2021-01-04,2020-12-31,4138,3419,1690,20,14,30b7a6d8efe986a86c4f690050f853c8fc03c62f69613a5be1907cf62278b499
2021-02-01,2021-01-29,4170,3436,1704,20,14,ce5bbd3e5cf1c2ae02d5bdbb834920600de5be5d9dd11821e9339369f92c60e4
2021-03-01,2021-02-26,4195,3456,1724,20,13,d83f4e767d03fef94294877c67929522ca9657816e853d9c963cedb044262795
2021-04-01,2021-03-31,4233,3500,1870,20,14,fae80962e15af5ec2d295f4b3be7d3dc75b43a523c945bd08fbce249aac929bf
2021-05-06,2021-04-30,4286,3485,1238,20,11,a8a4dced91a1d703d46a6cf92ce16b709545cfc7caaa8ae1e773d9e3ddcc877c
2021-06-01,2021-05-31,4324,3534,1239,20,13,0358d8b5d9be03a4eabf7312d0d63c66d7a9f07e02cdb2d6566e6ce94a3c9109
2021-07-01,2021-06-30,4373,3552,1227,20,11,88ae6143cd7881206e626295fecbc6a845e32989c75d47592f86628bdcbd0769
2021-08-02,2021-07-30,4416,3542,1249,20,13,576a7795ad8ce37d963f9882f395a0427630bccb5a5e066435123346a54ecb4a
2021-09-01,2021-08-31,4455,3621,1637,20,16,f691e5973fe01f4e40ef77898e59ca2be990f0af122609ba613a99025c9d32b8
2021-10-08,2021-09-30,4493,3704,1688,20,15,636d8d4a540e7d437b88868163bd6ede6f391bbb51983f46524889a8e4da9729
2021-11-01,2021-10-29,4526,3739,1790,20,14,dc0408a653b23fe8476d03fbe9372c44d0ddc37587f8297503180bedafee0e4e
2021-12-01,2021-11-30,4637,3778,1784,20,13,6d6604d0f2f3cf77fe2d6fb9fc02b0ec4e6d610222f5b39b63654610ac57dcd9
2022-01-04,2021-12-31,4681,3807,1800,20,14,017661d51d217a6b109541f38a5b916636eb1259fba5bf1d54f978bd81ce21d0
2022-02-07,2022-01-28,4713,3852,1876,20,14,4844bd4c847b05a904067b0f11c5e821f9ccea0ec5d54b1b80bcc249f9c9f44b
2022-03-01,2022-02-28,4730,3918,1888,20,13,bf1211a38e78fa27d9497fc5e22addaec776b1c1bb61a6464d6902943fea9397
2022-04-01,2022-03-31,4767,3936,2032,20,15,e97ad966bce978850e1bcc2dc422d0b435edb80d8c7b936c8483e3f90a170508
2022-05-05,2022-04-29,4801,3949,1520,20,14,25ed945850c229a54baf3ddeeeefe7d76f4d7aafe82024a4b7747b729c625fcd
2022-06-01,2022-05-31,4815,4037,1369,20,12,d59175eb2c78b34707d245885e9763a5846792715776cdcd386850289e93a4c2
2022-07-01,2022-06-30,4817,4087,1361,20,14,aa01edb7121e9ddbff7df6c7c9b251563ff7339ef10441b5fc467130111b90f8
2022-08-01,2022-07-29,4844,4129,1367,20,14,903161433f7d7a9e42389a101c13e95604fe9299973dab09c39f6960168c3245
2022-09-01,2022-08-31,4893,4204,1842,20,12,bc1088d86ea2777f617d8ef2fc39a2fe152265f734a2d79ab879cf153eb8856d
2022-10-10,2022-09-30,4943,4228,1878,20,13,30ba0b8c1adfb2ab9dee9f31b986e40f6cfb3b472fb20e2dd1b2ca2e6caae237
2022-11-01,2022-10-31,4973,4247,2066,20,12,a92804d6b75ef6a84d6e42d6b6afd4abb0f8ec5155e79e77652420868869a848
2022-12-01,2022-11-30,5007,4300,2069,20,13,1c54f1db6bb5711e5401a57d1626cdc84a21c806eb6f61e58bcef650689d1039
2023-01-03,2022-12-30,5067,4328,2090,20,13,64f1fed63a4dad1e6d108b626910e2584910b8c60612f9931165f11a599b4839
2023-02-01,2023-01-31,5077,4370,2095,20,13,c49cca74df9dd70f69d696cdf06f32880f2fa58d7821d74dcbf12b12771b9aa4
2023-03-01,2023-02-28,5097,4403,2097,20,12,47599d96049c7c7ee05b60209794d042a361709a8d5c7aa7317e412c4b342d48
2023-04-03,2023-03-31,5130,4411,2206,20,12,8458ce41023fa69d22d1c4c21911f4a21a62a0fc50dcc44da3a115c4a25884bc
2023-05-04,2023-04-28,5163,4398,1704,20,11,ea7908adb4704bb37d449190769fc4b4a97a846c674b4e8c271a0b6e64075b90
2023-06-01,2023-05-31,5186,4463,1541,20,12,12ac0c5d4234f91b3364e057b3b40af9be22bed222af99bf409f3af47767dd37
