period,module,pair_count,mean_delta_annualized_return,median_delta_annualized_return,mean_delta_maximum_drawdown,median_delta_maximum_drawdown,mean_delta_sharpe,median_delta_sharpe,mean_delta_annualized_turnover,median_delta_annualized_turnover,mean_delta_average_risk_weight,median_delta_average_risk_weight,positive_sharpe_pair_ratio
full,use_absolute_momentum,32,-0.0007763319759729499,-0.00029792660602601106,0.009449529114356762,0.010448358701296123,0.003474578163413911,0.0005636446058203751,0.4704995291159265,0.38043866064813514,-0.0872986883163235,-0.08439782763731601,0.5
full,use_inverse_vol,32,-7.132153030036878e-05,0.00037984507702298886,-0.00950870505538368,-0.006735301360851209,-0.003298148738803541,-0.0006394882638480204,0.8197038270873226,0.7977315734662351,0.002964475985681489,0.0033305081471858844,0.5
full,use_vol_target,32,0.053318700544997155,0.051374333242876546,-0.19889220334495172,-0.19215088922768297,0.2694517472784132,0.27105685359843074,-2.7082489929611264,-2.687540066888367,-0.23283177525823406,-0.23329802668880695,1.0
full,use_rank_buffer,32,-0.0045250091302748395,-0.004063038813747144,0.04059767326361399,0.0410948304566221,-0.017690122053318998,-0.015647918582731776,-8.64581736745947,-8.287176612206045,0.007421918826193259,0.003272006591905685,0.28125
full,use_correlation_guard,32,0.016265511718986016,0.015050529188788131,-0.05429266290833266,-0.039950533782944,0.06429487375148296,0.07177838657432543,2.1054616931246004,1.8703958831198282,0.006251930829285754,0.005128896258681015,1.0
full,use_capacity,32,-0.006594823126665778,-0.00582734913382954,-0.07265733825165317,-0.0791740694722004,-0.019758297941587018,-0.019451838552891274,-0.6637092815921646,-0.5294069479468835,-0.1109833232780486,-0.11445945242158567,0.15625
era_2014_2017,use_absolute_momentum,32,-0.013873966213151848,-0.01489706374879024,0.011911578145761818,0.01338888433547486,-0.04486102348024143,-0.0591779396657187,0.021945500092639625,0.35461603205152414,-0.14042376203777507,-0.14010548602431344,0.28125
era_2014_2017,use_inverse_vol,32,-0.0007498895232029741,-0.0007077879301554679,-0.002027395011644423,-0.00012102119013540635,-0.008068119760558783,-0.006796823837212431,0.5597415571934995,0.564137758897914,0.00488419220737386,0.003290538487336625,0.375
era_2014_2017,use_vol_target,32,0.09792101177301316,0.09706925047555898,-0.2807086233028301,-0.2810410810426479,0.5738519756957352,0.5762394294663448,-4.689142636746909,-4.75837197792537,-0.15369124043724477,-0.14755511646009212,1.0
era_2014_2017,use_rank_buffer,32,0.015106471774220729,0.013669707491461458,-0.0022267568736154195,-0.0050504305999190535,0.07373481863083386,0.06307032462336143,-9.224034057618757,-9.46942709072831,0.008756841474627169,0.005653256885015723,0.96875
