period,allocation_mode,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
full,full,3053,1.026896788213083,0.060050179258935854,0.3707520054393617,0.4561935854700913,0.7232013791413474,0.16196858918611393,0.1538360987337218,229.875230452619,18.97430660794628,467635.0860571472,0.008999162311728847,0.5779224981427187,1177,-0.33124626576991356,0.5237471339665902
full,risk_cash,3053,0.8255604559835124,0.050935601900787164,0.3939598631551885,0.3943663575461246,0.6222006969386409,0.12929134834408915,0.15750719233324295,151.55562149007815,12.509668069276021,288620.690941411,0.41019422324267085,0.5898057767573291,1177,-0.3564452038241659,0.5040943334425155
full,risk_normalized,3053,0.15999026275422534,0.01232549638492153,0.6119376913552308,0.1910237387454463,0.29597797354391897,0.020141750637429786,0.29898493756640926,266.7578882153236,22.0186661743405,383980.7825109295,0.04330186582627574,0.9566981341737242,2707,-0.5400776530866516,0.5070422535211268
full,defensive_only,3053,0.4084763917391703,0.028674683877454976,0.08047544616825497,1.135005341050372,1.7989039547587031,0.3563159353910639,0.02518929778618643,116.8982843364647,9.648990387418639,185799.94300897082,0.005115774852694258,0.0,933,-0.047810083266798364,0.601048149361284
era_2014_2017,full,977,0.4147951579141871,0.09362583165725757,0.27427070409459653,0.7135358494322174,1.1200874131390963,0.3413628588818069,0.13900404801395044,48.89439008208093,12.611449642460999,78938.02672493867,0.011385683220420535,0.6270994547565907,631,0.20101429034584117,0.5281473899692938
era_2014_2017,risk_cash,977,0.3325997402789904,0.07687204963705363,0.2966704757320727,0.597533794715541,0.9269519728803953,0.2591159415083753,0.1405006021659662,35.82121988353831,9.239454872724314,55460.20617586003,0.3663087664112924,0.6336912335887075,631,0.13162732145564848,0.5076765609007164
era_2014_2017,risk_normalized,977,0.09615172528388194,0.02396223567003064,0.5922217279951827,0.22866366627800308,0.3339997655153629,0.040461594935310374,0.29302747005765656,71.31880812084685,18.395434643248112,99238.8375339729,0.039040608407995184,0.9609593915920048,631,-0.11352081925152391,0.5127942681678608
era_2014_2017,defensive_only,977,0.17831000499494376,0.04323020775235942,0.020677725355510934,1.6337176143075833,2.643610087251022,2.0906655354544545,0.026115950261148775,17.26752494625218,4.453854950312743,25075.78795305958,0.008545166564498954,0.0,294,0.09426365361103617,0.6417604912998977
era_2018_2021,full,973,0.5090017777041358,0.11244707915032182,0.1984126997412392,0.7199785213305975,1.1248591802008694,0.5667332751228634,0.16762153545475353,80.79214042114889,20.924583130657265,125536.92151765645,0.009665936996218368,0.5577697796395489,458,0.32162793071783646,0.539568345323741
era_2018_2021,risk_cash,973,0.501819568288836,0.11107334507955335,0.20387548895367724,0.704795064493296,1.096798357008644,0.5448097054216775,0.1700663380000148,44.360117191835904,11.488951215151745,68739.55865123283,0.4363524309459584,0.5636475690540418,459,0.33435333573840964,0.4933196300102775
era_2018_2021,risk_normalized,973,0.37671081231840864,0.0863237298731081,0.31800048323455266,0.4368526322821056,0.6787152302584952,0.271457857532364,0.27900758816295773,77.22175467026551,19.999878907406895,112435.90395039292,0.09181381830181368,0.9081861816981862,494,0.20325603987284913,0.4943473792394656
era_2018_2021,defensive_only,973,0.05380014078261541,0.013664468414065878,0.08015231036712467,0.4945046714563565,0.7758660070138966,0.17048127934775673,0.028252342400743074,60.28355405465456,15.613006805522044,81416.53107615019,0.006110706982174455,0.0,408,-0.0025740024541967,0.566289825282631
era_2022_2026,full,1103,-0.05373907993405658,-0.012540565074027898,0.33312795412321416,0.020123722586164718,0.033297123168027715,-0.037644889655190916,0.18044256682193469,104.77771210830402,23.938334951307898,109214.07864967317,0.00997683943640159,0.696250791173604,973,-0.19735423256338047,0.5067996373526745
era_2022_2026,risk_cash,1103,-0.08311129558498764,-0.019628762944660094,0.34236506343939377,-0.01688494735200158,-0.027840242474350754,-0.057332844500749776,0.1830565150371007,85.26872793407381,19.481159963179145,87564.96321161519,0.2974564011501056,0.7025435988498944,985,-0.22533894792619835,0.5067996373526745
era_2022_2026,risk_normalized,1103,-0.22634026928627837,-0.05694448267719787,0.47425925279910064,-0.022756658349390637,-0.037053319057054356,-0.12007036729617573,0.32070486927057196,119.99838928268166,27.415769808917293,107411.16773049136,0.00489078172584819,0.9951092182741519,1082,-0.3872497906659842,0.5040797824116047
era_2022_2026,defensive_only,1103,0.13138803727909942,0.028604739522182454,0.029677418402091482,1.3459022994392476,2.1218468845545444,0.9638553844079163,0.02112171570345366,39.56229247251275,9.03871051955867,54256.749272349305,0.004409391449441112,0.0,197,0.08976785347162863,0.5947416137805984
