period,lag_sessions,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
full,1,3053,1.026896788213083,0.060050179258935854,0.3707520054393617,0.4561935854700913,0.7232013791413474,0.16196858918611393,0.1538360987337218,229.875230452619,18.97430660794628,467635.0860571472,0.008999162311728847,0.5779224981427187,1177,-0.33124626576991356,0.5237471339665902
full,2,3053,1.5413093030747453,0.080025879176983,0.2955110675677327,0.5886344041817965,0.9256819637163884,0.27080501531009715,0.14995854044300355,230.40279066719637,19.017852357724692,525761.059915002,0.009232383403041729,0.5657717568206319,1152,-0.2802852163255689,0.5299705207992139
full,3,3053,1.7158910604502804,0.08596515307509156,0.2715037660104409,0.6256255367189016,0.9874942823287003,0.3166260061077226,0.1498260621501721,229.38040782918077,18.93346307663071,536439.3543390937,0.008331302095160587,0.5636144528108603,1105,-0.19584772337038503,0.5325908942024239
full,5,3053,1.1310615934240054,0.06444418325077184,0.3121643638013073,0.485135783846074,0.7602159981307316,0.20644311370464624,0.15292189903787926,233.4597316065672,19.27017764980509,472696.8837132618,0.009775077293305165,0.57732002994275,1177,-0.26935682127923877,0.5253848673435965
era_2014_2017,1,977,0.4147951579141871,0.09362583165725757,0.27427070409459653,0.7135358494322174,1.1200874131390963,0.3413628588818069,0.13900404801395044,48.89439008208093,12.611449642460999,78938.02672493867,0.011385683220420535,0.6270994547565907,631,0.20101429034584117,0.5281473899692938
era_2014_2017,2,977,0.5016679080572746,0.11056539770502471,0.2698852716995762,0.8151542260452931,1.2800253335675285,0.4096755521661108,0.14085813750400006,48.85836570354366,12.602157786379736,81735.66948201566,0.012251295570327557,0.6239226262042002,631,0.2462025514931494,0.5312180143295804
era_2014_2017,3,977,0.4656772905363813,0.10363808784152595,0.2715037660104409,0.772591010751282,1.19904218935326,0.381718785578615,0.1404505338126253,49.012515727470074,12.641918079142743,80866.97884230348,0.008702797157937975,0.6251273530296377,631,0.23078891575679017,0.5363357215967247
era_2014_2017,5,977,0.2820197134937428,0.06617757754666864,0.3121643638013073,0.5203923681501113,0.7916473107798961,0.21199593938528707,0.14279708885516043,49.94499381800779,12.882434434122787,73907.10088132144,0.0115145976492957,0.6297089289137965,631,0.06872228530243207,0.5281473899692938
era_2018_2021,1,973,0.5090017777041358,0.11244707915032182,0.1984126997412392,0.7199785213305975,1.1248591802008694,0.5667332751228634,0.16762153545475353,80.79214042114889,20.924583130657265,125536.92151765645,0.009665936996218368,0.5577697796395489,458,0.32162793071783646,0.539568345323741
era_2018_2021,2,973,0.5831677300836309,0.12635693971113038,0.1711282685290254,0.7988888759438484,1.23282319804279,0.7383756102791323,0.16639319712175082,81.03492612068366,20.987462880177063,128911.42543276669,0.010782957626013666,0.5557303963517162,385,0.3675545244149534,0.5467625899280576
era_2018_2021,3,973,0.6360466501501876,0.13598224560072003,0.16369114197821344,0.8443715356672702,1.3137669546782527,0.8307245215432528,0.16777911069385246,81.27806870005176,21.05043505900621,128146.7360250562,0.010517516120066435,0.5562141929702176,393,0.34333294566190564,0.5457348406988695
era_2018_2021,5,973,0.6529746064850452,0.13901480954227852,0.16391811366825015,0.8601839347722378,1.338878452520997,0.8480747272606319,0.16780330562225942,80.5660162620208,20.866018600235602,128426.8092052733,0.013757738677659627,0.553508147803657,268,0.35215945318567976,0.538540596094553
era_2022_2026,1,1103,-0.05373907993405658,-0.012540565074027898,0.33312795412321416,0.020123722586164718,0.033297123168027715,-0.037644889655190916,0.18044256682193469,104.77771210830402,23.938334951307898,109214.07864967317,0.00997683943640159,0.696250791173604,973,-0.19735423256338047,0.5067996373526745
era_2022_2026,2,1103,0.08089516631204519,0.017931278824377506,0.2633633134329565,0.18946062459019827,0.3076152016898313,0.06808571243519919,0.17147974730265728,104.27936835550915,23.824479442963103,118632.42359749852,0.010761783714277015,0.6859170628903277,904,-0.174730892268113,0.5104261106074343
era_2022_2026,3,1103,0.1373575977542647,0.029842173961714513,0.24538297898348027,0.2592836612926035,0.428196720590654,0.1216146860932989,0.16756711779945768,103.0961266717592,23.55414680080083,125592.86038031828,0.012603786142887962,0.6732564981885307,611,-0.18134878260016107,0.514959202175884
era_2022_2026,5,1103,0.045548191123619075,0.01022821518348227,0.2755415575876162,0.14461474786816086,0.2387404146318338,0.037120408525780794,0.16849926607886137,104.08122780172764,23.77921070356787,122973.8870495566,0.01342864456382394,0.6780016489423972,620,-0.19292275041305562,0.5049864007252947
