trade_date,observation_date,temperature,market_height,recent_60d_gain,rank,buy_eligible,symbol,report_date,notice_date,quarter_operating_cash_flow,quarter_deducted_parent_net_profit,quarter_net_profit,quarter_roe,quarter_roa,previous_quarter_net_profit,net_profit_yoy,pb,paused,is_st,cash_profit_ratio,score
2014-12-31,2014-12-31,hot,0.9390948368748511,0.6932251019860014,1,True,SH600832,2014-09-30,2014-10-24,641259339.79,247711753.60999995,365126919.27,4.033929406621936,2.4844184947599164,96306607.25999999,279.1296668610316,5.469870303869247,False,False,2.5887319856433035,2.4844184947599164
2015-01-30,2015-01-30,hot,0.9236238847548518,0.7459714476630956,1,True,SH600832,2014-09-30,2014-10-24,641259339.79,247711753.60999995,365126919.27,4.033929406621936,2.4844184947599164,96306607.25999999,279.1296668610316,5.598629615306854,False,False,2.5887319856433035,2.4844184947599164
2017-06-30,2017-06-30,hot,0.979638535451136,0.15068373659907008,1,True,SZ002450,2017-03-31,2017-04-14,1141384861.88,538355720.5,541579835.88,4.879658278259984,2.409317177776027,412863821.74,31.176384890671915,4.924373602867126,False,False,2.120131389743448,2.409317177776027
2017-07-31,2017-07-31,hot,0.9459818393920365,0.16383673997296944,1,True,SZ002450,2017-03-31,2017-04-14,1141384861.88,538355720.5,541579835.88,4.879658278259984,2.409317177776027,412863821.74,31.176384890671915,4.320643047094345,False,False,2.120131389743448,2.409317177776027
2017-10-31,2017-10-31,hot,0.9721326849975257,0.2196065482989984,1,True,SZ002450,2017-09-30,2017-10-25,490686693.8700001,589748479.72,625314936.01,3.6659360907285237,1.926651653159982,487989409.7500001,28.141087391702314,4.956111520528793,False,False,0.8320270602528177,1.926651653159982
2018-01-31,2018-01-31,hot,0.9298510454845407,0.31524404837489306,1,True,SH600519,2017-09-30,2017-10-26,15851406787.829998,8807132263.11,9317030370.78,10.430927415057843,7.50880572595015,3952988818.74,135.69584428396558,10.50188599,False,False,1.7998374856053885,7.50880572595015
2018-01-31,2018-01-31,hot,0.9298510454845407,0.31524404837489306,2,True,SZ002460,2017-09-30,2017-10-25,498501779.54,393970036.85999995,396036047.18999994,13.797833106319782,6.904248995546097,207620516.26999998,90.7499578100341,11.2441652,False,False,1.2653291694798257,6.904248995546097
2018-01-31,2018-01-31,hot,0.9298510454845407,0.31524404837489306,3,True,SZ002415,2017-09-30,2017-10-31,2038650373.18,2819127478.8299994,2845189346.46,11.131760274868974,6.629875612679361,2239525267.0,27.044306594108193,12.12961441,False,False,0.7231494100529591,6.629875612679361
2018-01-31,2018-01-31,hot,0.9298510454845407,0.31524404837489306,4,True,SZ002466,2017-09-30,2017-10-27,999879874.3800001,633384184.42,723337710.5,7.759946970586965,5.413996814510741,530575239.48,36.33084559485293,6.60072642,False,False,1.578630946233061,5.413996814510741
2018-01-31,2018-01-31,hot,0.9298510454845407,0.31524404837489306,5,True,SZ002468,2017-09-30,2017-10-31,193980638.64,366553005.37,380604532.02,6.11558978178796,4.989102264180336,301349081.05999994,26.300213254746872,5.50408581,False,False,0.5292021502980044,4.989102264180336
2018-01-31,2018-01-31,hot,0.9298510454845407,0.31524404837489306,6,False,SZ300015,2017-09-30,2017-10-24,340839362.97999996,291997327.32,302701826.86,7.774937591265261,4.985169942268877,197716556.31,53.09887675030789,10.63771207,False,False,1.1672687764243608,4.985169942268877
2018-03-30,2018-03-30,warm,0.5208051841257495,0.31524404837489306,1,True,SZ000898,2017-12-31,2018-03-27,3070000000.0,1766000000.0,2840000000.0,5.64260214200714,3.101774236706877,648000000.0,338.2716049382716,0.86575052,False,False,1.738391845979615,3.5827575785999843
2018-03-30,2018-03-30,warm,0.5208051841257495,0.31524404837489306,2,True,SH601186,2017-12-31,2018-03-30,45247406000.0,4909652000.0,5796084000.0,3.2736039754219695,0.7019044443027361,5149283000.0,12.560991501146868,0.97644443,False,False,9.216010829280771,0.7188370610119985
2018-04-27,2018-04-27,warm,0.31157002928688526,0.245126188124122,1,True,SH600649,2017-12-31,2018-03-20,1373275601.01,239031610.51999998,739832469.34,3.810143784569147,2.150560527384931,181505580.99999976,307.6086615430305,0.9742149,False,False,5.7451631523651425,2.2074806363410486
2018-04-27,2018-04-27,warm,0.31157002928688526,0.245126188124122,2,True,SH601186,2017-12-31,2018-03-30,45247406000.0,4909652000.0,5796084000.0,3.2736039754219695,0.7019044443027361,5149283000.0,12.560991501146868,0.96905442,False,False,9.216010829280771,0.7243189131759351
2018-07-31,2018-07-31,cold,0.18249465021209174,0.17402262962305848,1,True,SZ000415,2018-03-31,2018-04-26,5484513000.0,476333000.0,590118000.0,1.5414137746272594,0.19931004486480533,559847000.0,5.407012987476945,0.79102686,False,False,11.514031150476661,0.2519636878889363
2018-08-31,2018-08-31,cold,0.12597071668867643,0.18464405109926063,1,True,SH600089,2018-06-30,2018-08-28,4747239496.96,932015183.03,1102302050.8600001,2.588708409011267,1.2455654390265112,921365030.05,19.6379301263671,0.87464763,False,False,5.093521632905839,1.4240768468400369
2018-08-31,2018-08-31,cold,0.12597071668867643,0.18464405109926063,2,True,SZ000959,2018-06-30,2018-08-17,4375730572.15,915951375.79,1218729891.26,2.468895744015337,0.8912074224711117,521202407.62,133.83044157934046,0.84091811,False,False,4.777252033030652,1.0598028653124283
2018-08-31,2018-08-31,cold,0.12597071668867643,0.18464405109926063,3,True,SZ000415,2018-06-30,2018-08-31,4659030000.0,700218000.0,804844000.0,2.0770213900143815,0.27562693351886,718777000.0,11.974089321166371,0.66229843,False,False,6.653684995244338,0.41616727601009107
2018-09-28,2018-09-28,cold,0.17508326965391985,0.11857829352464311,1,True,SH600089,2018-06-30,2018-08-28,4747239496.96,932015183.03,1102302050.8600001,2.588708409011267,1.2455654390265112,921365030.05,19.6379301263671,0.93044859,False,False,5.093521632905839,1.3386719614745304
2018-09-28,2018-09-28,cold,0.17508326965391985,0.11857829352464311,2,True,SZ000959,2018-06-30,2018-08-17,4375730572.15,915951375.79,1218729891.26,2.468895744015337,0.8912074224711117,521202407.62,133.83044157934046,0.86477395,False,False,4.777252033030652,1.0305669157484585
