experiment,variant,status,annualized_return,maximum_drawdown,sharpe,sortino,turnover,average_cash_ratio,holding_count,valuation_scale,quality_scale,selected_for_promotion,delay_sessions,commission_rate,slippage_rate,rolling_minimum_return,rolling_median_return,rolling_maximum_return,rolling_observation_count,bootstrap_samples,bootstrap_block_size,pbo,split_count,strategy_count,median_logit,observed_annualized_sharpe,expected_max_daily_sharpe,deflated_sharpe_probability,skew,kurtosis,trial_count,excluded_symbols
parameter-neighborhood,h5-v1.1-q1.1,ok,0.11590202695715823,0.25744321293521755,0.7125027241251279,0.7389202728200431,65.1277463399317,0.5829429952863616,5.0,1.1,1.1,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v0.9-q0.9,ok,0.12260937506687686,0.25246635503993264,0.8239160512307873,0.8220762731648048,60.08912560998746,0.662296936573532,6.0,0.9,0.9,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v0.9-q1.0,ok,0.09688622673109659,0.2235431628083676,0.7088326074180586,0.65579766343888,50.555148949253805,0.71593970645764,6.0,0.9,1.0,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v0.9-q1.1,ok,0.08626817305960888,0.21448685994903127,0.6445628788148051,0.5708888503664703,46.1162227014217,0.7268755383898334,6.0,0.9,1.1,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v1.0-q0.9,ok,0.14279592960619425,0.2026922849247068,0.8960058570784876,0.9551255030643738,69.87697178220354,0.5936706657153489,6.0,1.0,0.9,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v1.0-q1.0,ok,0.12096038216054339,0.20098711195909036,0.822732085296777,0.8229839242599456,61.27922304379192,0.6529591815928951,6.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v1.0-q1.1,ok,0.10449812687352167,0.22775953644706537,0.7313715395405818,0.697965060251109,55.46253816087217,0.6697496233563108,6.0,1.0,1.1,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v1.1-q0.9,ok,0.1428072238392537,0.21852011017584394,0.85565006786624,0.9606075943182449,72.62605301158247,0.5317183492876261,6.0,1.1,0.9,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v1.1-q1.0,ok,0.11941169422952536,0.21860262656156515,0.7784825875572595,0.8252053661954801,65.46010938141116,0.5929773793884715,6.0,1.1,1.0,False,,,,,,,,,,,,,,,,,,,,
parameter-neighborhood,h6-v1.1-q1.1,ok,0.09942783963903956,0.24289106264238058,0.678264781768763,0.6831702612475115,58.64728423649954,0.6197232163712044,6.0,1.1,1.1,False,,,,,,,,,,,,,,,,,,,,
execution-delay,delay-0,ok,0.13341598912636643,0.17322010343965943,0.843157121804667,0.8763033725953953,68.22379999037614,0.61961156473511,,,,,0.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-1,ok,0.12934821423218046,0.20257241831825912,0.8135251644011899,0.8447200085225592,68.83630741202587,0.6193099945710018,,,,,1.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-2,ok,0.10290671017624642,0.19527594666525405,0.6726352333346085,0.6879451750933812,67.17216530958258,0.6201485725072654,,,,,2.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-3,ok,0.10626769990588292,0.21278720423120479,0.6941234565525368,0.7103624384516375,68.24572250892281,0.6205484637827273,,,,,3.0,,,,,,,,,,,,,,,,,,,
execution-delay,delay-5,ok,0.09836762611073446,0.22916002729098217,0.6504351901570494,0.6934899833491622,67.35322379904287,0.6225241969973799,,,,,5.0,,,,,,,,,,,,,,,,,,,
cost-stress,original,ok,0.13920031245306852,0.1737917322435346,0.8730127033044316,0.9071872596662383,68.6737782945943,0.6197284103893342,,,,,,0.00012,0.0,,,,,,,,,,,,,,,,,
cost-stress,baseline,ok,0.13341598912636643,0.17322010343965943,0.843157121804667,0.8763033725953953,68.22379999037614,0.61961156473511,,,,,,0.0003,0.001,,,,,,,,,,,,,,,,,
cost-stress,double,ok,0.12713891555601897,0.1772771857597253,0.809859242438202,0.8408108000696,67.73130161624607,0.6196012570270968,,,,,,0.0006,0.002,,,,,,,,,,,,,,,,,
simple-baseline,always-warm,ok,0.06025902710617714,0.16353258480490096,0.5647865067924527,0.5543658129925638,37.498499585310505,0.6673503919193251,,,,,,,,,,,,,,,,,,,,,,,,
simple-baseline,equal-weight-top-candidates,ok,0.1467576864796556,0.30352514723429724,0.7178320035917091,0.7947315373029511,118.20000795377403,0.40452289104215494,,,,,,,,,,,,,,,,,,,,,,,,
simple-baseline,csi300-buy-hold,ok,0.05131161215181934,0.466960608959198,0.34177474450518924,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2013,ok,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2014,ok,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2015,ok,0.011086307323922684,0.02067275109497846,0.40935046521393803,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2016,ok,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2017,ok,-0.016359910423405566,0.028679897684862232,-0.4609663383879267,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2018,ok,-0.010558833462725792,0.12125079840676378,0.006217442091656672,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2019,ok,0.301456413716918,0.09956577924474885,1.6929545888888315,,,,,,,,,,,,,,,,,,,,,,,,,,,
