analysis_type,name,value,absolute_share,method
stock-contribution,SH601006,0.035232899757792084,0.01183558401846653,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601607,0.03324759126239413,0.011168670830469246,prior-close exposure times close return; excludes fee residual
stock-contribution,SH603160,0.03303780606487057,0.011098198903713585,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601898,0.03137948902028037,0.01054113006051791,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601618,0.03111462710575727,0.010452156531112719,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ300122,0.029949059106050935,0.010060614021566385,prior-close exposure times close return; excludes fee residual
stock-contribution,SH605499,-0.029454822880094683,0.00989458810779012,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600188,0.027921719989789304,0.009379581730458084,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ300676,0.027006690842967515,0.009072201287150694,prior-close exposure times close return; excludes fee residual
stock-contribution,SH603259,-0.026459934197727044,0.008888532493015537,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601100,0.025628248658619637,0.008609149185291275,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000157,0.025533221907974184,0.00857722739914827,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ002027,-0.025061278080951866,0.008418690041873726,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600682,0.02417245504306171,0.00812011286500735,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600297,0.02413317885457645,0.008106919042417155,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000709,-0.023874577731276932,0.008020048664357956,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000807,-0.022140698666234134,0.0074375967091329055,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ002415,0.02160490312891573,0.007257610016517605,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ300033,0.021051641523052722,0.007071756048623999,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ300502,0.020470856069024088,0.006876656153778162,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000069,0.01754819621564805,0.0058948639513245185,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000898,0.016262454524087762,0.005462952189274856,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600023,0.01617274275367095,0.0054328158336665235,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ002841,-0.01598488510349741,0.005369709900932477,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000877,-0.0156647896991165,0.005262182105079188,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000408,0.015295089904289903,0.00513799099355104,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600795,0.014750072521009764,0.0049549064596159575,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600741,0.014691617848756803,0.004935270120016381,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000983,0.013786248289335421,0.004631134565975759,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600832,0.012577047431999343,0.0042249347231984756,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ002450,-0.012269182708109467,0.004121515509027358,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600649,-0.011677481627047182,0.003922748790793178,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601186,-0.009028199945555135,0.0030327909347711577,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601828,0.008475678270526704,0.002847185527558639,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ002607,-0.008088403646667935,0.0027170906054713143,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600383,-0.007700595670766081,0.002586816517520244,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600362,-0.006417418631001786,0.002155766284099173,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601117,-0.0058706297953272715,0.0019720866764178905,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601992,-0.005851596599412458,0.001965692965115718,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601800,0.005387715940452757,0.001809864221203008,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ002468,0.004376213718477521,0.0014700761363348066,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600519,-0.004359411458290621,0.001464431850354678,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600011,-0.004292875132279494,0.0014420806876005927,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600390,0.0039423804046105175,0.0013243410230860853,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600089,0.002620183626539577,0.0008801831148984844,prior-close exposure times close return; excludes fee residual
stock-contribution,SZ000959,0.0024657367973605696,0.0008283006858137305,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601868,-0.0024425481525092406,0.0008205110586102078,prior-close exposure times close return; excludes fee residual
stock-contribution,SH601933,0.001440736441177013,0.00048397825087461896,prior-close exposure times close return; excludes fee residual
stock-contribution,SH600219,-0.0008819400695339805,0.00029626502115861515,prior-close exposure times close return; excludes fee residual
factor-beta,intercept-annualized,0.1145244350204648,,OLS daily returns; model_r_squared=0.158680
factor-beta,large-cap,0.18791981232663796,,OLS daily returns; model_r_squared=0.158680
factor-beta,mid-small-cap,0.11270757745207481,,OLS daily returns; model_r_squared=0.158680
